# H2+ rovibrational excitation energies      UGAMOP database
# indx     quantum state       energy
#      electronic     v    j   (cm^-1)
#-------------------------------------
  137 X ^2Sig^+g     1   23  13499.16
  138 X ^2Sig^+g     0   25  13520.23
  139 X ^2Sig^+g     2   21  13556.66
  140 X ^2Sig^+g     7    6  13577.51
  141 X ^2Sig^+g     3   19  13695.81
  142 X ^2Sig^+g     5   14  13736.70
  143 X ^2Sig^+g     6   11  13793.89
  144 X ^2Sig^+g     7    7  13828.06
  145 X ^2Sig^+g     4   17  13919.08
  146 X ^2Sig^+g     7    8  14108.22
  147 X ^2Sig^+g     8    0  14160.68
  148 X ^2Sig^+g     8    1  14196.45
  149 X ^2Sig^+g     6   12  14198.85
  150 X ^2Sig^+g     1   24  14221.54
  151 X ^2Sig^+g     5   15  14228.17
  152 X ^2Sig^+g     2   22  14230.69
  153 X ^2Sig^+g     8    2  14267.69
  154 X ^2Sig^+g     0   26  14287.10
  155 X ^2Sig^+g     3   20  14317.49
  156 X ^2Sig^+g     8    3  14373.72
  157 X ^2Sig^+g     7    9  14415.88
  158 X ^2Sig^+g     4   18  14484.51
  159 X ^2Sig^+g     8    4  14513.55
  160 X ^2Sig^+g     6   13  14623.62
  161 X ^2Sig^+g     8    5  14685.88
  162 X ^2Sig^+g     5   16  14733.62
  163 X ^2Sig^+g     7   10  14748.67
  164 X ^2Sig^+g     8    6  14889.20
  165 X ^2Sig^+g     2   23  14906.26
  166 X ^2Sig^+g     1   25  14942.43
  167 X ^2Sig^+g     3   21  14943.94
  168 X ^2Sig^+g     0   27  15049.57
  169 X ^2Sig^+g     4   19  15058.00
  170 X ^2Sig^+g     6   14  15065.68
  171 X ^2Sig^+g     7   11  15104.24
  172 X ^2Sig^+g     8    7  15121.76
  173 X ^2Sig^+g     5   17  15250.46
  174 X ^2Sig^+g     8    8  15381.57
  175 X ^2Sig^+g     9    0  15416.05
  176 X ^2Sig^+g     9    1  15449.17
  177 X ^2Sig^+g     7   12  15480.14
  178 X ^2Sig^+g     9    2  15515.10
  179 X ^2Sig^+g     6   15  15522.43
  180 X ^2Sig^+g     3   22  15572.87
  181 X ^2Sig^+g     2   24  15581.25
  182 X ^2Sig^+g     9    3  15613.18
  183 X ^2Sig^+g     4   20  15637.19
  184 X ^2Sig^+g     1   26  15659.84
  185 X ^2Sig^+g     8    9  15666.52
  186 X ^2Sig^+g     9    4  15742.43
  187 X ^2Sig^+g     5   18  15776.25
  188 X ^2Sig^+g     0   28  15805.95
  189 X ^2Sig^+g     7   13  15873.83
  190 X ^2Sig^+g     9    5  15901.66
  191 X ^2Sig^+g     8   10  15974.37
  192 X ^2Sig^+g     6   16  15991.38
  193 X ^2Sig^+g     9    6  16089.33
  194 X ^2Sig^+g     3   23  16202.12
  195 X ^2Sig^+g     4   21  16219.72
  196 X ^2Sig^+g     2   25  16253.68
  197 X ^2Sig^+g     7   14  16282.82
  198 X ^2Sig^+g     8   11  16302.79
  199 X ^2Sig^+g     9    7  16303.76
  200 X ^2Sig^+g     5   19  16308.55
  201 X ^2Sig^+g     1   27  16372.00
  202 X ^2Sig^+g     6   17  16469.99
  203 X ^2Sig^+g     9    8  16543.03
  204 X ^2Sig^+g     0   29  16554.53
  205 X ^2Sig^+g    10    0  16559.73
  206 X ^2Sig^+g    10    1  16590.18
  207 X ^2Sig^+g     8   12  16649.37
  208 X ^2Sig^+g    10    2  16650.73
  209 X ^2Sig^+g     7   15  16704.61
  210 X ^2Sig^+g    10    3  16740.76
  211 X ^2Sig^+g     4   22  16803.37
  212 X ^2Sig^+g     9    9  16805.06
  213 X ^2Sig^+g     3   24  16829.56
  214 X ^2Sig^+g     5   20  16844.96
  215 X ^2Sig^+g    10    4  16859.34
  216 X ^2Sig^+g     2   26  16921.56
  217 X ^2Sig^+g     6   18  16955.82
  218 X ^2Sig^+g    10    5  17005.27
