# Data for D- transitions (Q) 
#  Number of transitions: 375 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     8      0      8     11              1244.10          5.54700E-10          3.51343E+08
     8      0      8     12              1260.92          2.17300E-09          3.51343E+08
     9      0      9      1               939.17          1.40500E-02          3.50690E+08
     9      0      9      2               972.75          1.65700E-02          3.50690E+08
     9      0      9      3              1006.52          1.02600E-02          3.50690E+08
     9      0      9      4              1040.27          3.50900E-03          3.50690E+08
     9      0      9      5              1073.72          5.17900E-04          3.50690E+08
     9      0      9      6              1106.54          2.67900E-05          3.50690E+08
     9      0      9      7              1138.31          3.61100E-06          3.50690E+08
     9      0      9      8              1168.50          1.39000E-07          3.50690E+08
     9      0      9      9              1196.46          1.46400E-06          3.50690E+08
     9      0      9     10              1221.36          2.05300E-06          3.50690E+08
     9      0      9     11              1242.13          4.70900E-06          3.50690E+08
     9      0      9     12              1257.37          2.05300E-05          3.50690E+08
    10      0     10      1               943.19          1.38000E-02          3.49770E+08
    10      0     10      2               976.56          1.69300E-02          3.49770E+08
    10      0     10      3              1010.07          1.04500E-02          3.49770E+08
    10      0     10      4              1043.48          3.37600E-03          3.49770E+08
    10      0     10      5              1076.53          5.37000E-04          3.49770E+08
    10      0     10      6              1108.86          3.32700E-05          3.49770E+08
    10      0     10      7              1140.03          2.25000E-07          3.49770E+08
    10      0     10      8              1169.49          1.29400E-08          3.49770E+08
    10      0     10      9              1196.55          2.04100E-10          3.49770E+08
    10      0     10     10              1220.34          3.78300E-11          3.49770E+08
    10      0     10     11              1239.72          2.03000E-10          3.49770E+08
    10      0     10     12              1253.09          1.27100E-09          3.49770E+08
    11      0     11      0               914.62          4.43500E-03          3.48943E+08
    11      0     11      1               947.51          1.38700E-02          3.48943E+08
    11      0     11      2               980.65          1.70800E-02          3.48943E+08
    11      0     11      3              1013.86          1.05500E-02          3.48943E+08
    11      0     11      4              1046.91          3.38700E-03          3.48943E+08
    11      0     11      5              1079.50          5.26900E-04          3.48943E+08
    11      0     11      6              1111.28          3.04200E-05          3.48943E+08
    11      0     11      7              1141.77          1.37300E-07          3.48943E+08
    11      0     11      8              1170.41          1.52400E-08          3.48943E+08
    11      0     11      9              1196.47          1.57000E-10          3.48943E+08
    11      0     11     10              1219.00          1.18800E-12          3.48943E+08
