# Data for B+ transitions (P and R) 
#  Number of transitions: 2371 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
    19      0     18      1              1309.04          2.51000E-03          7.49000E+08
    15      0     14      2              1309.21          1.56000E-02          8.68000E+08
    16      0     17      1              1309.88          4.58000E-03          8.35000E+08
    12      0     13      2              1310.98          2.14000E-02          9.82000E+08
    10      0      9      3              1313.38          4.94000E-02          1.07000E+09
     7      0      8      3              1315.49          5.01000E-02          1.24000E+09
    16      0     15      2              1321.94          1.49000E-02          8.35000E+08
    11      0     10      3              1322.27          4.82000E-02          1.03000E+09
    13      0     14      2              1323.85          2.11000E-02          9.41000E+08
    20      0     19      1              1324.32          2.41000E-03          7.24000E+08
     8      0      9      3              1324.60          5.04000E-02          1.18000E+09
    17      0     18      1              1325.29          4.46000E-03          8.04000E+08
    12      0     11      3              1331.96          4.72000E-02          9.82000E+08
     1      0      0      4              1333.48          1.50000E-01          1.74000E+09
     2      0      1      4              1333.80          1.00000E-01          1.63000E+09
     9      0     10      3              1334.50          5.06000E-02          1.12000E+09
     3      0      2      4              1335.13          9.06000E-02          1.54000E+09
    17      0     16      2              1335.31          1.44000E-02          8.04000E+08
     0      0      1      4              1335.87          4.99000E-02          1.87000E+09
    14      0     15      2              1337.37          2.08000E-02          9.03000E+08
     4      0      3      4              1337.47          8.66000E-02          1.45000E+09
     1      0      2      4              1338.57          5.99000E-02          1.74000E+09
    21      0     20      1              1340.12          2.34000E-03          7.02000E+08
     5      0      4      4              1340.79          8.45000E-02          1.37000E+09
    18      0     19      1              1341.24          4.38000E-03          7.76000E+08
     2      0      3      4              1342.26          6.43000E-02          1.63000E+09
    13      0     12      3              1342.42          4.62000E-02          9.41000E+08
     6      0      5      4              1345.09          8.33000E-02          1.30000E+09
    10      0     11      3              1345.18          5.08000E-02          1.07000E+09
     3      0      4      4              1346.91          6.69000E-02          1.54000E+09
    18      0     17      2              1349.27          1.40000E-02          7.76000E+08
     7      0      6      4              1350.33          8.26000E-02          1.24000E+09
    15      0     16      2              1351.50          2.06000E-02          8.68000E+08
     4      0      5      4              1352.50          6.88000E-02          1.45000E+09
    14      0     13      3              1353.60          4.53000E-02          9.03000E+08
    22      0     21      1              1356.39          2.31000E-03          6.81000E+08
     8      0      7      4              1356.49          8.21000E-02          1.18000E+09
    11      0     12      3              1356.58          5.11000E-02          1.03000E+09
    19      0     20      1              1357.70          4.34000E-03          7.49000E+08
     5      0      6      4              1359.01          7.02000E-02          1.37000E+09
     9      0      8      4              1363.53          8.18000E-02          1.12000E+09
    19      0     18      2              1363.77          1.37000E-02          7.49000E+08
    15      0     14      3              1365.46          4.45000E-02          8.68000E+08
    16      0     17      2              1366.20          2.05000E-02          8.35000E+08
     6      0      7      4              1366.40          7.15000E-02          1.30000E+09
    12      0     13      3              1368.66          5.13000E-02          9.82000E+08
    10      0      9      4              1371.42          8.16000E-02          1.07000E+09
    23      0     22      1              1373.07          2.31000E-03          6.62000E+08
    20      0     21      1              1374.61          4.35000E-03          7.24000E+08
     7      0      8      4              1374.62          7.27000E-02          1.24000E+09
    16      0     15      3              1377.95          4.40000E-02          8.35000E+08
    20      0     19      2              1378.77          1.36000E-02          7.24000E+08
    11      0     10      4              1380.12          8.15000E-02          1.03000E+09
    13      0     14      3              1381.39          5.16000E-02          9.41000E+08
    17      0     18      2              1381.42          2.05000E-02          8.04000E+08
     8      0      9      4              1383.66          7.39000E-02          1.18000E+09
    12      0     11      4              1389.59          8.16000E-02          9.82000E+08
    24      0     23      1              1390.12          2.35000E-03          6.45000E+08
    17      0     16      3              1391.02          4.36000E-02          8.04000E+08
    21      0     22      1              1391.94          4.41000E-03          7.02000E+08
     9      0     10      4              1393.46          7.52000E-02          1.12000E+09
     1      0      0      5              1393.72          1.49000E-01          1.74000E+09
     2      0      1      5              1393.96          1.00000E-01          1.63000E+09
    21      0     20      2              1394.21          1.36000E-02          7.02000E+08
    14      0     15      3              1394.72          5.20000E-02          9.03000E+08
     3      0      2      5              1395.20          9.13000E-02          1.54000E+09
     0      0      1      5              1396.22          4.87000E-02          1.87000E+09
    18      0     19      2              1397.12          2.07000E-02          7.76000E+08
     4      0      3      5              1397.42          8.83000E-02          1.45000E+09
     1      0      2      5              1398.95          5.83000E-02          1.74000E+09
    13      0     12      4              1399.78          8.18000E-02          9.41000E+08
     5      0      4      5              1400.61          8.74000E-02          1.37000E+09
     2      0      3      5              1402.65          6.24000E-02          1.63000E+09
    10      0     11      4              1403.98          7.65000E-02          1.07000E+09
    18      0     17      3              1404.61          4.36000E-02          7.76000E+08
     6      0      5      5              1404.75          8.74000E-02          1.30000E+09
     3      0      4      5              1407.29          6.49000E-02          1.54000E+09
    15      0     16      3              1408.59          5.26000E-02          8.68000E+08
    22      0     23      1              1409.61          4.54000E-03          6.81000E+08
     7      0      6      5              1409.81          8.80000E-02          1.24000E+09
    22      0     21      2              1410.03          1.38000E-02          6.81000E+08
    14      0     13      4              1410.65          8.21000E-02          9.03000E+08
     4      0      5      5              1412.84          6.68000E-02          1.45000E+09
    19      0     20      2              1413.25          2.10000E-02          7.49000E+08
    11      0     12      4              1415.18          7.79000E-02          1.03000E+09
     8      0      7      5              1415.76          8.90000E-02          1.18000E+09
    19      0     18      3              1418.68          4.38000E-02          7.49000E+08
     5      0      6      5              1419.27          6.84000E-02          1.37000E+09
    15      0     14      4              1422.13          8.26000E-02          8.68000E+08
     9      0      8      5              1422.55          9.03000E-02          1.12000E+09
    16      0     17      3              1422.97          5.34000E-02          8.35000E+08
    23      0     22      2              1426.17          1.43000E-02          6.62000E+08
     6      0      7      5              1426.55          7.00000E-02          1.30000E+09
    12      0     13      4              1427.01          7.93000E-02          9.82000E+08
    23      0     24      1              1427.58          4.75000E-03          6.62000E+08
    20      0     21      2              1429.74          2.16000E-02          7.24000E+08
    10      0      9      5              1430.16          9.17000E-02          1.07000E+09
    20      0     19      3              1433.15          4.45000E-02          7.24000E+08
    16      0     15      4              1434.18          8.34000E-02          8.35000E+08
     7      0      8      5              1434.63          7.15000E-02          1.24000E+09
    17      0     18      3              1437.79          5.45000E-02          8.04000E+08
    11      0     10      5              1438.53          9.33000E-02          1.03000E+09
    13      0     14      4              1439.42          8.10000E-02          9.41000E+08
    24      0     23      2              1442.56          1.50000E-02          6.45000E+08
     8      0      9      5              1443.47          7.32000E-02          1.18000E+09
    24      0     25      1              1445.79          5.07000E-03          6.45000E+08
    21      0     22      2              1446.54          2.24000E-02          7.02000E+08
    17      0     16      4              1446.73          8.45000E-02          8.04000E+08
    12      0     11      5              1447.61          9.51000E-02          9.82000E+08
    21      0     20      3              1447.97          4.57000E-02          7.02000E+08
     1      1      0      1              1144.20          3.21000E-02          1.74000E+09
     2      1      1      1              1144.71          2.12000E-02          1.63000E+09
     0      1      1      1              1146.16          1.08000E-02          1.86000E+09
     3      1      2      1              1146.21          1.88000E-02          1.53000E+09
     1      1      2      1              1148.62          1.30000E-02          1.74000E+09
     4      1      3      1              1148.70          1.76000E-02          1.45000E+09
     9      1     10      0              1148.73          2.45000E-03          1.12000E+09
    12      1     11      0              1149.62          1.76000E-03          9.82000E+08
     2      1      3      1              1152.06          1.39000E-02          1.63000E+09
     5      1      4      1              1152.17          1.68000E-02          1.37000E+09
     3      1      4      1              1156.47          1.44000E-02          1.53000E+09
     6      1      5      1              1156.59          1.62000E-02          1.30000E+09
    10      1     11      0              1159.10          2.38000E-03          1.07000E+09
    13      1     12      0              1160.04          1.63000E-03          9.40000E+08
     4      1      5      1              1161.82          1.47000E-02          1.45000E+09
     7      1      6      1              1161.96          1.55000E-02          1.24000E+09
     5      1      6      1              1168.09          1.48000E-02          1.37000E+09
     8      1      7      1              1168.24          1.49000E-02          1.18000E+09
    11      1     12      0              1170.24          2.30000E-03          1.02000E+09
    14      1     13      0              1171.23          1.50000E-03          9.71000E+08
     6      1      7      1              1175.26          1.49000E-02          1.30000E+09
     9      1      8      1              1175.42          1.43000E-02          1.12000E+09
    12      1     13      0              1182.12          2.22000E-03          9.82000E+08
    15      1     14      0              1183.15          1.38000E-03          8.67000E+08
     7      1      8      1              1183.31          1.49000E-02          1.24000E+09
    10      1      9      1              1183.47          1.37000E-02          1.07000E+09
     8      1      9      1              1192.21          1.48000E-02          1.18000E+09
    11      1     10      1              1192.36          1.31000E-02          1.02000E+09
    13      1     14      0              1194.73          2.14000E-03          9.40000E+08
    16      1     15      0              1195.77          1.27000E-03          8.36000E+08
     1      1      0      2              1198.01          7.00000E-02          1.74000E+09
     2      1      1      2              1198.49          4.68000E-02          1.63000E+09
     3      1      2      2              1199.97          4.23000E-02          1.53000E+09
     0      1      1      2              1200.08          2.32000E-02          1.86000E+09
     9      1     10      1              1201.92          1.47000E-02          1.12000E+09
    12      1     11      1              1202.06          1.25000E-02          9.82000E+08
     4      1      3      2              1202.45          4.04000E-02          1.45000E+09
     1      1      2      2              1202.61          2.78000E-02          1.74000E+09
     5      1      4      2              1205.92          3.93000E-02          1.37000E+09
     2      1      3      2              1206.13          2.98000E-02          1.63000E+09
    14      1     15      0              1208.02          2.05000E-03          9.71000E+08
    17      1     16      0              1209.08          1.18000E-03          8.04000E+08
     6      1      5      2              1210.35          3.87000E-02          1.30000E+09
     3      1      4      2              1210.63          3.09000E-02          1.53000E+09
    10      1     11      1              1212.43          1.46000E-02          1.07000E+09
    13      1     12      1              1212.55          1.20000E-02          9.40000E+08
     7      1      6      2              1215.73          3.82000E-02          1.24000E+09
     4      1      5      2              1216.07          3.17000E-02          1.45000E+09
    15      1     16      0              1221.97          1.98000E-03          8.67000E+08
     8      1      7      2              1222.03          3.77000E-02          1.18000E+09
     5      1      6      2              1222.45          3.22000E-02          1.37000E+09
    18      1     17      0              1223.03          1.09000E-03          7.76000E+08
    11      1     12      1              1223.70          1.44000E-02          1.02000E+09
    14      1     13      1              1223.79          1.14000E-02          9.71000E+08
     9      1      8      2              1229.23          3.73000E-02          1.12000E+09
     6      1      7      2              1229.72          3.27000E-02          1.30000E+09
    12      1     13      1              1235.70          1.42000E-02          9.82000E+08
    15      1     14      1              1235.76          1.09000E-02          8.67000E+08
    16      1     17      0              1236.55          1.90000E-03          8.36000E+08
    10      1      9      2              1237.30          3.68000E-02          1.07000E+09
    19      1     18      0              1237.59          1.02000E-03          7.49000E+08
     7      1      8      2              1237.87          3.32000E-02          1.24000E+09
    11      1     10      2              1246.20          3.64000E-02          1.02000E+09
     8      1      9      2              1246.86          3.36000E-02          1.18000E+09
    13      1     14      1              1248.39          1.41000E-02          9.40000E+08
    16      1     15      1              1248.41          1.04000E-02          8.36000E+08
    17      1     18      0              1251.74          1.84000E-03          8.04000E+08
    20      1     19      0              1252.74          9.60000E-04          7.24000E+08
     1      1      0      3              1253.50          6.64000E-02          1.74000E+09
     2      1      1      3              1253.94          4.54000E-02          1.63000E+09
     3      1      2      3              1255.38          4.19000E-02          1.53000E+09
     0      1      1      3              1255.68          2.14000E-02          1.86000E+09
    12      1     11      2              1255.91          3.59000E-02          9.82000E+08
     9      1     10      2              1256.65          3.41000E-02          1.12000E+09
     4      1      3      3              1257.83          4.12000E-02          1.45000E+09
     1      1      2      3              1258.27          2.54000E-02          1.74000E+09
     5      1      4      3              1261.27          4.14000E-02          1.37000E+09
    17      1     16      1              1261.71          9.91000E-03          8.04000E+08
    14      1     15      1              1261.76          1.39000E-02          9.71000E+08
     2      1      3      3              1261.86          2.71000E-02          1.63000E+09
     6      1      5      3              1265.67          4.20000E-02          1.30000E+09
    13      1     12      2              1266.38          3.54000E-02          9.40000E+08
     3      1      4      3              1266.42          2.82000E-02          1.53000E+09
    10      1     11      2              1267.23          3.45000E-02          1.07000E+09
    18      1     19      0              1267.50          1.78000E-03          7.76000E+08
     7      1      6      3              1271.02          4.29000E-02          1.24000E+09
     4      1      5      3              1271.93          2.90000E-02          1.45000E+09
    18      1     17      1              1275.63          9.52000E-03          7.76000E+08
    15      1     16      1              1275.75          1.37000E-02          8.67000E+08
     8      1      7      3              1277.29          4.40000E-02          1.18000E+09
    14      1     13      2              1277.59          3.49000E-02          9.71000E+08
     5      1      6      3              1278.36          2.98000E-02          1.37000E+09
    11      1     12      2              1278.54          3.49000E-02          1.02000E+09
    19      1     20      0              1283.80          1.74000E-03          7.49000E+08
     9      1      8      3              1284.44          4.52000E-02          1.12000E+09
    22      1     21      0              1284.66          8.74000E-04          6.80000E+08
     6      1      7      3              1285.69          3.07000E-02          1.30000E+09
    15      1     14      2              1289.50          3.45000E-02          8.67000E+08
    19      1     18      1              1290.14          9.20000E-03          7.49000E+08
    16      1     17      1              1290.35          1.36000E-02          8.36000E+08
    12      1     13      2              1290.57          3.53000E-02          9.82000E+08
    10      1      9      3              1292.45          4.65000E-02          1.07000E+09
     7      1      8      3              1293.87          3.17000E-02          1.24000E+09
    20      1     21      0              1300.61          1.71000E-03          7.24000E+08
    11      1     10      3              1301.29          4.77000E-02          1.02000E+09
    16      1     15      2              1302.06          3.40000E-02          8.36000E+08
     8      1      9      3              1302.88          3.27000E-02          1.18000E+09
    13      1     14      2              1303.26          3.57000E-02          9.40000E+08
    20      1     19      1              1305.18          8.94000E-03          7.24000E+08
    17      1     18      1              1305.52          1.35000E-02          8.04000E+08
     2      1      1      4              1310.85          1.08000E-02          1.63000E+09
    12      1     11      3              1310.90          4.89000E-02          9.82000E+08
     3      1      2      4              1312.23          1.08000E-02          1.53000E+09
     9      1     10      3              1312.69          3.39000E-02          1.12000E+09
     0      1      1      4              1312.75          4.32000E-03          1.86000E+09
     4      1      3      4              1314.62          1.14000E-02          1.45000E+09
    17      1     16      2              1315.24          3.37000E-02          8.04000E+08
    14      1     15      2              1316.58          3.62000E-02          9.71000E+08
    21      1     22      0              1317.89          1.69000E-03          7.03000E+08
     5      1      4      4              1317.98          1.24000E-02          1.37000E+09
    24      1     23      0              1318.48          8.38000E-04          6.44000E+08
     2      1      3      4              1319.02          5.18000E-03          1.63000E+09
    21      1     20      1              1320.73          8.77000E-03          7.03000E+08
    18      1     19      1              1321.20          1.34000E-02          7.76000E+08
    13      1     12      3              1321.26          5.02000E-02          9.40000E+08
     6      1      5      4              1322.31          1.37000E-02          1.30000E+09
    10      1     11      3              1323.24          3.52000E-02          1.07000E+09
     3      1      4      4              1323.61          5.34000E-03          1.53000E+09
     7      1      6      4              1327.57          1.51000E-02          1.24000E+09
    18      1     17      2              1328.99          3.34000E-02          7.76000E+08
     4      1      5      4              1329.14          5.53000E-03          1.45000E+09
    15      1     16      2              1330.50          3.67000E-02          8.67000E+08
    14      1     13      3              1332.32          5.13000E-02          9.71000E+08
     8      1      7      4              1333.73          1.68000E-02          1.18000E+09
    11      1     12      3              1334.50          3.65000E-02          1.02000E+09
     5      1      6      4              1335.58          5.79000E-03          1.37000E+09
    22      1     23      0              1335.59          1.70000E-03          6.80000E+08
    22      1     21      1              1336.73          8.68000E-03          6.80000E+08
    19      1     20      1              1337.38          1.34000E-02          7.49000E+08
     9      1      8      4              1340.76          1.86000E-02          1.12000E+09
     6      1      7      4              1342.89          6.14000E-03          1.30000E+09
    19      1     18      2              1343.27          3.33000E-02          7.49000E+08
    15      1     14      3              1344.03          5.25000E-02          8.67000E+08
    16      1     17      2              1344.97          3.72000E-02          8.36000E+08
    12      1     13      3              1346.43          3.79000E-02          9.82000E+08
    10      1      9      4              1348.63          2.06000E-02          1.07000E+09
     7      1      8      4              1351.04          6.58000E-03          1.24000E+09
    23      1     22      1              1353.14          8.70000E-03          6.72000E+08
    20      1     21      1              1354.00          1.36000E-02          7.24000E+08
    16      1     15      3              1356.36          5.36000E-02          8.36000E+08
    11      1     10      4              1357.28          2.26000E-02          1.02000E+09
    20      1     19      2              1358.03          3.33000E-02          7.24000E+08
    13      1     14      3              1358.99          3.94000E-02          9.40000E+08
    17      1     18      2              1359.95          3.78000E-02          8.04000E+08
     8      1      9      4              1359.99          7.11000E-03          1.18000E+09
    12      1     11      4              1366.68          2.47000E-02          9.82000E+08
     2      1      1      5              1368.92          6.06000E-03          1.63000E+09
    17      1     16      3              1369.25          5.46000E-02          8.04000E+08
     9      1     10      4              1369.69          7.72000E-03          1.12000E+09
    24      1     23      1              1369.90          8.84000E-03          6.44000E+08
    21      1     22      1              1371.02          1.38000E-02          7.03000E+08
    24      1     25      0              1372.12          1.78000E-03          6.44000E+08
    14      1     15      3              1372.13          4.08000E-02          9.71000E+08
     4      1      3      5              1372.49          3.76000E-03          1.45000E+09
    21      1     20      2              1373.23          3.35000E-02          7.03000E+08
    18      1     19      2              1375.39          3.86000E-02          7.76000E+08
    13      1     12      4              1376.79          2.68000E-02          9.40000E+08
     2      1      3      5              1377.29          5.73000E-03          1.63000E+09
     6      1      5      5              1379.92          2.23000E-03          1.30000E+09
    10      1     11      4              1380.10          8.41000E-03          1.07000E+09
     3      1      4      5              1381.87          6.09000E-03          1.53000E+09
    18      1     17      3              1382.65          5.57000E-02          7.76000E+08
    15      1     16      3              1385.80          4.23000E-02          8.67000E+08
    25      1     24      1              1386.97          9.12000E-03          6.61000E+08
     4      1      5      5              1387.37          6.29000E-03          1.45000E+09
    14      1     13      4              1387.54          2.89000E-02          9.71000E+08
    22      1     23      1              1388.39          1.42000E-02          6.80000E+08
    22      1     21      2              1388.80          3.40000E-02          6.80000E+08
    11      1     12      4              1391.17          9.15000E-03          1.02000E+09
    19      1     20      2              1391.24          3.94000E-02          7.49000E+08
     5      1      6      5              1393.74          6.37000E-03          1.37000E+09
    19      1     18      3              1396.51          5.68000E-02          7.49000E+08
    15      1     14      4              1398.90          3.08000E-02          8.67000E+08
    16      1     17      3              1399.96          4.37000E-02          8.36000E+08
     6      1      7      5              1400.95          6.35000E-03          1.30000E+09
    12      1     13      4              1402.86          9.92000E-03          9.82000E+08
    23      1     22      2              1404.68          3.49000E-02          6.72000E+08
    23      1     24      1              1406.05          1.47000E-02          6.72000E+08
    20      1     21      2              1407.45          4.05000E-02          7.24000E+08
     7      1      8      5              1408.96          6.26000E-03          1.24000E+09
    20      1     19      3              1410.76          5.80000E-02          7.24000E+08
    16      1     15      4              1410.80          3.26000E-02          8.36000E+08
    17      1     18      3              1414.55          4.51000E-02          8.04000E+08
    13      1     14      4              1415.12          1.07000E-02          9.40000E+08
     8      1      9      5              1417.73          6.12000E-03          1.18000E+09
    24      1     23      2              1420.81          3.61000E-02          6.44000E+08
    17      1     16      4              1423.20          3.41000E-02          8.04000E+08
    24      1     25      1              1423.93          1.55000E-02          6.44000E+08
    21      1     22      2              1423.96          4.18000E-02          7.03000E+08
    21      1     20      3              1425.35          5.93000E-02          7.03000E+08
