# Data for B+ transitions (P and R) 
#  Number of transitions: 18726 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     4      0      5      0              1125.54          7.58100E-04          1.84207E+09
     4      0      3      0              1112.58          8.47300E-04          1.84207E+09
     4      0      5      1              1179.63          5.81900E-03          1.84207E+09
     4      0      3      1              1166.11          6.66900E-03          1.84207E+09
     4      0      5      2              1235.60          2.01400E-02          1.84207E+09
     4      0      3      2              1221.54          2.37700E-02          1.84207E+09
     4      0      5      3              1293.31          4.15300E-02          1.84207E+09
     4      0      3      3              1278.73          5.07700E-02          1.84207E+09
     4      0      5      4              1352.50          5.64500E-02          1.84207E+09
     4      0      3      4              1337.47          7.18900E-02          1.84207E+09
     4      0      5      5              1412.84          5.25000E-02          1.84207E+09
     4      0      3      5              1397.42          7.02000E-02          1.84207E+09
     4      0      5      6              1473.82          3.33100E-02          1.84207E+09
     4      0      3      6              1458.13          4.72800E-02          1.84207E+09
     4      0      5      7              1534.77          1.37700E-02          1.84207E+09
     4      0      3      7              1518.97          2.11500E-02          1.84207E+09
     4      0      5      8              1594.77          3.29600E-03          1.84207E+09
     4      0      3      8              1579.09          5.68400E-03          1.84207E+09
     4      0      5      9              1652.64          3.37400E-04          1.84207E+09
     4      0      3      9              1637.37          7.19900E-04          1.84207E+09
     4      0      5     10              1706.80          3.68900E-06          1.84207E+09
     4      0      3     10              1692.35          1.75800E-05          1.84207E+09
     4      0      5     11              1755.28          5.82000E-07          1.84207E+09
     4      0      3     11              1742.16          7.18900E-07          1.84207E+09
     4      0      5     12              1795.55          3.32400E-09          1.84207E+09
     4      0      3     12              1784.47          6.63300E-09          1.84207E+09
     4      0      5     13              1824.43          1.64300E-09          1.84207E+09
     4      0      3     13              1816.36          1.11100E-08          1.84207E+09
     4      0      3     14              1834.23          2.47400E-09          1.84207E+09
     5      0      6      0              1131.75          7.48400E-04          1.83034E+09
     5      0      4      0              1116.01          7.78500E-04          1.83034E+09
     5      0      6      1              1185.97          5.79300E-03          1.83034E+09
     5      0      4      1              1169.56          6.21400E-03          1.83034E+09
     5      0      6      2              1242.04          2.02100E-02          1.83034E+09
     5      0      4      2              1224.99          2.24800E-02          1.83034E+09
     5      0      6      3              1299.81          4.19800E-02          1.83034E+09
     5      0      4      3              1282.14          4.87200E-02          1.83034E+09
     5      0      6      4              1359.01          5.73800E-02          1.83034E+09
     5      0      4      4              1340.79          6.99900E-02          1.83034E+09
     5      0      6      5              1419.27          5.35300E-02          1.83034E+09
     5      0      4      5              1400.61          6.92800E-02          1.83034E+09
     5      0      6      6              1480.08          3.39000E-02          1.83034E+09
     5      0      4      6              1461.12          4.72300E-02          1.83034E+09
     5      0      6      7              1540.74          1.38700E-02          1.83034E+09
     5      0      4      7              1521.67          2.13000E-02          1.83034E+09
     5      0      6      8              1600.29          3.23000E-03          1.83034E+09
     5      0      4      8              1581.40          5.73000E-03          1.83034E+09
     5      0      6      9              1657.49          3.06100E-04          1.83034E+09
     5      0      4      9              1639.15          7.12300E-04          1.83034E+09
     5      0      6     10              1710.72          2.02500E-06          1.83034E+09
     5      0      4     10              1693.44          1.54300E-05          1.83034E+09
     5      0      6     11              1757.93          6.36700E-07          1.83034E+09
     5      0      4     11              1742.36          8.66900E-07          1.83034E+09
     5      0      6     12              1796.48          1.33600E-08          1.83034E+09
     5      0      4     12              1783.51          2.02700E-09          1.83034E+09
     5      0      6     13              1823.00          2.12300E-10          1.83034E+09
     5      0      4     13              1813.89          9.90600E-09          1.83034E+09
     6      0      7      0              1138.86          7.30300E-04          1.81624E+09
     6      0      5      0              1120.40          7.16200E-04          1.81624E+09
     6      0      7      1              1193.22          5.71200E-03          1.81624E+09
     6      0      5      1              1173.98          5.81000E-03          1.81624E+09
     6      0      7      2              1249.40          2.01300E-02          1.81624E+09
     6      0      5      2              1229.41          2.13700E-02          1.81624E+09
     6      0      7      3              1307.21          4.22000E-02          1.81624E+09
     6      0      5      3              1286.52          4.70900E-02          1.81624E+09
     6      0      7      4              1366.39          5.81300E-02          1.81624E+09
     6      0      5      4              1345.09          6.87700E-02          1.81624E+09
     6      0      7      5              1426.55          5.44600E-02          1.81624E+09
     6      0      5      5              1404.75          6.91100E-02          1.81624E+09
     6      0      7      6              1487.14          3.44600E-02          1.81624E+09
     6      0      5      6              1465.02          4.77100E-02          1.81624E+09
     6      0      7      7              1547.42          1.39400E-02          1.81624E+09
     6      0      5      7              1525.22          2.16800E-02          1.81624E+09
     6      0      7      8              1606.40          3.13900E-03          1.81624E+09
     6      0      5      8              1584.47          5.81800E-03          1.81624E+09
     6      0      7      9              1662.78          2.69800E-04          1.81624E+09
     6      0      5      9              1641.58          7.02300E-04          1.81624E+09
     6      0      7     10              1714.89          7.37500E-07          1.81624E+09
     6      0      5     10              1695.01          1.26800E-05          1.81624E+09
     6      0      7     11              1760.56          6.52200E-07          1.81624E+09
     6      0      5     11              1742.81          1.06800E-06          1.81624E+09
     6      0      7     12              1797.02          3.24100E-08          1.81624E+09
     6      0      5     12              1782.50          8.30300E-11          1.81624E+09
     6      0      7     13              1820.59          4.09700E-10          1.81624E+09
     6      0      5     13              1810.96          7.41500E-09          1.81624E+09
     7      0      8      0              1146.86          7.05400E-04          1.79981E+09
     7      0      6      0              1125.72          6.56800E-04          1.79981E+09
     7      0      8      1              1201.36          5.58800E-03          1.79981E+09
     7      0      6      1              1179.35          5.42700E-03          1.79981E+09
     7      0      8      2              1257.63          1.99400E-02          1.79981E+09
     7      0      6      2              1234.79          2.03400E-02          1.79981E+09
     7      0      8      3              1315.48          4.22800E-02          1.79981E+09
     7      0      6      3              1291.86          4.56700E-02          1.79981E+09
     7      0      8      4              1374.62          5.87700E-02          1.79981E+09
     7      0      6      4              1350.33          6.79000E-02          1.79981E+09
     7      0      8      5              1434.63          5.53700E-02          1.79981E+09
     7      0      6      5              1409.80          6.93500E-02          1.79981E+09
     7      0      8      6              1494.93          3.50000E-02          1.79981E+09
     7      0      6      6              1469.79          4.85000E-02          1.79981E+09
     7      0      8      7              1554.75          1.39700E-02          1.79981E+09
     7      0      6      7              1529.59          2.21900E-02          1.79981E+09
     7      0      8      8              1613.04          3.02200E-03          1.79981E+09
     7      0      6      8              1588.26          5.91500E-03          1.79981E+09
     7      0      8      9              1668.45          2.29300E-04          1.79981E+09
     7      0      6      9              1644.59          6.84300E-04          1.79981E+09
     7      0      8     10              1719.20          5.61300E-08          1.79981E+09
     7      0      6     10              1696.99          9.39300E-06          1.79981E+09
     7      0      8     11              1763.03          6.02400E-07          1.79981E+09
     7      0      6     11              1743.43          1.30700E-06          1.79981E+09
     7      0      8     12              1796.99          5.96800E-08          1.79981E+09
     7      0      6     12              1781.34          7.09600E-09          1.79981E+09
     7      0      6     13              1807.41          3.65700E-09          1.79981E+09
     8      0      9      0              1155.71          6.75500E-04          1.78106E+09
     8      0      7      0              1131.97          5.99500E-04          1.78106E+09
     8      0      9      1              1210.35          5.43100E-03          1.78106E+09
     8      0      7      1              1185.66          5.05500E-03          1.78106E+09
     8      0      9      2              1266.72          1.96600E-02          1.78106E+09
