# Data for C- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    7     9     1.1599424894E+05     3.1303136138E+08     8.7452747881E-02
    7    10     1.1697481757E+05     4.0962983804E+08     1.6419744507E-01
    7    11     1.1776867305E+05     7.5645613320E+08     1.3256977216E-01
    7    12     1.1833787567E+05     9.1607742775E+08     1.0770572518E-01
    8     0     1.0119026743E+05     2.5682187167E-02     1.6463836758E+00
    8     1     1.0338913276E+05     1.1551575331E-01     5.0739953749E-01
    8     2     1.0545623636E+05     1.2213348884E+01     5.6035004194E-02
    8     3     1.0739350223E+05     9.1439603998E+02     9.6785464976E-02
    8     4     1.0920200894E+05     1.0496752522E+04     6.5490806286E-02
    8     5     1.1088097218E+05     5.0943453214E+05     7.9027119558E-02
    8     6     1.1242846379E+05     1.6893194058E+06     1.0776896024E-01
    8     7     1.1384022915E+05     4.2782603553E+07     6.9763809715E-02
    8     8     1.1510984053E+05     7.6351740752E+07     1.2170777183E-01
    8     9     1.1622709426E+05     5.3075463476E+08     7.7454192132E-02
    8    10     1.1717616231E+05     8.3922864189E+08     9.3484288686E-02
    8    11     1.1793244890E+05     9.0975973868E+08     1.1876255529E-01
    9     0     1.0168670154E+05     2.4940297739E-02     1.7011843568E+00
    9     1     1.0385917220E+05     8.1893748409E-02     7.2433182187E-01
    9     2     1.0590039261E+05     3.0789345191E+01     7.4387948070E-02
    9     3     1.0781211540E+05     8.5261530324E+02     1.5174473366E-01
    9     4     1.0959516747E+05     2.6425353726E+04     6.9587253071E-02
    9     5     1.1124844314E+05     5.0221882367E+05     1.2494560803E-01
    9     6     1.1276967516E+05     3.6715118631E+06     8.2487265692E-02
    9     7     1.1415416219E+05     4.0720166702E+07     1.1184772827E-01
    9     8     1.1539479547E+05     1.1982962888E+08     1.0213181901E-01
    9     9     1.1648030617E+05     4.5068120395E+08     1.1931911364E-01
    9    10     1.1739328512E+05     8.3772976886E+08     1.1127627177E-01
    9    11     1.1810568247E+05     9.1715590689E+08     1.2657355227E-01
   10     0     1.0222598106E+05     2.4870407436E-02     1.7456783344E+00
   10     1     1.0436959794E+05     6.6601535696E-02     8.4887512960E-01
   10     2     1.0638249208E+05     6.9406978383E+01     1.0113240556E-01
   10     3     1.0826622771E+05     6.1771080412E+02     2.3973011084E-01
   10     4     1.1002132374E+05     6.0224815341E+04     9.1143978539E-02
   10     5     1.1164634107E+05     4.0394614090E+05     1.9223144175E-01
   10     6     1.1313857733E+05     7.8720852659E+06     8.9446628722E-02
   10     7     1.1449283822E+05     3.3472331099E+07     1.6921087301E-01
   10     8     1.1570118484E+05     1.9745369997E+08     1.0017855493E-01
   10     9     1.1675102961E+05     3.7116940443E+08     1.6760755552E-01
   10    10     1.1762292432E+05     8.1010527871E+08     1.3294302277E-01
   10    11     1.1828397942E+05     9.0983904469E+08     1.3417881300E-01
   11     0     1.0280486569E+05     2.7450495068E-02     1.7382774226E+00
   11     1     1.0491729363E+05     9.3124397184E-01     1.0400557391E-01
   11     2     1.0689953014E+05     2.0715690857E+02     9.4375936846E-02
   11     3     1.0875293196E+05     1.9374628831E+03     1.0052731861E-01
   11     4     1.1047764564E+05     1.9704294163E+05     8.1593882669E-02
   11     5     1.1207189146E+05     5.9998316656E+05     1.4790078799E-01
   11     6     1.1353242280E+05     2.5747432465E+07     7.4774848790E-02
   11     7     1.1485348475E+05     4.6268187138E+07     1.4321088472E-01
   11     8     1.1602613281E+05     4.7796397540E+08     8.1476428287E-02
   11     9     1.1703615537E+05     8.2149635925E+08     9.9599040457E-02
   11    10     1.1786137161E+05     8.8351975031E+08     1.3864332593E-01
   12     0     1.0342005161E+05     3.0023204648E-02     1.7984016797E+00
   12     1     1.0549908020E+05     3.2712598789E+00     1.0422615779E-01
   12     2     1.0744843959E+05     2.1689183062E+02     1.5833818208E-01
   12     3     1.0926925504E+05     6.7988458587E+03     9.0535826232E-02
   12     4     1.1096123197E+05     2.0796983095E+05     1.3804757517E-01
   12     5     1.1252223767E+05     1.6236317023E+06     1.0400428976E-01
   12     6     1.1394837096E+05     2.4964522357E+07     1.2850514017E-01
   12     7     1.1523320848E+05     8.3545190362E+07     1.1842984468E-01
   12     8     1.1636658427E+05     3.8465654146E+08     1.3693162184E-01
   12     9     1.1733228691E+05     8.3293750905E+08     1.2407146817E-01
   12    10     1.1810432059E+05     8.9555076556E+08     1.5225893881E-01
   13     0     1.0406821297E+05     3.3436405600E-02     1.6730324265E+00
   13     1     1.0611175497E+05     2.4506423865E+01     6.5381629061E-02
   13     2     1.0802612739E+05     1.8882486198E+02     2.2123521420E-01
   13     3     1.0981219109E+05     5.6632233854E+04     5.6961571660E-02
   13     4     1.1146914365E+05     1.7088003368E+05     2.1159018028E-01
   13     5     1.1299446754E+05     1.3568001615E+07     5.3048793215E-02
   13     6     1.1438350746E+05     2.2509143400E+07     1.7770876182E-01
   13     7     1.1562900710E+05     4.6272276891E+08     5.7717470958E-02
   13     8     1.1671929920E+05     7.9636106325E+08     8.9812603966E-02
   13     9     1.1763566921E+05     8.5485445317E+08     1.4620480765E-01
   13    10     1.1834653976E+05     9.6389836680E+08     1.5424790613E-01
   14     0     1.0474603790E+05     8.5050413146E-02     6.6528812131E-01
   14     1     1.0675212541E+05     3.4127249605E+01     1.2724961406E-01
   14     2     1.0862950587E+05     6.2411548227E+02     1.1951798462E-01
   14     3     1.1037872949E+05     7.1970304921E+04     1.1734914075E-01
   14     4     1.1199842902E+05     3.2705255837E+05     1.5023494736E-01
   14     5     1.1348563495E+05     1.4724927665E+07     1.1163170846E-01
   14     6     1.1483485477E+05     3.6325050061E+07     1.4821881196E-01
   14     7     1.1603776698E+05     3.6960002790E+08     1.1912607627E-01
   14     8     1.1708082780E+05     8.1178293117E+08     1.2146214273E-01
   14     9     1.1794205623E+05     8.7097488263E+08     1.6769074044E-01
   15     0     1.0545025902E+05     3.3346638761E-01     2.7623592085E-01
   15     1     1.0741703732E+05     3.5303640438E+01     2.0628623646E-01
   15     2     1.0925551843E+05     2.6170071730E+03     1.2806728412E-01
   15     3     1.1096587766E+05     7.1403401368E+04     1.8983833253E-01
   15     4     1.1254614213E+05     1.1058536021E+06     1.3133292658E-01
   15     5     1.1399277624E+05     1.3045364218E+07     1.8222894332E-01
   15     6     1.1529937471E+05     7.8006736165E+07     1.3934215839E-01
   15     7     1.1645624375E+05     2.6999309809E+08     1.9246005898E-01
   15     8     1.1744745136E+05     8.2183796903E+08     1.5452437486E-01
   15     9     1.1824645710E+05     8.8221663514E+08     1.8695001502E-01
   16     0     1.0617767793E+05     2.7589087594E+00     1.4232788065E-01
   16     1     1.0810339766E+05     4.6874518934E+01     1.9375857246E-01
   16     2     1.0990115931E+05     1.9135749066E+04     1.1241236864E-01
   16     3     1.1157067885E+05     7.5044128168E+04     2.1773088393E-01
   16     4     1.1310935352E+05     7.5244657266E+06     1.0826107131E-01
   16     5     1.1451291987E+05     1.6902515323E+07     1.8085641348E-01
   16     6     1.1577396223E+05     3.2541335842E+08     1.1436250898E-01
   16     7     1.1688102127E+05     7.8719367975E+08     1.2289829711E-01
   16     8     1.1781505883E+05     8.4702739056E+08     1.8323293328E-01
   17     0     1.0692518469E+05     3.7295878041E+00     2.0331951492E-01
   17     1     1.0880819203E+05     2.6408680394E+02     1.4772869840E-01
   17     2     1.1056348780E+05     2.2222530358E+04     1.8701598178E-01
   17     3     1.1219022514E+05     2.7441724545E+05     1.5705810414E-01
   17     4     1.1368515403E+05     7.2672456576E+06     1.8250750526E-01
   17     5     1.1504308608E+05     3.9020090533E+07     1.6124359524E-01
   17     6     1.1625542824E+05     2.3029283006E+08     1.9477641953E-01
   17     7     1.1730844602E+05     8.0229204865E+08     1.6365322962E-01
   17     8     1.1817890504E+05     8.6295133208E+08     2.1002597825E-01
   18     0     1.0768977205E+05     3.3700530007E+00     2.8987980215E-01
   18     1     1.0952849728E+05     3.6942259235E+03     1.1884848583E-01
   18     2     1.1123963705E+05     1.8994313753E+04     2.6814293672E-01
   18     3     1.1282166522E+05     3.3478133783E+06     1.1623176979E-01
   18     4     1.1427065264E+05     7.9942360747E+06     2.1130953176E-01
   18     5     1.1558027370E+05     2.5940699421E+08     1.2158801276E-01
   18     6     1.1674046379E+05     7.5209313905E+08     1.3023859031E-01
   18     7     1.1773452037E+05     8.1823786914E+08     2.0220383495E-01
   19     0     1.0846854514E+05     1.5650758127E+01     1.8805979600E-01
   19     1     1.1026148943E+05     4.8356512954E+03     1.9935282896E-01
   19     2     1.1192681799E+05     6.4564682869E+04     1.8975467675E-01
   19     3     1.1346220603E+05     3.4214306660E+06     1.9699451305E-01
   19     4     1.1486296965E+05     1.9851290236E+07     1.8630592870E-01
   19     5     1.1612143057E+05     1.7754129809E+08     2.0989154955E-01
   19     6     1.1722557311E+05     7.6791173442E+08     1.8006217166E-01
   19     7     1.1815470793E+05     8.3642644212E+08     2.3635250728E-01
   20     0     1.0925872701E+05     4.1237536364E+02     1.3562733353E-01
   20     1     1.1100444721E+05     4.1722224729E+03     2.9862595070E-01
   20     2     1.1262231905E+05     1.2803206556E+06     1.3453847903E-01
   20     3     1.1410910731E+05     3.6915351998E+06     2.3687806495E-01
   20     4     1.1545922474E+05     1.8822154816E+08     1.3980445701E-01
   20     5     1.1666340570E+05     7.2035609630E+08     1.4430063845E-01
   20     6     1.1770695538E+05     7.8294070733E+08     2.2645412774E-01
   21     0     1.1005766062E+05     5.8615561993E+02     2.2307044492E-01
   21     1     1.1175475147E+05     1.3181629598E+04     2.2590254297E-01
   21     2     1.1332350215E+05     1.3242870250E+06     2.2341172301E-01
   21     3     1.1475966677E+05     1.0013052443E+07     2.1461649890E-01
   21     4     1.1605651570E+05     1.2107654523E+08     2.3763513276E-01
   21     5     1.1720287838E+05     7.1725998345E+08     2.0499694783E-01
   21     6     1.1818030197E+05     8.0310316209E+08     2.6713900707E-01
   22     0     1.1086280752E+05     5.3596051332E+02     3.2805500021E-01
   22     1     1.1250988048E+05     6.6159084390E+04     2.4575037320E-01
   22     2     1.1402779500E+05     9.3426801631E+05     3.3295959472E-01
   22     3     1.1541119753E+05     2.6615014977E+07     2.4891669071E-01
   22     4     1.1665188042E+05     7.9262640501E+07     3.2666859391E-01
   22     5     1.1773624980E+05     6.7135446499E+08     2.6771431368E-01
   23     0     1.1167174374E+05     1.7234236931E+03     2.6417244099E-01
   23     1     1.1326740131E+05     3.8295697154E+05     2.6137055391E-01
   23     2     1.1473267890E+05     4.7247396467E+06     2.4852638610E-01
   23     3     1.1606099534E+05     7.0345890672E+07     2.7822018345E-01
   23     4     1.1724222918E+05     6.3821564562E+08     2.4009079498E-01
   23     5     1.1825945954E+05     7.6715172750E+08     3.0229741822E-01
   24     0     1.1248215293E+05     1.0439755715E+04     2.8280249682E-01
   24     1     1.1402495706E+05     2.6095969836E+05     3.7567039022E-01
   24     2     1.1543567010E+05     1.3438260484E+07     2.8933631378E-01
   24     3     1.1670629665E+05     5.4117207386E+07     3.3687151525E-01
   24     4     1.1782423042E+05     5.7109894682E+08     3.1253784742E-01
   25     0     1.1329181688E+05     6.2437120381E+04     3.1063695750E-01
   25     1     1.1478025034E+05     1.8640018267E+06     2.9125244886E-01
   25     2     1.1613429133E+05     3.2705445977E+07     3.3224182803E-01
   25     3     1.1734421982E+05     5.2222276590E+08     2.8642477852E-01
