# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    2    13     1.0482347633E+05     4.7614250482E+08     5.1406141768E-01
    2    14     1.0571753780E+05     4.1625939994E+08     5.7169575291E-01
    2    15     1.0660075959E+05     4.8329115304E+08     6.1523018841E-01
    2    16     1.0744550571E+05     4.5591594562E+08     6.9311984928E-01
    2    17     1.0826838154E+05     4.8671915558E+08     6.9548965677E-01
    2    18     1.0906031803E+05     4.6924806260E+08     7.5882124277E-01
    2    19     1.0983027256E+05     4.7215972344E+08     7.8803308602E-01
    2    20     1.1057039071E+05     4.5939057595E+08     8.4112222487E-01
    2    21     1.1129031355E+05     4.4207897920E+08     8.8798035086E-01
    2    22     1.1197903605E+05     4.4331948474E+08     9.1620132721E-01
    2    23     1.1265728861E+05     3.4738844539E+08     9.4861581324E-01
    2    24     1.1328816139E+05     4.3858725116E+08     9.5208347573E-01
    2    25     1.1390030592E+05     4.1477137265E+08     9.6079578977E-01
    2    26     1.1449763672E+05     4.4225722881E+08     9.5311637185E-01
    2    27     1.1506121443E+05     4.3996187137E+08     9.4355004115E-01
    2    28     1.1560342829E+05     4.5309344695E+08     9.1943115790E-01
    2    29     1.1611222754E+05     4.6678773149E+08     8.7300245237E-01
    2    30     1.1659414030E+05     4.8660036400E+08     8.1764374551E-01
    2    31     1.1703673429E+05     5.0934668767E+08     7.4307768516E-01
    2    32     1.1744146398E+05     5.4438732271E+08     6.4821004986E-01
    2    33     1.1779147755E+05     5.9042855279E+08     5.2463922686E-01
    2    34     1.1807641981E+05     6.6313011327E+08     3.6837158012E-01
    2    35     1.1826577249E+05     7.8039081795E+08     1.8011000362E-01
    2    36     1.1834226147E+05     9.2685189567E+08     4.5527492772E-02
    2    37     1.1836606207E+05     1.0328862993E+09     2.2013049820E-02
    3     0     9.0434770260E+04     1.2159040118E+01     7.3580885042E-02
    3     1     9.1741833400E+04     3.4067882631E+02     9.0136441084E-02
    3     2     9.3013659210E+04     2.1819787565E+04     1.0570763645E-01
    3     3     9.4251824630E+04     4.2872067774E+05     6.2359542560E-02
    3     4     9.5457032440E+04     1.8121677670E+06     1.5530785863E-01
    3     5     9.6629777310E+04     2.9760886852E+07     8.1042328901E-02
    3     6     9.7770417530E+04     6.7262275836E+07     1.1641381612E-01
    3     7     9.8879110530E+04     2.3575209846E+08     1.3459529424E-01
    3     8     9.9957715970E+04     4.2573754686E+08     1.4706285848E-01
    3     9     1.0100379497E+05     4.6384812788E+08     2.3532587243E-01
    3    10     1.0202287116E+05     4.3753332025E+08     3.3712887306E-01
    3    11     1.0300736720E+05     4.3466680024E+08     4.1706762229E-01
    3    12     1.0397649514E+05     4.3212083326E+08     4.2984251928E-01
    3    13     1.0489363193E+05     4.7413271435E+08     5.2182498731E-01
    3    14     1.0578743387E+05     4.5150988404E+08     5.8395162402E-01
    3    15     1.0666662690E+05     4.7955021261E+08     6.2373273416E-01
    3    16     1.0750807547E+05     4.5332984759E+08     7.0116416690E-01
    3    17     1.0833044454E+05     4.8355228934E+08     7.0254896017E-01
    3    18     1.0911892613E+05     4.6489563398E+08     7.6889514960E-01
    3    19     1.0988930374E+05     4.6422253885E+08     7.9865688293E-01
    3    20     1.1062532020E+05     4.5535722649E+08     8.5035362006E-01
    3    21     1.1134921741E+05     4.1477389985E+08     8.9866240281E-01
    3    22     1.1203045382E+05     4.4190001073E+08     9.1975587338E-01
    3    23     1.1267855407E+05     3.3167445773E+08     9.5500143337E-01
    3    24     1.1333617376E+05     4.3894675721E+08     9.5098210083E-01
    3    25     1.1394574802E+05     4.2082681614E+08     9.6690695893E-01
    3    26     1.1454224455E+05     4.4273348351E+08     9.5063359600E-01
    3    27     1.1510250741E+05     4.3849175809E+08     9.4695500923E-01
    3    28     1.1564441473E+05     4.5029733971E+08     9.2142079478E-01
    3    29     1.1614957572E+05     4.6506344539E+08     8.7438555743E-01
    3    30     1.1663079942E+05     4.8632213808E+08     8.1213132848E-01
    3    31     1.1706920169E+05     5.1205239898E+08     7.3564178505E-01
    3    32     1.1747212275E+05     5.4849010218E+08     6.3633921070E-01
    3    33     1.1781681328E+05     5.9217988800E+08     5.1707902851E-01
    3    34     1.1809717695E+05     6.6714059882E+08     3.5588430549E-01
    3    35     1.1827789287E+05     7.9645805714E+08     1.6518195198E-01
    3    36     1.1834721178E+05     9.8611500620E+08     3.9121170209E-02
    3    37     1.1836929896E+05     1.0796301587E+09     1.8464643340E-02
    4     0     9.0586501120E+04     1.5929993903E+01     7.9533980478E-02
    4     1     9.1886284290E+04     8.2975688923E+02     5.9783377721E-02
    4     2     9.3151890170E+04     2.0918463134E+04     1.2307263077E-01
    4     3     9.4384499260E+04     6.4790158967E+05     6.2933544371E-02
    4     4     9.5584635520E+04     2.7193151574E+06     1.1329092243E-01
    4     5     9.6752658240E+04     3.1118229713E+07     9.3647627901E-02
    4     6     9.7888842020E+04     1.0624782378E+08     8.8497003657E-02
    4     7     9.8993271500E+04     2.3107060369E+08     1.4775632210E-01
    4     8     1.0006850127E+05     4.6233746756E+08     1.4800133707E-01
    4     9     1.0111017260E+05     4.7455865006E+08     2.4059354373E-01
    4    10     1.0212941913E+05     4.2981708061E+08     3.4234760637E-01
    4    11     1.0310677280E+05     4.8293447132E+08     3.8405349420E-01
    4    12     1.0404622417E+05     4.3032196128E+08     4.3170222787E-01
    4    13     1.0498677771E+05     4.8786056225E+08     5.1445423225E-01
    4    14     1.0587819688E+05     4.7749050733E+08     5.7123404594E-01
    4    15     1.0675419791E+05     4.8059262389E+08     6.2702638203E-01
    4    16     1.0759170596E+05     4.7241820802E+08     6.7961769140E-01
    4    17     1.0841333036E+05     4.8161345496E+08     7.0665327234E-01
    4    18     1.0919708594E+05     4.7139031767E+08     7.6314894800E-01
    4    19     1.0996978365E+05     4.5088927013E+08     8.0177028113E-01
    4    20     1.1069848696E+05     4.5480012964E+08     8.5415751780E-01
    4    21     1.1144648454E+05     2.5136792936E+08     8.9683951216E-01
    4    22     1.1209893404E+05     4.4108704653E+08     9.2234732589E-01
    4    23     1.1275086731E+05     4.0723246398E+08     9.4902686448E-01
    4    24     1.1340018218E+05     4.3864532484E+08     9.5065580197E-01
    4    25     1.1400661586E+05     4.3002270336E+08     9.5931921602E-01
    4    26     1.1460186979E+05     4.4077233116E+08     9.5089983977E-01
    4    27     1.1515796790E+05     4.4475023827E+08     9.3629953128E-01
    4    28     1.1569944151E+05     4.4650799457E+08     9.1935152214E-01
    4    29     1.1619960155E+05     4.6604179500E+08     8.7171519634E-01
    4    30     1.1668020939E+05     4.9331332637E+08     7.8649200777E-01
    4    31     1.1711257768E+05     5.1468475362E+08     7.2852778246E-01
    4    32     1.1751336853E+05     5.5389722424E+08     6.1569133822E-01
    4    33     1.1785042323E+05     6.0115268358E+08     5.0192367465E-01
    4    34     1.1812488632E+05     6.8676052281E+08     3.2818061132E-01
    4    35     1.1829309193E+05     8.1274874265E+08     1.4658844332E-01
    4    36     1.1835314266E+05     1.0249801167E+09     3.2881288943E-02
    4    37     1.1837378409E+05     8.9036725388E+08     1.5680643788E-02
    5     0     9.0773521670E+04     1.8137511783E+01     9.5621957065E-02
    5     1     9.2064548360E+04     1.3976771966E+03     6.6628419349E-02
    5     2     9.3322604170E+04     2.1936643147E+04     1.3130006539E-01
    5     3     9.4548475740E+04     7.7318579640E+05     7.8023028578E-02
    5     4     9.5742427550E+04     3.9682308799E+06     9.6781463711E-02
    5     5     9.6904680090E+04     3.0365746511E+07     1.1249427247E-01
    5     6     9.8035421040E+04     1.2927934793E+08     9.2610002295E-02
    5     7     9.9134684610E+04     2.3449323157E+08     1.5792729606E-01
    5     8     1.0020656800E+05     4.6495627665E+08     1.6128796883E-01
    5     9     1.0124208196E+05     4.7061772805E+08     2.5548057686E-01
    5    10     1.0222461714E+05     2.7390808757E+08     3.5543005511E-01
    5    11     1.0323015285E+05     4.9148079402E+08     3.8832948813E-01
