# Data for B' states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
   11     3     1.1789697745E+05     3.4903259369E+04     1.4507837487E-01
   12     0     1.1411361393E+05     1.2449643986E+02     6.5710583866E-01
   12     1     1.1570506692E+05     6.1153618638E+01     4.0549595135E-01
   12     2     1.1703938541E+05     1.3230211588E+03     1.0281404468E-01
   12     3     1.1826016205E+05     9.8686409910E+05     2.5689145977E-02
   13    10     1.1465702451E+05     3.5832080978E+01     8.1719084157E-01
   13    11     1.1620445618E+05     1.0159238317E+03     6.7811177759E-01
   13    12     1.1752494266E+05     7.3485269734E+03     5.4965288271E-01
   14    10     1.1522387012E+05     4.7243272875E+01     8.5683224949E-01
   14    11     1.1672355361E+05     3.4431217360E+02     1.2941653435E-01
   14    12     1.1799821152E+05     4.3296089431E+04     3.9236239431E-01
   15     9     1.1581077207E+05     2.6534656677E+01     4.9694457274E-01
   15    10     1.1725848213E+05     4.8643927125E+02     1.4209165986E-01
   16     9     1.1641429931E+05     1.9256813059E+02     2.6465667909E-01
   16    10     1.1780505941E+05     8.6759250627E+03     2.2879858647E-01
   17     9     1.1703096651E+05     1.3039191217E+02     1.6095048492E-01
   17    10     1.1835862150E+05     1.3443204739E+04     1.1787889954E-01
   18     8     1.1765720968E+05     3.5073475878E+02     2.2450495414E-01
   19     8     1.1828932366E+05     9.1479080033E+05     3.4539456150E-01
