# Data for C- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    4     6     1.1139055492E+05     1.0743386020E+09     1.0057396537E+06     1.0753443417E+09     9.3527218657E-04     1.0368033031E-01
    4     7     1.1288182005E+05     1.0620672650E+09     3.3628492388E+06     1.0654301142E+09     3.1563301936E-03     1.1110132018E-01
    4     8     1.1423510317E+05     9.9751937600E+08     5.6452390265E+07     1.0539717663E+09     5.3561577333E-02     8.9315423388E-02
    4     9     1.1544271333E+05     9.3180285245E+08     8.8474571410E+07     1.0202774239E+09     8.6716190460E-02     1.4613940823E-01
    4    10     1.1649263437E+05     5.2163962000E+08     4.9829254243E+08     1.0199321624E+09     4.8855459293E-01     9.4014859721E-02
    4    11     1.1736724298E+05     2.4296199000E+08     5.8121287368E+08     8.2417486368E+08     7.0520577525E-01     1.3332708611E-01
    4    12     1.1803852759E+05     1.7359118280E+08     6.3087901967E+08     8.0447020247E+08     7.8421676494E-01     1.4764561271E-01
    5     0     9.9988488660E+04     1.1712617956E+09     2.9714357298E-02     1.1712617956E+09     2.5369526616E-11     1.2260245911E+00
    5     1     1.0225061001E+05     1.1505200544E+09     7.5192309287E-02     1.1505200544E+09     6.5355061824E-11     4.8949971097E-01
    5     2     1.0437963796E+05     1.1311613508E+09     8.2483384248E-01     1.1311613516E+09     7.2919203019E-10     2.7663376835E-01
    5     3     1.0637791026E+05     1.1137691740E+09     2.0819959535E+02     1.1137693822E+09     1.8693241049E-07     6.0488836328E-02
    5     4     1.0824700778E+05     1.0982559632E+09     2.7434978963E+03     1.0982587067E+09     2.4980433840E-06     1.5580411988E-01
    5     5     1.0998695657E+05     1.0846676430E+09     9.4541608718E+04     1.0847621846E+09     8.7154226114E-05     5.3740540513E-02
    5     6     1.1159644667E+05     1.0727580781E+09     1.0813040405E+06     1.0738393821E+09     1.0069513733E-03     1.2031504634E-01
    5     7     1.1307232113E+05     1.0579459228E+09     8.1380249614E+06     1.0660839478E+09     7.6335686121E-03     6.4217069151E-02
    5     8     1.1440949217E+05     1.0003725600E+09     6.2015558965E+07     1.0623881190E+09     5.8373731650E-02     1.0232082239E-01
    5     9     1.1559984008E+05     8.9302876120E+08     1.7086535580E+08     1.0638941170E+09     1.6060372275E-01     8.8086420891E-02
    5    10     1.1663067397E+05     5.7193129000E+08     5.0042699865E+08     1.0723582886E+09     4.6666026080E-01     1.0888977306E-01
    5    11     1.1748329711E+05     2.5547020000E+08     8.3468945645E+08     1.0901596564E+09     7.6565799469E-01     1.0168131476E-01
    5    12     1.1812745311E+05     1.7511588540E+08     9.4739697327E+08     1.1225128587E+09     8.4399654396E-01     1.0137432189E-01
    6     0     1.0033829712E+05     1.1677394749E+09     2.8400179983E-02     1.1677394749E+09     2.4320647364E-11     1.3728130762E+00
    6     1     1.0258209840E+05     1.1472199635E+09     8.7691306870E-02     1.1472199635E+09     7.6438093528E-11     4.9037063957E-01
    6     2     1.0469320658E+05     1.1280900774E+09     7.4979780616E-01     1.1280900782E+09     6.6466128961E-10     3.3468919240E-01
    6     3     1.0667383901E+05     1.1109374330E+09     3.2683523778E+02     1.1109377598E+09     2.9419761359E-07     7.8040791973E-02
    6     4     1.0852544361E+05     1.0956827095E+09     2.1764779101E+03     1.0956848859E+09     1.9864086272E-06     2.1487575310E-01
    6     5     1.1024780955E+05     1.0823318641E+09     1.5451167427E+05     1.0824863757E+09     1.4273775424E-04     6.7194871302E-02
    6     6     1.1183947022E+05     1.0709954051E+09     9.2604323941E+05     1.0719214484E+09     8.6390960905E-04     1.6378449914E-01
    6     7     1.1329694685E+05     1.0516900620E+09     1.2943692992E+07     1.0646337550E+09     1.2157883339E-02     6.7572577885E-02
    6     8     1.1461480464E+05     1.0067242800E+09     5.4810692566E+07     1.0615349726E+09     5.1633430817E-02     1.3760367978E-01
    6     9     1.1578437932E+05     8.3330051790E+08     2.3057688416E+08     1.0638774021E+09     2.1673257061E-01     8.4129897451E-02
    6    10     1.1679213933E+05     6.2740000400E+08     4.4602244763E+08     1.0734224516E+09     4.1551436431E-01     1.3771395336E-01
    6    11     1.1761795102E+05     2.8352923000E+08     8.0955068959E+08     1.0930799196E+09     7.4061436413E-01     1.1468110499E-01
    6    12     1.1822841380E+05     1.8490647160E+08     9.4396056226E+08     1.1288670339E+09     8.3620172611E-01     1.0415160864E-01
    7     0     1.0073980918E+05     1.1637079977E+09     2.6857253858E-02     1.1637079977E+09     2.3079031777E-11     1.5327340812E+00
    7     1     1.0296248966E+05     1.1434372670E+09     9.8057212658E-02     1.1434372671E+09     8.5756530316E-11     5.2613230171E-01
    7     2     1.0505292394E+05     1.1245848517E+09     1.4831359599E+00     1.1245848532E+09     1.3188297492E-09     2.0423376213E-01
    7     3     1.0701319124E+05     1.1077095401E+09     5.0029585328E+02     1.1077100404E+09     4.5164874837E-07     9.8238086332E-02
    7     4     1.0884457428E+05     1.0927503231E+09     1.9781130532E+03     1.0927523012E+09     1.8102117479E-06     2.4245967115E-01
    7     5     1.1054658993E+05     1.0796653520E+09     2.4760292549E+05     1.0799129549E+09     2.2928044743E-04     8.4290020530E-02
    7     6     1.1211757067E+05     1.0690348640E+09     7.3515357103E+05     1.0697700176E+09     6.8720711831E-04     2.2042515830E-01
    7     7     1.1355367004E+05     1.0426465614E+09     2.0389096683E+07     1.0630356581E+09     1.9180068446E-02     7.8269694186E-02
    7     8     1.1484901228E+05     1.0150887400E+09     4.5564729312E+07     1.0606534693E+09     4.2959110237E-02     1.8319597959E-01
    7     9     1.1599424894E+05     7.5091767610E+08     3.1303136138E+08     1.0639490375E+09     2.9421649943E-01     8.7452747881E-02
    7    10     1.1697481757E+05     6.6524609680E+08     4.0962983804E+08     1.0748759348E+09     3.8109499409E-01     1.6419744507E-01
    7    11     1.1776867305E+05     3.4020060000E+08     7.5645613320E+08     1.0966567332E+09     6.8978387703E-01     1.3256977216E-01
    7    12     1.1833787567E+05     2.2078151950E+08     9.1607742775E+08     1.1368589473E+09     8.0579691084E-01     1.0770572518E-01
    8     0     1.0119026743E+05     1.1592011341E+09     2.5682187167E-02     1.1592011341E+09     2.2155074223E-11     1.6463836758E+00
    8     1     1.0338913276E+05     1.1392152677E+09     1.1551575331E-01     1.1392152678E+09     1.0139940763E-10     5.0739953749E-01
    8     2     1.0545623636E+05     1.1206710709E+09     1.2213348884E+01     1.1206710832E+09     1.0898245763E-08     5.6035004194E-02
    8     3     1.0739350223E+05     1.1041109685E+09     9.1439603998E+02     1.1041118829E+09     8.2817335284E-07     9.6785464976E-02
    8     4     1.0920200894E+05     1.0894850562E+09     1.0496752522E+04     1.0894955530E+09     9.6345069916E-06     6.5490806286E-02
    8     5     1.1088097218E+05     1.0765619490E+09     5.0943453214E+05     1.0770713835E+09     4.7298121548E-04     7.9027119558E-02
    8     6     1.1242846379E+05     1.0657351700E+09     1.6893194058E+06     1.0674244894E+09     1.5826125619E-03     1.0776896024E-01
    8     7     1.1384022915E+05     1.0185946306E+09     4.2782603553E+07     1.0613772342E+09     4.0308574724E-02     6.9763809715E-02
    8     8     1.1510984053E+05     9.8355275000E+08     7.6351740752E+07     1.0599044908E+09     7.2036434809E-02     1.2170777183E-01
    8     9     1.1622709426E+05     5.3389737900E+08     5.3075463476E+08     1.0646520138E+09     4.9852405096E-01     7.7454192132E-02
    8    10     1.1717616231E+05     2.3884612900E+08     8.3922864189E+08     1.0780747709E+09     7.7845123970E-01     9.3484288686E-02
    8    11     1.1793244890E+05     1.9235368000E+08     9.0975973868E+08     1.1021134187E+09     8.2546834406E-01     1.1876255529E-01
    9     0     1.0168670154E+05     1.1542463476E+09     2.4940297739E-02     1.1542463476E+09     2.1607430503E-11     1.7011843568E+00
    9     1     1.0385917220E+05     1.1345814626E+09     8.1893748409E-02     1.1345814627E+09     7.2179698947E-11     7.2433182187E-01
    9     2     1.0590039261E+05     1.1163777840E+09     3.0789345191E+01     1.1163778148E+09     2.7579682060E-08     7.4387948070E-02
    9     3     1.0781211540E+05     1.1001777119E+09     8.5261530324E+02     1.1001785645E+09     7.7497901772E-07     1.5174473366E-01
    9     4     1.0959516747E+05     1.0859268881E+09     2.6425353726E+04     1.0859533135E+09     2.4333784334E-05     6.9587253071E-02
    9     5     1.1124844314E+05     1.0735003136E+09     5.0221882367E+05     1.0740025324E+09     4.6761418946E-04     1.2494560803E-01
    9     6     1.1276967516E+05     1.0612517560E+09     3.6715118631E+06     1.0649232679E+09     3.4476773810E-03     8.2487265692E-02
    9     7     1.1415416219E+05     1.0188679284E+09     4.0720166702E+07     1.0595880951E+09     3.8430185173E-02     1.1184772827E-01
