# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
   20    22     1.1492063696E+05     1.5232660000E+08     4.4744477851E+08     5.9977137851E+08     7.4602555998E-01     1.0431514818E+00
   20    23     1.1545547246E+05     2.2606400120E+08     3.4788620863E+08     5.7395020983E+08     6.0612611106E-01     1.0258667782E+00
   20    24     1.1600160422E+05     1.3195055500E+08     4.5834271770E+08     5.9029327270E+08     7.7646610405E-01     9.9917006376E-01
   20    25     1.1649474764E+05     1.2338863558E+08     4.7360426618E+08     5.9699290176E+08     7.9331641094E-01     9.3516278241E-01
   20    26     1.1697055381E+05     1.1099154060E+08     4.9332049917E+08     6.0431203977E+08     8.1633405709E-01     8.7811713277E-01
   20    27     1.1739793845E+05     9.6363154000E+07     5.1971138989E+08     6.1607454389E+08     8.4358523663E-01     8.0048326103E-01
   20    28     1.1780633121E+05     1.2661198100E+08     6.1707291587E+08     7.4368489687E+08     8.2975050114E-01     5.4536594443E-01
   20    29     1.1812569821E+05     6.8422221600E+07     6.0791276198E+08     6.7633498358E+08     8.9883382752E-01     5.5276857001E-01
   21     0     9.6954538200E+04     1.3813366270E+09     1.1536830427E+06     1.3824903100E+09     8.3449629579E-04     2.5691393521E-01
   21     1     9.8050267310E+04     1.2215956500E+09     3.3320391501E+07     1.2549160415E+09     2.6551889050E-02     1.7273429067E-01
   21     2     9.9121393910E+04     7.8703218480E+08     2.4730142093E+08     1.0343336057E+09     2.3909251286E-01     1.6277167987E-01
   21     3     1.0016713801E+05     6.7572190000E+08     5.0005582673E+08     1.1757777267E+09     4.2529792439E-01     2.3589057590E-01
   21     4     1.0118694992E+05     5.7206148300E+08     5.5399964178E+08     1.1260611248E+09     4.9198007958E-01     3.0374393798E-01
   21     5     1.0218049445E+05     5.2558825800E+08     5.3583252398E+08     1.0614207820E+09     5.0482573271E-01     3.8846092668E-01
   21     6     1.0314762819E+05     4.9033033000E+08     5.5221723667E+08     1.0425475667E+09     5.2968061537E-01     4.4854441423E-01
   21     7     1.0408832409E+05     4.3991206800E+08     5.5317978436E+08     9.9309185236E+08     5.5702781474E-01     5.0643702665E-01
   21     8     1.0500266049E+05     3.9463373710E+08     5.4291732740E+08     9.3755106450E+08     5.7908027409E-01     5.6930996306E-01
   21     9     1.0589079004E+05     3.6621769230E+08     5.3843590199E+08     9.0465359429E+08     5.9518461585E-01     6.2631039449E-01
   21    10     1.0675292748E+05     3.4599632700E+08     5.2833475662E+08     8.7433108362E+08     6.0427310263E-01     6.8462617090E-01
   21    11     1.0758933129E+05     3.2434559289E+08     5.2185149844E+08     8.4619709133E+08     6.1670207069E-01     7.3360822397E-01
   21    12     1.0840026421E+05     2.9946164620E+08     5.1446117100E+08     8.1392281720E+08     6.3207611352E-01     7.7994466363E-01
   21    13     1.0918598551E+05     2.7454436000E+08     5.0523566144E+08     7.7978002144E+08     6.4792075656E-01     8.2550007126E-01
   21    14     1.0994623093E+05     2.5635151400E+08     4.9431570900E+08     7.5066722300E+08     6.5850178861E-01     8.6809255030E-01
   21    15     1.1068347326E+05     2.3550624613E+08     4.8700007171E+08     7.2250631784E+08     6.7404264805E-01     9.1032008638E-01
   21    16     1.1139483643E+05     2.2209017600E+08     4.7821354294E+08     7.0030371894E+08     6.8286591947E-01     9.4744289588E-01
   21    17     1.1208470364E+05     2.1291665000E+08     4.7000185145E+08     6.8291850145E+08     6.8822538920E-01     9.7930396762E-01
   21    18     1.1274733558E+05     1.9797705980E+08     4.6500295491E+08     6.6298001471E+08     7.0138306524E-01     1.0060103177E+00
   21    19     1.1340753423E+05     5.2550701000E+08     2.8327759976E+08     8.0878460976E+08     3.5025097701E-01     1.0198638462E+00
   21    20     1.1400484809E+05     1.7496620770E+08     4.5660770300E+08     6.3157391070E+08     7.2296796189E-01     1.0382595689E+00
   21    21     1.1459381860E+05     1.7461131379E+08     4.4673624194E+08     6.2134755573E+08     7.1897964001E-01     1.0466644772E+00
   21    22     1.1516655928E+05     1.5362605300E+08     4.5469530040E+08     6.0832135340E+08     7.4745904917E-01     1.0358330620E+00
   21    23     1.1570587451E+05     1.3976901360E+08     4.5899772181E+08     5.9876673541E+08     7.6657184621E-01     1.0175113394E+00
   21    24     1.1622993036E+05     1.5103574300E+08     4.3991998892E+08     5.9095573192E+08     7.4442122338E-01     9.9489002484E-01
   21    25     1.1670960126E+05     1.1599898960E+08     4.7771192195E+08     5.9371091155E+08     8.0462041822E-01     9.4261639479E-01
   21    26     1.1715586944E+05     1.2089263800E+08     4.9820340352E+08     6.1909604152E+08     8.0472716688E-01     8.2075047464E-01
   21    27     1.1758273768E+05     9.3041308900E+07     5.3514243540E+08     6.2818374430E+08     8.5188838498E-01     7.6900204845E-01
   21    28     1.1795040472E+05     7.8672317891E+07     5.7350697764E+08     6.5217929553E+08     8.7937010814E-01     6.5270087917E-01
   21    29     1.1827165040E+05     9.2683227000E+07     6.7129612575E+08     7.6397935275E+08     8.7868359705E-01     4.3942101517E-01
   22     0     9.7445965730E+04     1.2946990650E+09     1.4757419070E+06     1.2961748069E+09     1.1385361752E-03     2.6514661862E-01
   22     1     9.8530224510E+04     8.5630757000E+08     4.6696692991E+07     9.0300426299E+08     5.1712594176E-02     2.6138843162E-01
   22     2     9.9589505070E+04     6.7653941180E+08     3.8927189413E+08     1.0658113059E+09     3.6523528317E-01     2.2878519440E-01
   22     3     1.0062318663E+05     5.6666823000E+08     5.3384619789E+08     1.1005144279E+09     4.8508786833E-01     2.7536113759E-01
   22     4     1.0163085809E+05     5.4091332000E+08     5.6105083236E+08     1.1019641524E+09     5.0913709957E-01     3.5026098999E-01
   22     5     1.0261227821E+05     4.8693883300E+08     5.4618555123E+08     1.0331243842E+09     5.2867356493E-01     4.2864483136E-01
   22     6     1.0356734006E+05     4.2724631100E+08     5.4672555822E+08     9.7397186922E+08     5.6133608731E-01     4.9045198186E-01
   22     7     1.0449608326E+05     3.9258144300E+08     5.5451880648E+08     9.4710024948E+08     5.8549114181E-01     5.4375780705E-01
   22     8     1.0539861339E+05     3.7264437000E+08     5.5365878369E+08     9.2630315369E+08     5.9770797658E-01     5.9873426612E-01
   22     9     1.0627510968E+05     3.5003695100E+08     5.4003926116E+08     8.9007621216E+08     6.0673373109E-01     6.6061787298E-01
   22    10     1.0712580211E+05     3.2134518300E+08     5.2473809115E+08     8.4608327415E+08     6.2019674326E-01     7.2010413733E-01
   22    11     1.0795095347E+05     2.9229837056E+08     5.1566891039E+08     8.0796728095E+08     6.3822994142E-01     7.7029595049E-01
   22    12     1.0875083325E+05     2.6813581840E+08     5.1071984794E+08     7.7885566634E+08     6.5573105520E-01     8.1265622541E-01
   22    13     1.0952573509E+05     2.4990623100E+08     5.0598248070E+08     7.5588871170E+08     6.6938753399E-01     8.5165589681E-01
   22    14     1.1027589611E+05     2.3578014000E+08     4.9915171005E+08     7.3493185005E+08     6.7918094721E-01     8.9085080662E-01
