# Data for B'+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    4     3     1.1601110626E+05     2.1068079911E+08     3.4124016869E+02     2.1068114035E+08     1.6196996472E-06     2.6053143043E-01
    4     4     1.1722627483E+05     1.5411877191E+08     2.1840606776E+03     1.5412095597E+08     1.4171081822E-05     8.7021801264E-02
    4     5     1.1809004218E+05     1.4863426014E+08     1.1666128715E+07     1.6030038886E+08     7.2776671336E-02     2.9073084211E-02
    4     6     1.1824030434E+05     1.0241540509E+08     2.7507401247E+08     3.7748941756E+08     7.2869330814E-01     9.2846382681E-03
    4     7     1.1832432442E+05     2.0656968093E+07     3.8682333334E+08     4.0748030144E+08     9.4930560319E-01     8.6980947592E-03
    4     8     1.1837051078E+05     9.6767948670E+06     4.8238277454E+08     4.9205956941E+08     9.8033409882E-01     1.9453327090E-02
    5     0     1.1123010986E+05     3.6783799143E+08     1.0313941785E+01     3.6783800175E+08     2.8039359001E-08     8.0724235484E-01
    5     1     1.1304404107E+05     3.1023878841E+08     5.4657514422E+02     3.1023933498E+08     1.7617854430E-06     7.4193576911E-01
    5     2     1.1471418704E+05     2.5438442336E+08     7.4415495324E+01     2.5438449778E+08     2.9253156530E-07     4.6123986774E-01
    5     3     1.1621520324E+05     2.1765846107E+08     2.7202153315E+03     2.1766118128E+08     1.2497475735E-05     2.8293160136E-01
    5     4     1.1738481235E+05     1.5005309150E+08     8.3323236569E+03     1.5006142382E+08     5.5526086882E-05     1.2034649487E-01
    5     5     1.1819009937E+05     1.5951354854E+08     4.5697822520E+07     2.0521137106E+08     2.2268660009E-01     4.6213699408E-02
    5     6     1.1827578567E+05     2.4716801170E+07     2.6095327488E+08     2.8567007605E+08     9.1347780800E-01     1.3615436190E-02
    5     7     1.1834655778E+05     1.3035489559E+07     3.8528654839E+08     3.9832203794E+08     9.6727399361E-01     1.0074619082E-02
    6     0     1.1152352489E+05     3.6232577378E+08     2.4607042976E+01     3.6232579839E+08     6.7914134422E-08     8.1976093008E-01
    6     1     1.1331402875E+05     5.3730850190E+08     1.3385425381E+07     5.5069392728E+08     2.4306469925E-02     6.9783705596E-01
    6     2     1.1496448521E+05     2.4959567586E+08     6.1803826535E+01     2.4959573767E+08     2.4761571296E-07     5.1952523499E-01
    6     3     1.1646751699E+05     2.3790301716E+08     3.5084829686E+02     2.3790336801E+08     1.4747512816E-06     1.5639700048E-01
    6     4     1.1757086102E+05     1.4518009455E+08     3.2366278527E+04     1.4521246083E+08     2.2288912633E-04     2.4620821279E-01
    6     5     1.1822892662E+05     1.6297694340E+08     2.3977794532E+08     4.0275488872E+08     5.9534459304E-01     9.4520627954E-02
    6     6     1.1829255055E+05     1.1100850733E+08     2.9463404548E+08     4.0564255281E+08     7.2633909692E-01     2.2778383041E-02
    6     7     1.1834563462E+05     1.1533742284E+08     2.6972581962E+08     3.8506324246E+08     7.0047148072E-01     1.2072397668E-02
    7     0     1.1186067975E+05     3.5590035584E+08     5.2030424416E+01     3.5590040787E+08     1.4619377574E-07     7.8643706459E-01
    7     1     1.1362517382E+05     2.9801301028E+08     1.1994917822E+02     2.9801313023E+08     4.0249628642E-07     7.1747043051E-01
    7     2     1.1525241428E+05     2.4422827756E+08     1.6637118543E+02     2.4422844393E+08     6.8121133946E-07     3.8673623422E-01
    7     3     1.1654670603E+05     2.5440120309E+08     6.0125278404E+02     2.5440180434E+08     2.3633982691E-06     2.5918749010E-01
    7     4     1.1678080011E+05     2.7580578313E+08     6.9539259490E+03     2.7581273706E+08     2.5212490268E-05     1.8919688407E-01
    7     5     1.1778070503E+05     1.4008960300E+08     4.3153629524E+05     1.4052113930E+08     3.0709706554E-03     1.8000501771E-01
    7     6     1.1830395069E+05     5.5775727235E+07     3.8041848643E+08     4.3619421367E+08     8.7213097862E-01     3.3731069227E-02
    7     7     1.1836357263E+05     3.6893509320E+07     3.9681713919E+08     4.3371064851E+08     9.1493520058E-01     2.0791771172E-02
    8     0     1.1223927569E+05     3.4854172299E+08     1.0291284999E+01     3.4854173329E+08     2.9526693695E-08     8.4078521789E-01
    8     1     1.1397493065E+05     2.9046300893E+08     7.9549131264E+02     2.9046380442E+08     2.7386934293E-06     6.3111142387E-01
    8     2     1.1557618271E+05     2.3867188374E+08     1.5537945281E+02     2.3867203912E+08     6.5101657229E-07     5.6126912216E-01
    8     3     1.1686925309E+05     2.1118573748E+08     1.1077645140E+03     2.1118684524E+08     5.2454238461E-06     1.9375928862E-01
    8     4     1.1800926013E+05     1.3549802600E+08     9.8313466476E+05     1.3648116066E+08     7.2034459553E-03     1.2938715880E-01
    8     5     1.1834582900E+05     3.6190291211E+07     3.9210062750E+08     4.2829091871E+08     9.1550068042E-01     2.1240520534E-02
    9     0     1.1265674279E+05     3.4025485232E+08     9.9088030933E+03     3.4026476112E+08     2.9120861827E-05     9.3917052198E-01
    9     1     1.1436078004E+05     2.8194555329E+08     2.7119728083E+02     2.8194582449E+08     9.6187727313E-07     5.5559040688E-01
    9     2     1.1593432995E+05     2.3399891981E+08     1.3317281651E+02     2.3399905299E+08     5.6911690371E-07     3.8023706556E-01
    9     3     1.1719915406E+05     1.8458797205E+08     2.8332860673E+03     1.8459080534E+08     1.5349009731E-05     7.4524990927E-02
    9     4     1.1824862237E+05     1.3351413090E+08     2.7575724876E+06     1.3627170339E+08     2.0235840744E-02     3.7706515893E-02
   10     0     1.1311029482E+05     3.3103734926E+08     2.2800642759E+02     3.3103757726E+08     6.8876297813E-07     8.3737668230E-01
   10     1     1.1477984920E+05     2.7243592744E+08     9.7841345235E+01     2.7243602528E+08     3.5913512221E-07     5.7298629593E-01
   10     2     1.1632717954E+05     2.3368460551E+08     6.0397984944E+03     2.3369064531E+08     2.5845272867E-05     3.6139929510E-01
   10     3     1.1754181260E+05     1.6700774350E+08     7.3428896443E+04     1.6708117240E+08     4.3948037586E-04     5.7440953639E-01
   11     0     1.1359695874E+05     3.2085544321E+08     9.6502250255E+02     3.2085640823E+08     3.0076460304E-06     9.7014391338E-01
   11     1     1.1522904150E+05     2.6189862881E+08     1.5129104140E+02     2.6189878010E+08     5.7766989731E-07     6.1518711404E-01
   11     2     1.1676259514E+05     2.5006226157E+08     8.0043808994E+02     2.5006306201E+08     3.2009449278E-06     2.2423116171E-01
   11     3     1.1789697745E+05     1.5278016620E+08     3.4903259369E+04     1.5281506946E+08     2.2840194682E-04     1.4507837487E-01
   12     0     1.1411361393E+05     3.0969970723E+08     1.2449643986E+02     3.0969983173E+08     4.0199066031E-07     6.5710583866E-01
   12     1     1.1570506692E+05     2.5030883681E+08     6.1153618638E+01     2.5030889797E+08     2.4431260389E-07     4.0549595135E-01
   12     2     1.1703938541E+05     2.3801035411E+08     1.3230211588E+03     2.3801167713E+08     5.5586397052E-06     1.0281404468E-01
   12     3     1.1826016205E+05     1.3890012210E+08     9.8686409910E+05     1.3988698620E+08     7.0547241449E-03     2.5689145977E-02
