# Data for B'+ transitions (P and R) 
#  Number of transitions: 2229 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     4      0      3      3              1014.22          1.01000E-02          3.72437E+08
     4      0      5      4              1060.07          2.45300E-03          3.72437E+08
     4      0      3      4              1050.82          4.79900E-03          3.72437E+08
     4      0      5      5              1096.79          6.11800E-04          3.72437E+08
     4      0      3      5              1087.47          1.29000E-03          3.72437E+08
     4      0      5      6              1133.18          7.19500E-05          3.72437E+08
     4      0      3      6              1123.89          1.71000E-04          3.72437E+08
     4      0      5      7              1168.87          1.68200E-06          3.72437E+08
     4      0      3      7              1159.69          7.23200E-06          3.72437E+08
     4      0      5      8              1203.36          3.31500E-08          3.72437E+08
     4      0      3      8              1194.41          1.84500E-08          3.72437E+08
     4      0      5      9              1236.01          2.27000E-12          3.72437E+08
     4      0      3      9              1227.45          4.95300E-08          3.72437E+08
     4      0      5     10              1266.06          2.57700E-08          3.72437E+08
     4      0      3     10              1258.09          8.87300E-08          3.72437E+08
     4      0      5     11              1292.54          8.63100E-09          3.72437E+08
     4      0      3     11              1285.41          8.55800E-09          3.72437E+08
     4      0      5     12              1314.25          2.01000E-09          3.72437E+08
     4      0      3     12              1308.30          1.65200E-11          3.72437E+08
     4      0      5     13              1329.65          3.03800E-10          3.72437E+08
     4      0      3     13              1325.36          1.31700E-10          3.72437E+08
     4      0      3     14              1334.85          6.73500E-12          3.72437E+08
     5      0      6      0               918.99          1.06300E-03          3.67838E+08
     5      0      6      1               954.42          4.17800E-03          3.67838E+08
     5      0      4      1               943.76          7.41700E-03          3.67838E+08
     5      0      6      2               990.40          6.56900E-03          3.67838E+08
     5      0      4      2               979.53          1.19300E-02          3.67838E+08
     5      0      6      3              1026.79          5.28600E-03          3.67838E+08
     5      0      4      3              1015.73          1.00500E-02          3.67838E+08
     5      0      6      4              1063.38          2.34800E-03          3.67838E+08
     5      0      4      4              1052.20          4.79800E-03          3.67838E+08
     5      0      6      5              1099.93          5.74000E-04          3.67838E+08
     5      0      4      5              1088.68          1.29700E-03          3.67838E+08
     5      0      6      6              1136.10          6.42000E-05          3.67838E+08
     5      0      4      6              1124.89          1.72000E-04          3.67838E+08
     5      0      6      7              1171.50          1.35500E-06          3.67838E+08
