# Data for C- transitions (Q) 
#  Number of transitions: 2846 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     8      0      8      3              1163.31          3.77900E-02          1.15920E+09
     8      0      8      4              1209.32          1.01200E-02          1.15920E+09
     8      0      8      5              1255.52          1.27200E-03          1.15920E+09
     8      0      8      6              1301.47          5.51500E-05          1.15920E+09
     8      0      8      7              1346.57          1.33600E-07          1.15920E+09
     8      0      8      8              1390.08          1.92500E-08          1.15920E+09
     8      0      8      9              1431.03          1.26700E-10          1.15920E+09
     8      0      8     10              1468.21          4.84300E-12          1.15920E+09
     8      0      8     11              1500.06          8.92100E-13          1.15920E+09
     8      0      8     12              1524.57          4.13200E-16          1.15920E+09
     9      0      9      0              1034.29          2.40000E-02          1.15425E+09
     9      0      9      1              1077.84          6.71600E-02          1.15425E+09
     9      0      9      2              1122.31          7.22700E-02          1.15425E+09
     9      0      9      3              1167.50          3.79600E-02          1.15425E+09
     9      0      9      4              1213.15          1.00800E-02          1.15425E+09
     9      0      9      5              1258.88          1.23900E-03          1.15425E+09
     9      0      9      6              1304.24          5.01400E-05          1.15425E+09
     9      0      9      7              1348.60          6.37200E-08          1.15425E+09
     9      0      9      8              1391.19          2.00800E-08          1.15425E+09
     9      0      9      9              1431.01          2.60300E-10          1.15425E+09
     9      0      9     10              1466.76          1.83800E-12          1.15425E+09
     9      0      9     11              1496.82          1.13900E-12          1.15425E+09
     9      0      9     12              1519.02          2.74600E-14          1.15425E+09
    10      0     10      0              1039.55          2.40200E-02          1.14889E+09
    10      0     10      1              1082.93          6.74700E-02          1.14889E+09
    10      0     10      2              1127.16          7.27500E-02          1.14889E+09
    10      0     10      3              1172.03          3.81300E-02          1.14889E+09
    10      0     10      4              1217.26          1.00400E-02          1.14889E+09
    10      0     10      5              1262.47          1.20000E-03          1.14889E+09
    10      0     10      6              1307.16          4.47300E-05          1.14889E+09
    10      0     10      7              1350.70          1.67100E-08          1.14889E+09
    10      0     10      8              1392.25          2.01100E-08          1.14889E+09
    10      0     10      9              1430.77          4.71500E-10          1.14889E+09
    10      0     10     10              1464.91          5.19300E-15          1.14889E+09
    10      0     10     11              1492.93          1.33900E-12          1.14889E+09
    10      0     10     12              1512.37          1.73400E-13          1.14889E+09
    11      0     11      0              1045.23          2.40300E-02          1.14315E+09
    11      0     11      1              1088.40          6.78000E-02          1.14315E+09
    11      0     11      2              1132.36          7.32600E-02          1.14315E+09
    11      0     11      3              1176.87          3.83300E-02          1.14315E+09
    11      0     11      4              1221.64          9.97800E-03          1.14315E+09
    11      0     11      5              1266.25          1.15600E-03          1.14315E+09
    11      0     11      6              1310.20          3.89800E-05          1.14315E+09
    11      0     11      7              1352.80          7.15800E-12          1.14315E+09
    11      0     11      8              1393.19          1.89900E-08          1.14315E+09
    11      0     11      9              1430.26          7.78900E-10          1.14315E+09
    11      0     11     10              1462.58          3.58500E-12          1.14315E+09
    11      0     11     11              1488.25          1.01800E-12          1.14315E+09
    12      0     12      0              1051.29          2.40400E-02          1.13709E+09
    12      0     12      1              1094.23          6.81600E-02          1.13709E+09
    12      0     12      2              1137.88          7.38200E-02          1.13709E+09
    12      0     12      3              1181.99          3.85300E-02          1.13709E+09
    12      0     12      4              1226.23          9.90600E-03          1.13709E+09
    12      0     12      5              1270.19          1.10700E-03          1.13709E+09
    12      0     12      6              1313.30          3.29700E-05          1.13709E+09
    12      0     12      7              1354.87          2.00200E-08          1.13709E+09
    12      0     12      8              1393.96          1.64200E-08          1.13709E+09
    12      0     12      9              1429.41          1.18500E-09          1.13709E+09
    12      0     12     10              1459.68          2.30400E-11          1.13709E+09
