# Data for B+ transitions (P and R) 
#  Number of transitions: 298 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     8      6      7      0              1047.71          1.67000E-02          1.26000E+09
     0      7      1      0              1014.33          8.98000E-03          1.24000E+09
     1      7      2      0              1016.46          1.02000E-02          1.24000E+09
     2      7      3      0              1019.50          1.05000E-02          1.23000E+09
     3      7      4      0              1023.44          1.05000E-02          1.23000E+09
     4      7      5      0              1028.25          1.05000E-02          1.22000E+09
     5      7      6      0              1033.92          1.05000E-02          1.22000E+09
     6      7      7      0              1040.42          1.05000E-02          1.21000E+09
     1      7      0      0              1012.81          2.97000E-02          1.24000E+09
     2      7      1      0              1013.44          2.05000E-02          1.23000E+09
     3      7      2      0              1014.98          1.89000E-02          1.23000E+09
     4      7      3      0              1017.42          1.84000E-02          1.22000E+09
     5      7      4      0              1020.77          1.81000E-02          1.22000E+09
     6      7      5      0              1024.99          1.80000E-02          1.21000E+09
     7      7      6      0              1030.07          1.79000E-02          1.20000E+09
     8      7      7      0              1036.00          1.79000E-02          1.19000E+09
     0      8      1      0              1003.30          8.47000E-03          1.18000E+09
     1      8      2      0              1005.39          9.91000E-03          1.18000E+09
     2      8      3      0              1008.39          1.04000E-02          1.17000E+09
     3      8      4      0              1012.26          1.08000E-02          1.17000E+09
     4      8      5      0              1017.00          1.12000E-02          1.17000E+09
     5      8      6      0              1022.59          1.26000E-02          1.16000E+09
     6      8      7      0              1028.80          2.33000E-02          1.17000E+09
     1      8      0      0              1001.82          2.68000E-02          1.18000E+09
     2      8      1      0              1002.45          1.82000E-02          1.17000E+09
     3      8      2      0              1003.99          1.66000E-02          1.17000E+09
     4      8      3      0              1006.41          1.57000E-02          1.17000E+09
     5      8      4      0              1009.72          1.41000E-02          1.16000E+09
     6      8      5      0              1013.71          1.16000E-03          1.17000E+09
     7      8      6      0              1019.02          2.05000E-02          1.14000E+09
     8      8      7      0              1024.88          1.91000E-02          1.14000E+09
     0      9      1      0               992.81          7.70000E-03          1.12000E+09
     1      9      2      0               994.87          8.66000E-03          1.12000E+09
     2      9      3      0               997.83          8.76000E-03          1.12000E+09
     3      9      4      0              1001.66          8.69000E-03          1.12000E+09
     4      9      5      0              1006.34          8.63000E-03          1.11000E+09
     5      9      6      0              1011.87          8.64000E-03          1.11000E+09
     6      9      7      0              1018.22          8.76000E-03          1.10000E+09
     1      9      0      0               991.38          2.61000E-02          1.12000E+09
     2      9      1      0               992.02          1.83000E-02          1.12000E+09
     3      9      2      0               993.55          1.70000E-02          1.12000E+09
     4      9      3      0               995.97          1.67000E-02          1.11000E+09
     5      9      4      0               999.27          1.66000E-02          1.11000E+09
     6      9      5      0              1003.43          1.65000E-02          1.10000E+09
     7      9      6      0              1008.43          1.64000E-02          1.09000E+09
     8      9      7      0              1014.25          1.61000E-02          1.09000E+09
     0     10      1      0               982.84          6.81000E-03          1.07000E+09
     1     10      2      0               984.86          8.17000E-03          1.07000E+09
     2     10      3      0               987.77          8.93000E-03          1.07000E+09
     3     10      4      0               991.53          9.92000E-03          1.07000E+09
     4     10      5      0               996.12          1.27000E-02          1.07000E+09
     5     10      6      0              1001.91          2.63000E-04          1.09000E+09
     6     10      7      0              1007.99          3.74000E-03          1.05000E+09
     1     10      0      0               981.44          2.07000E-02          1.07000E+09
     2     10      1      0               982.07          1.36000E-02          1.07000E+09
     3     10      2      0               983.59          1.16000E-02          1.07000E+09
     4     10      3      0               985.96          8.28000E-03          1.07000E+09
     5     10      4      0               989.56          3.11000E-02          1.09000E+09
     6     10      5      0               993.49          2.02000E-02          1.05000E+09
