# Data for D+ transitions (P and R) 
#  Number of transitions: 679 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     4      0      3     11              1245.31          4.61325E-07          3.53059E+08
     4      0      5     12              1272.36          1.55966E-07          3.53059E+08
     4      0      3     12              1266.78          2.22642E-07          3.53059E+08
     4      0      5     13              1286.79          1.64381E-08          3.53059E+08
     4      0      3     13              1282.77          2.34449E-09          3.53059E+08
     4      0      3     14              1291.66          4.95029E-09          3.53059E+08
     5      0      6      1               931.70          7.87653E-03          3.51905E+08
     5      0      4      1               921.54          5.26363E-03          3.51905E+08
     5      0      6      2               965.96          8.99617E-03          3.51905E+08
     5      0      4      2               955.61          6.70563E-03          3.51905E+08
     5      0      6      3              1000.54          4.64369E-03          3.51905E+08
     5      0      4      3               990.04          5.07586E-03          3.51905E+08
     5      0      6      4              1035.25          9.16459E-04          3.51905E+08
     5      0      4      4              1024.65          2.69309E-03          3.51905E+08
     5      0      6      5              1069.86          1.22503E-05          3.51905E+08
     5      0      4      5              1059.22          1.08630E-03          3.51905E+08
     5      0      6      6              1104.05          3.15947E-05          3.51905E+08
     5      0      4      6              1093.47          3.31745E-04          3.51905E+08
     5      0      6      7              1137.45          1.76793E-05          3.51905E+08
     5      0      4      7              1127.03          6.35091E-05          3.51905E+08
     5      0      6      8              1169.58          1.11895E-06          3.51905E+08
     5      0      4      8              1159.46          4.14253E-06          3.51905E+08
     5      0      6      9              1199.85          5.17215E-08          3.51905E+08
     5      0      4      9              1190.21          4.20254E-09          3.51905E+08
     5      0      6     10              1227.50          4.03691E-08          3.51905E+08
     5      0      4     10              1218.57          2.18160E-08          3.51905E+08
     5      0      6     11              1251.62          3.07483E-08          3.51905E+08
     5      0      4     11              1243.70          2.63416E-08          3.51905E+08
     5      0      6     12              1271.04          4.46540E-08          3.51905E+08
     5      0      4     12              1264.53          9.78721E-08          3.51905E+08
     5      0      6     13              1284.25          7.05528E-09          3.51905E+08
     5      0      4     13              1279.73          1.08597E-09          3.51905E+08
     6      0      7      1               935.04          8.27281E-03          3.50315E+08
     6      0      5      1               923.18          4.80172E-03          3.50315E+08
     6      0      7      2               969.19          9.62698E-03          3.50315E+08
     6      0      5      2               957.11          6.00135E-03          3.50315E+08
     6      0      7      3              1003.62          5.03568E-03          3.50315E+08
     6      0      5      3               991.38          4.50209E-03          3.50315E+08
     6      0      7      4              1038.14          9.78310E-04          3.50315E+08
     6      0      5      4              1025.79          2.46549E-03          3.50315E+08
     6      0      7      5              1072.50          8.89556E-06          3.50315E+08
     6      0      5      5              1060.13          1.10059E-03          3.50315E+08
     6      0      7      6              1106.39          4.27171E-05          3.50315E+08
     6      0      5      6              1094.10          3.83517E-04          3.50315E+08
     6      0      7      7              1139.41          2.32557E-05          3.50315E+08
     6      0      5      7              1127.33          8.21266E-05          3.50315E+08
     6      0      7      8              1171.07          1.29964E-06          3.50315E+08
     6      0      5      8              1159.37          6.19474E-06          3.50315E+08
     6      0      7      9              1200.75          1.18177E-07          3.50315E+08
     6      0      5      9              1189.66          8.68973E-09          3.50315E+08
     6      0      7     10              1227.69          2.39717E-08          3.50315E+08
     6      0      5     10              1217.47          7.80861E-08          3.50315E+08
     6      0      7     11              1250.92          1.33520E-09          3.50315E+08
     6      0      5     11              1241.94          1.17750E-11          3.50315E+08
     6      0      7     12              1269.22          9.98350E-10          3.50315E+08
     6      0      5     12              1261.96          2.57721E-09          3.50315E+08
     6      0      7     13              1280.93          2.38158E-10          3.50315E+08
     6      0      5     13              1276.16          1.16448E-11          3.50315E+08
     7      0      8      1               938.74          8.48175E-03          3.48103E+08
     7      0      6      1               925.25          4.60839E-03          3.48103E+08
     7      0      8      2               972.75          1.01337E-02          3.48103E+08
     7      0      6      2               959.03          5.49201E-03          3.48103E+08
     7      0      8      3              1007.00          5.41686E-03          3.48103E+08
     7      0      6      3               993.10          3.98648E-03          3.48103E+08
     7      0      8      4              1041.29          1.05588E-03          3.48103E+08
     7      0      6      4              1027.29          2.22650E-03          3.48103E+08
     7      0      8      5              1075.37          6.39301E-06          3.48103E+08
     7      0      6      5              1061.36          1.09224E-03          3.48103E+08
     7      0      8      6              1108.90          5.89164E-05          3.48103E+08
     7      0      6      6              1095.00          4.40289E-04          3.48103E+08
     7      0      8      7              1141.47          3.01580E-05          3.48103E+08
     7      0      6      7              1127.85          1.08148E-04          3.48103E+08
     7      0      8      8              1172.58          1.45746E-06          3.48103E+08
     7      0      6      8              1159.43          8.77644E-06          3.48103E+08
     7      0      8      9              1201.59          1.87430E-07          3.48103E+08
     7      0      6      9              1189.17          1.05091E-08          3.48103E+08
     7      0      8     10              1227.69          6.30144E-08          3.48103E+08
     7      0      6     10              1216.32          1.19819E-07          3.48103E+08
     7      0      8     11              1249.88          9.02842E-10          3.48103E+08
     7      0      6     11              1240.00          2.57651E-09          3.48103E+08
     7      0      8     12              1266.85          9.14720E-10          3.48103E+08
     7      0      6     12              1259.06          3.39519E-10          3.48103E+08
     7      0      6     13              1272.03          3.62349E-11          3.48103E+08
     8      0      9      1               942.78          8.48388E-03          3.44803E+08
     8      0      7      1               927.73          4.62974E-03          3.44803E+08
     8      0      9      2               976.63          1.05057E-02          3.44803E+08
     8      0      7      2               961.34          5.13287E-03          3.44803E+08
     8      0      9      3              1010.68          5.81926E-03          3.44803E+08
     8      0      7      3               995.20          3.46019E-03          3.44803E+08
     8      0      9      4              1044.70          1.15025E-03          3.44803E+08
     8      0      7      4              1029.14          1.92780E-03          3.44803E+08
     8      0      9      5              1078.44          3.55322E-06          3.44803E+08
     8      0      7      5              1062.90          1.06806E-03          3.44803E+08
     8      0      9      6              1111.56          8.31880E-05          3.44803E+08
     8      0      7      6              1096.17          5.13428E-04          3.44803E+08
     8      0      9      7              1143.62          4.07290E-05          3.44803E+08
     8      0      7      7              1128.58          1.48320E-04          3.44803E+08
     8      0      9      8              1174.10          1.78182E-06          3.44803E+08
     8      0      7      8              1159.63          1.37590E-05          3.44803E+08
     8      0      9      9              1202.33          4.01993E-07          3.44803E+08
     8      0      7      9              1188.73          4.12023E-08          3.44803E+08
     8      0      9     10              1227.47          1.21986E-07          3.44803E+08
     8      0      7     10              1215.13          1.98132E-07          3.44803E+08
     8      0      9     11              1248.46          1.14999E-08          3.44803E+08
     8      0      7     11              1237.88          6.63592E-09          3.44803E+08
     8      0      9     12              1263.86          1.07228E-08          3.44803E+08
     8      0      7     12              1255.79          2.61328E-08          3.44803E+08
     8      0      7     13              1267.26          4.83248E-10          3.44803E+08
     9      0     10      0               913.82          2.34609E-03          3.39380E+08
     9      0     10      1               947.17          8.18488E-03          3.39380E+08
     9      0      8      1               930.63          4.95248E-03          3.39380E+08
     9      0     10      2               980.83          1.06947E-02          3.39380E+08
     9      0      8      2               964.04          4.84070E-03          3.39380E+08
     9      0     10      3              1014.63          6.25552E-03          3.39380E+08
     9      0      8      3               997.68          2.83774E-03          3.39380E+08
     9      0     10      4              1048.36          1.27785E-03          3.39380E+08
     9      0      8      4              1031.32          1.53736E-03          3.39380E+08
     9      0     10      5              1081.72          6.54954E-07          3.39380E+08
     9      0      8      5              1064.74          1.00921E-03          3.39380E+08
     9      0     10      6              1114.36          1.30919E-04          3.39380E+08
     9      0      8      6              1097.60          6.27436E-04          3.39380E+08
     9      0     10      7              1145.84          5.76041E-05          3.39380E+08
     9      0      8      7              1129.50          2.26600E-04          3.39380E+08
     9      0     10      8              1175.61          2.44694E-06          3.39380E+08
     9      0      8      8              1159.96          2.36604E-05          3.39380E+08
     9      0     10      9              1202.96          7.10328E-07          3.39380E+08
     9      0      8      9              1188.34          2.00204E-07          3.39380E+08
     9      0     10     10              1227.00          4.86582E-07          3.39380E+08
     9      0      8     10              1213.86          3.59060E-07          3.39380E+08
     9      0     10     11              1246.60          2.57091E-07          3.39380E+08
     9      0      8     11              1235.55          2.55401E-08          3.39380E+08
     9      0     10     12              1260.12          1.78014E-07          3.39380E+08
     9      0      8     12              1252.13          6.29845E-07          3.39380E+08
    10      0     11      0               918.71          1.87635E-03          3.28219E+08
    10      0     11      1               951.90          7.18565E-03          3.28219E+08
    10      0      9      1               933.95          5.67304E-03          3.28219E+08
    10      0     11      2               985.35          1.05392E-02          3.28219E+08
    10      0      9      2               967.16          4.58547E-03          3.28219E+08
    10      0     11      3              1018.88          6.76601E-03          3.28219E+08
    10      0      9      3              1000.53          1.97564E-03          3.28219E+08
    10      0     11      4              1052.27          1.41467E-03          3.28219E+08
    10      0      9      4              1033.87          9.33392E-04          3.28219E+08
    10      0     11      5              1085.20          8.64811E-07          3.28219E+08
    10      0      9      5              1066.90          8.99340E-04          3.28219E+08
    10      0     11      6              1117.32          2.33898E-04          3.28219E+08
    10      0      9      6              1099.30          8.56087E-04          3.28219E+08
    10      0     11      7              1148.16          1.09301E-04          3.28219E+08
    10      0      9      7              1130.65          3.90259E-04          3.28219E+08
    10      0     11      8              1177.12          2.68006E-06          3.28219E+08
    10      0      9      8              1160.44          4.72485E-05          3.28219E+08
    10      0     11      9              1203.47          2.85804E-06          3.28219E+08
    10      0      9      9              1188.01          2.06908E-07          3.28219E+08
    10      0     11     10              1226.28          5.60724E-07          3.28219E+08
    10      0      9     10              1212.55          1.43952E-06          3.28219E+08
    10      0     11     11              1244.27          4.93665E-09          3.28219E+08
    10      0      9     11              1233.02          2.73906E-08          3.28219E+08
    10      0      9     12              1248.04          2.79953E-09          3.28219E+08
    11      0     12      0               924.05          9.32781E-04          2.98978E+08
    11      0     12      1               957.06          4.76529E-03          2.98978E+08
    11      0     10      1               937.79          7.17425E-03          2.98978E+08
    11      0     12      2               990.29          9.03787E-03          2.98978E+08
    11      0     10      2               970.77          4.01553E-03          2.98978E+08
    11      0     12      3              1023.53          7.05158E-03          2.98978E+08
    11      0     10      3              1003.88          6.97748E-04          2.98978E+08
    11      0     12      4              1056.54          1.58889E-03          2.98978E+08
    11      0     10      4              1036.88          1.61447E-04          2.98978E+08
    11      0     12      5              1089.01          2.25021E-05          2.98978E+08
    11      0     10      5              1069.50          6.26692E-04          2.98978E+08
    11      0     12      6              1120.55          5.21247E-04          2.98978E+08
    11      0     10      6              1101.40          1.33691E-03          2.98978E+08
    11      0     12      7              1150.67          2.37238E-04          2.98978E+08
    11      0     10      7              1132.15          8.52627E-04          2.98978E+08
    11      0     12      8              1178.75          3.12819E-06          2.98978E+08
    11      0     10      8              1161.20          1.20293E-04          2.98978E+08
    11      0     12      9              1204.00          1.10212E-05          2.98978E+08
    11      0     10      9              1187.87          9.70877E-07          2.98978E+08
    11      0     12     10              1225.40          1.86752E-06          2.98978E+08
    11      0     10     10              1211.31          5.56584E-06          2.98978E+08
    11      0     12     11              1241.54          5.81109E-11          2.98978E+08
    11      0     10     11              1230.40          9.54035E-08          2.98978E+08
    11      0     10     12              1243.58          8.65427E-08          2.98978E+08
    12      0     13      0               928.12          4.78612E-03          2.96595E+08
    12      0     13      1               960.82          1.05182E-02          2.96595E+08
    12      0     11      1               940.37          6.15362E-07          2.96595E+08
    12      0     13      2               993.67          6.89338E-03          2.96595E+08
    12      0     11      2               973.00          2.11529E-03          2.96595E+08
    12      0     13      3              1026.47          1.39420E-03          2.96595E+08
    12      0     11      3              1005.68          7.32821E-03          2.96595E+08
    12      0     13      4              1058.94          1.28300E-04          2.96595E+08
    12      0     11      4              1038.19          6.19785E-03          2.96595E+08
    12      0     13      5              1090.77          2.29145E-04          2.96595E+08
    12      0     11      5              1070.24          9.44762E-04          2.96595E+08
    12      0     13      6              1121.54          5.67140E-04          2.96595E+08
    12      0     11      6              1101.47          2.62069E-04          2.96595E+08
    12      0     13      7              1150.74          3.01163E-04          2.96595E+08
    12      0     11      7              1131.42          8.91350E-04          2.96595E+08
    12      0     13      8              1177.71          3.97468E-06          2.96595E+08
    12      0     11      8              1159.53          2.30304E-04          2.96595E+08
