          9         9        12      1181C   C   D    0.822591500D+05
 E STATE HAS LABEL C   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  8
     -17186.93257    -14988.06724    -12920.96364    -10983.69777
     -9175.19106     -7496.22782     -5948.73621     -4536.97085
     -3267.35947     -2150.10574     -1201.03769      -444.75110
 PROPORTION OF STATE C   
    14211.00  0.908046E-01 0.969282E-01 0.112499E+01 0.776670E-03
    14311.00  0.106002E+00 0.808841E-01 0.102388E+01 0.618707E-06
    14411.00  0.122025E+00 0.659792E-01 0.924342E+00 0.831307E-03
    14511.00  0.138779E+00 0.523540E-01 0.827170E+00 0.315443E-02
    14611.00  0.156162E+00 0.401312E-01 0.733093E+00 0.683686E-02
    14711.00  0.174069E+00 0.294144E-01 0.642793E+00 0.117302E-01
    14811.00  0.192394E+00 0.202875E-01 0.556890E+00 0.176742E-01
    14911.00  0.211026E+00 0.128141E-01 0.475940E+00 0.245004E-01
    15011.00  0.229857E+00 0.703736E-02 0.400434E+00 0.320350E-01
    15111.00  0.248775E+00 0.298004E-02 0.330794E+00 0.401025E-01
    15211.00  0.267667E+00 0.644472E-03 0.267371E+00 0.485283E-01
    15311.00  0.286424E+00 0.132277E-04 0.210448E+00 0.571417E-01
    15411.00  0.304936E+00 0.104966E-02 0.160233E+00 0.657778E-01
    15511.00  0.323096E+00 0.369879E-02 0.116868E+00 0.742806E-01
    15611.00  0.340798E+00 0.788832E-02 0.804232E-01 0.825040E-01
    15711.00  0.357943E+00 0.135298E-01 0.509040E-01 0.903142E-01
    15811.00  0.374431E+00 0.205201E-01 0.282509E-01 0.975904E-01
    15911.00  0.390171E+00 0.287428E-01 0.123436E-01 0.104227E+00
    16011.00  0.405074E+00 0.380696E-01 0.300392E-02 0.110131E+00
    16111.00  0.419057E+00 0.483624E-01 0.463141E-06 0.115230E+00
    16211.00  0.432044E+00 0.594747E-01 0.305240E-02 0.119461E+00
    16311.00  0.443965E+00 0.712536E-01 0.118343E-01 0.122783E+00
    16411.00  0.454756E+00 0.835415E-01 0.259808E-01 0.125166E+00
    16511.00  0.464361E+00 0.961781E-01 0.450917E-01 0.126599E+00
    16611.00  0.472731E+00 0.109002E+00 0.687374E-01 0.127082E+00
    16711.00  0.479824E+00 0.121853E+00 0.964634E-01 0.126631E+00
    16811.00  0.485607E+00 0.134573E+00 0.127796E+00 0.125274E+00
    16911.00  0.490055E+00 0.147008E+00 0.162248E+00 0.123053E+00
    17011.00  0.493149E+00 0.159011E+00 0.199323E+00 0.120016E+00
    17111.00  0.494880E+00 0.170441E+00 0.238519E+00 0.116225E+00
    17211.00  0.495246E+00 0.181168E+00 0.279337E+00 0.111748E+00
    17311.00  0.494253E+00 0.191068E+00 0.321282E+00 0.106659E+00
    17411.00  0.491915E+00 0.200032E+00 0.363869E+00 0.101040E+00
    17511.00  0.488253E+00 0.207962E+00 0.406627E+00 0.949741E-01
    17611.00  0.483298E+00 0.214773E+00 0.449102E+00 0.885498E-01
    17711.00  0.477083E+00 0.220394E+00 0.490861E+00 0.818558E-01
    17811.00  0.469653E+00 0.224768E+00 0.531496E+00 0.749816E-01
    17911.00  0.461056E+00 0.227853E+00 0.570624E+00 0.680156E-01
    18011.00  0.451347E+00 0.229621E+00 0.607892E+00 0.610443E-01
    18111.00  0.440588E+00 0.230060E+00 0.642978E+00 0.541517E-01
    18211.00  0.428845E+00 0.229173E+00 0.675594E+00 0.474177E-01
    18311.00  0.416187E+00 0.226978E+00 0.705483E+00 0.409175E-01
    18411.00  0.402690E+00 0.223506E+00 0.732426E+00 0.347213E-01
    18511.00  0.388433E+00 0.218803E+00 0.756238E+00 0.288932E-01
    18611.00  0.373498E+00 0.212927E+00 0.776768E+00 0.234908E-01
    18711.00  0.357968E+00 0.205949E+00 0.793904E+00 0.185651E-01
    18811.00  0.341932E+00 0.197953E+00 0.807568E+00 0.141597E-01
    18911.00  0.325475E+00 0.189030E+00 0.817712E+00 0.103111E-01
    19011.00  0.308688E+00 0.179284E+00 0.824326E+00 0.704826E-02
    19111.00  0.291660E+00 0.168825E+00 0.827431E+00 0.439265E-02
    19311.00  0.257235E+00 0.146246E+00 0.823340E+00 0.952536E-03
    19511.00  0.222904E+00 0.122298E+00 0.806175E+00 0.185762E-04
    19711.00  0.189341E+00 0.980373E-01 0.777060E+00 0.151158E-02
    19911.00  0.157180E+00 0.745295E-01 0.737440E+00 0.525728E-02
    20111.00  0.126995E+00 0.528066E-01 0.688999E+00 0.110011E-01
    20311.00  0.992975E-01 0.338302E-01 0.633587E+00 0.184248E-01
    20511.00  0.745184E-01 0.184548E-01 0.573136E+00 0.271643E-01
    20711.00  0.530052E-01 0.739839E-02 0.509589E+00 0.368273E-01
    20911.00  0.350163E-01 0.121761E-02 0.444832E+00 0.470110E-01
    21111.00  0.207180E-01 0.290320E-03 0.380631E+00 0.573178E-01
    21311.00  0.101851E-01 0.480458E-02 0.318590E+00 0.673703E-01
    21511.00  0.340228E-02 0.147549E-01 0.260098E+00 0.768233E-01
    21711.00  0.269137E-03 0.299454E-01 0.206312E+00 0.853738E-01
    21911.00  0.605926E-03 0.499995E-01 0.158132E+00 0.927689E-01
    22111.00  0.416159E-02 0.743756E-01 0.116194E+00 0.988105E-01
    22311.00  0.106230E-01 0.102389E+00 0.808753E-01 0.103359E+00
    22511.00  0.196253E-01 0.133235E+00 0.523019E-01 0.106331E+00
    22711.00  0.307632E-01 0.166020E+00 0.303714E-01 0.107700E+00
    22911.00  0.436023E-01 0.199791E+00 0.147757E-01 0.107494E+00
    23111.00  0.576912E-01 0.233569E+00 0.503279E-02 0.105785E+00
    23311.00  0.725729E-01 0.266377E+00 0.519719E-03 0.102690E+00
    23511.00  0.877959E-01 0.297279E+00 0.508704E-03 0.983552E-01
    23711.00  0.102925E+00 0.325399E+00 0.420287E-02 0.929575E-01
    23911.00  0.117551E+00 0.349954E+00 0.107714E-01 0.866896E-01
    24111.00  0.131298E+00 0.370274E+00 0.193826E-01 0.797559E-01
    24311.00  0.143831E+00 0.385820E+00 0.292337E-01 0.723629E-01
    24511.00  0.154864E+00 0.396200E+00 0.395771E-01 0.647140E-01
    24711.00  0.164161E+00 0.401171E+00 0.497415E-01 0.570019E-01
    24911.00  0.171541E+00 0.400654E+00 0.591495E-01 0.494045E-01
    25111.00  0.176877E+00 0.394719E+00 0.673280E-01 0.420796E-01
    25311.00  0.180099E+00 0.383591E+00 0.739165E-01 0.351627E-01
    25511.00  0.181191E+00 0.367632E+00 0.786675E-01 0.287637E-01
    25711.00  0.180189E+00 0.347331E+00 0.814454E-01 0.229672E-01
    25911.00  0.177176E+00 0.323285E+00 0.822188E-01 0.178308E-01
    26111.00  0.172277E+00 0.296178E+00 0.810521E-01 0.133873E-01
    26311.00  0.165658E+00 0.266761E+00 0.780918E-01 0.964527E-02
    26511.00  0.157514E+00 0.235830E+00 0.735534E-01 0.659169E-02
    26711.00  0.148065E+00 0.204198E+00 0.677043E-01 0.419465E-02
    26911.00  0.137551E+00 0.172674E+00 0.608490E-01 0.240643E-02
         IE==>      4            5            6            7
        1.00  0.666618E-11 0.133997E-09 0.104007E-08 0.119007E-07
        2.00  0.242538E-08 0.488721E-07 0.378110E-06 0.434198E-05
        3.00  0.765299E-07 0.154589E-05 0.119213E-04 0.137390E-03
        4.00  0.887610E-06 0.179735E-04 0.138156E-03 0.159793E-02
        5.00  0.594991E-05 0.120777E-03 0.925357E-03 0.107414E-01
        6.00  0.282001E-04 0.573837E-03 0.438230E-02 0.510519E-01
        7.00  0.105233E-03 0.214660E-02 0.163400E-01 0.191039E+00
        8.00  0.329677E-03 0.674144E-02 0.511494E-01 0.600165E+00
        9.00  0.903746E-03 0.185257E-01 0.140103E+00 0.164983E+01
       10.00  0.222997E-02 0.458237E-01 0.345422E+00 0.408226E+01
       11.00  0.505361E-02 0.104101E+00 0.782168E+00 0.927706E+01
       12.00  0.106762E-01 0.220461E+00 0.165105E+01 0.196531E+02
       13.00  0.212641E-01 0.440177E+00 0.328579E+01 0.392528E+02
       14.00  0.402826E-01 0.835911E+00 0.621950E+01 0.745669E+02
       15.00  0.730894E-01 0.152040E+01 0.112755E+02 0.135671E+03
       16.00  0.127733E+00 0.266360E+01 0.196893E+02 0.237761E+03
       17.00  0.216006E+00 0.451539E+01 0.332687E+02 0.403187E+03
       18.00  0.354818E+00 0.743528E+01 0.546033E+02 0.664124E+03
       19.00  0.567958E+00 0.119308E+02 0.873317E+02 0.106601E+04
       20.00  0.888339E+00 0.187066E+02 0.136482E+03 0.167196E+04
       21.00  0.136082E+01 0.287262E+02 0.208899E+03 0.256831E+04
       22.00  0.204572E+01 0.432899E+02 0.313779E+03 0.387164E+04
       23.00  0.302323E+01 0.641316E+02 0.463326E+03 0.573743E+04
       24.00  0.439872E+01 0.935382E+02 0.673566E+03 0.837088E+04
       25.00  0.630940E+01 0.134497E+03 0.965339E+03 0.120401E+05
       26.00  0.893233E+01 0.190876E+03 0.136551E+04 0.170925E+05
       27.00  0.124942E+02 0.267643E+03 0.190841E+04 0.239742E+05
       28.00  0.172831E+02 0.371134E+03 0.263768E+04 0.332548E+05
       29.00  0.236630E+02 0.509378E+03 0.360831E+04 0.456559E+05
       30.00  0.320908E+02 0.692486E+03 0.488931E+04 0.620870E+05
       31.00  0.431370E+02 0.933129E+03 0.656675E+04 0.836882E+05
       32.00  0.575111E+02 0.124711E+04 0.874751E+04 0.111882E+06
       33.00  0.760910E+02 0.165404E+04 0.115637E+05 0.148434E+06
       34.00  0.999590E+02 0.217819E+04 0.151781E+05 0.195530E+06
       35.00  0.130445E+03 0.284946E+04 0.197902E+05 0.255864E+06
       36.00  0.169177E+03 0.370457E+04 0.256445E+05 0.332746E+06
       37.00  0.218145E+03 0.478851E+04 0.330389E+05 0.430235E+06
       38.00  0.279770E+03 0.615628E+04 0.423360E+05 0.553288E+06
       39.00  0.356999E+03 0.787488E+04 0.539762E+05 0.707953E+06
       40.00  0.453404E+03 0.100259E+05 0.684930E+05 0.901593E+06
       42.00  0.721969E+03 0.160427E+05 0.108875E+06 0.144350E+07
       44.00  0.113215E+04 0.252803E+05 0.170435E+06 0.227600E+07
       46.00  0.175209E+04 0.393146E+05 0.263302E+06 0.354154E+07
       48.00  0.268116E+04 0.604560E+05 0.402216E+06 0.544907E+07
       50.00  0.406448E+04 0.920963E+05 0.608666E+06 0.830555E+07
       52.00  0.611479E+04 0.139231E+06 0.914088E+06 0.125633E+08
       54.00  0.914570E+04 0.209263E+06 0.136475E+07 0.188928E+08
       56.00  0.136235E+05 0.313243E+06 0.202932E+07 0.282959E+08
       58.00  0.202491E+05 0.467863E+06 0.301087E+07 0.422858E+08
       60.00  0.300917E+05 0.698679E+06 0.446634E+07 0.631807E+08
       62.00  0.448111E+05 0.104553E+07 0.663906E+07 0.945957E+08
       64.00  0.670426E+05 0.157188E+07 0.991483E+07 0.142292E+09
       66.00  0.101087E+06 0.238166E+07 0.149224E+08 0.215709E+09
       68.00  0.154204E+06 0.365089E+07 0.227219E+08 0.330833E+09
       70.00  0.239178E+06 0.569041E+07 0.351782E+08 0.515910E+09
       72.00  0.379754E+06 0.907908E+07 0.557510E+08 0.823551E+09
       74.00  0.623147E+06 0.149709E+08 0.913138E+08 0.135867E+10
       76.00  0.107213E+07 0.258835E+08 0.156814E+09 0.235018E+10
       78.00  0.197999E+07 0.480349E+08 0.289061E+09 0.436361E+10
       80.00  0.409499E+07 0.998308E+08 0.596712E+09 0.907327E+10
       80.01  0.411155E+07 0.100237E+09 0.599119E+09 0.911020E+10
       80.04  0.415332E+07 0.101262E+09 0.605192E+09 0.920337E+10
       80.06  0.419565E+07 0.102300E+09 0.611344E+09 0.929778E+10
       80.08  0.423852E+07 0.103351E+09 0.617577E+09 0.939342E+10
       80.11  0.428197E+07 0.104417E+09 0.623894E+09 0.949036E+10
       80.14  0.432601E+07 0.105498E+09 0.630295E+09 0.958860E+10
       80.16  0.437064E+07 0.106592E+09 0.636783E+09 0.968817E+10
       80.19  0.441587E+07 0.107702E+09 0.643357E+09 0.978908E+10
       80.21  0.446169E+07 0.108826E+09 0.650018E+09 0.989132E+10
       80.24  0.450815E+07 0.109966E+09 0.656771E+09 0.999499E+10
       80.26  0.455524E+07 0.111122E+09 0.663616E+09 0.101001E+11
       80.29  0.460298E+07 0.112293E+09 0.670554E+09 0.102066E+11
       80.31  0.465136E+07 0.113480E+09 0.677587E+09 0.103146E+11
       80.33  0.470040E+07 0.114684E+09 0.684715E+09 0.104240E+11
       80.36  0.475013E+07 0.115904E+09 0.691943E+09 0.105350E+11
       80.39  0.480055E+07 0.117141E+09 0.699271E+09 0.106475E+11
       80.41  0.485167E+07 0.118396E+09 0.706701E+09 0.107617E+11
       80.44  0.490351E+07 0.119668E+09 0.714234E+09 0.108774E+11
       80.46  0.495605E+07 0.120958E+09 0.721870E+09 0.109946E+11
       80.49  0.500935E+07 0.122266E+09 0.729616E+09 0.111136E+11
       80.51  0.506340E+07 0.123593E+09 0.737471E+09 0.112343E+11
       80.54  0.511821E+07 0.124939E+09 0.745438E+09 0.113567E+11
       80.56  0.517381E+07 0.126303E+09 0.753517E+09 0.114808E+11
       80.58  0.523018E+07 0.127687E+09 0.761709E+09 0.116067E+11
       80.61  0.528738E+07 0.129092E+09 0.770021E+09 0.117344E+11
       80.64  0.534539E+07 0.130516E+09 0.778452E+09 0.118639E+11
       80.66  0.540425E+07 0.131961E+09 0.787005E+09 0.119954E+11
       80.69  0.546396E+07 0.133427E+09 0.795682E+09 0.121287E+11
       80.71  0.552452E+07 0.134914E+09 0.804482E+09 0.122640E+11
       80.74  0.558599E+07 0.136424E+09 0.813413E+09 0.124012E+11
       80.76  0.564835E+07 0.137955E+09 0.822475E+09 0.125405E+11
       80.79  0.571164E+07 0.139509E+09 0.831670E+09 0.126819E+11
       80.81  0.577585E+07 0.141087E+09 0.841002E+09 0.128253E+11
       80.83  0.584101E+07 0.142687E+09 0.850468E+09 0.129709E+11
       80.86  0.590715E+07 0.144311E+09 0.860079E+09 0.131186E+11
       80.89  0.597428E+07 0.145960E+09 0.869833E+09 0.132686E+11
       80.91  0.604243E+07 0.147634E+09 0.879733E+09 0.134209E+11
       80.94  0.611160E+07 0.149333E+09 0.889783E+09 0.135754E+11
       80.96  0.618179E+07 0.151058E+09 0.899981E+09 0.137322E+11
       80.99  0.625308E+07 0.152809E+09 0.910338E+09 0.138915E+11
       81.01  0.632545E+07 0.154587E+09 0.920853E+09 0.140532E+11
       81.04  0.639894E+07 0.156392E+09 0.931529E+09 0.142175E+11
       81.06  0.647355E+07 0.158226E+09 0.942369E+09 0.143842E+11
       81.08  0.654930E+07 0.160087E+09 0.953373E+09 0.145535E+11
       81.11  0.662625E+07 0.161978E+09 0.964551E+09 0.147255E+11
       81.14  0.670439E+07 0.163898E+09 0.975904E+09 0.149001E+11
       81.16  0.678376E+07 0.165848E+09 0.987434E+09 0.150775E+11
       81.19  0.686438E+07 0.167829E+09 0.999145E+09 0.152577E+11
       81.21  0.694625E+07 0.169841E+09 0.101104E+10 0.154407E+11
       81.24  0.702944E+07 0.171886E+09 0.102312E+10 0.156267E+11
       81.26  0.711396E+07 0.173963E+09 0.103540E+10 0.158157E+11
       81.29  0.719983E+07 0.176074E+09 0.104787E+10 0.160076E+11
       81.31  0.728708E+07 0.178218E+09 0.106055E+10 0.162027E+11
       81.33  0.737571E+07 0.180397E+09 0.107342E+10 0.164009E+11
       81.36  0.746581E+07 0.182612E+09 0.108651E+10 0.166023E+11
       81.39  0.755738E+07 0.184863E+09 0.109981E+10 0.168071E+11
       81.41  0.765044E+07 0.187151E+09 0.111332E+10 0.170152E+11
       81.44  0.774504E+07 0.189476E+09 0.112706E+10 0.172267E+11
       81.46  0.784116E+07 0.191840E+09 0.114102E+10 0.174417E+11
       81.49  0.793891E+07 0.194243E+09 0.115522E+10 0.176603E+11
       81.51  0.803829E+07 0.196686E+09 0.116965E+10 0.178826E+11
       81.54  0.813934E+07 0.199171E+09 0.118433E+10 0.181086E+11
       81.56  0.824208E+07 0.201697E+09 0.119925E+10 0.183384E+11
       81.58  0.834652E+07 0.204266E+09 0.121442E+10 0.185720E+11
       81.61  0.845278E+07 0.206879E+09 0.122985E+10 0.188097E+11
       81.64  0.856084E+07 0.209536E+09 0.124554E+10 0.190515E+11
       81.66  0.867076E+07 0.212240E+09 0.126151E+10 0.192974E+11
       81.69  0.878257E+07 0.214990E+09 0.127774E+10 0.195475E+11
       81.71  0.889627E+07 0.217786E+09 0.129426E+10 0.198019E+11
       81.74  0.901199E+07 0.220633E+09 0.131106E+10 0.200608E+11
       81.76  0.912973E+07 0.223529E+09 0.132816E+10 0.203243E+11
       81.79  0.924954E+07 0.226476E+09 0.134555E+10 0.205924E+11
       81.81  0.937146E+07 0.229475E+09 0.136326E+10 0.208652E+11
       81.83  0.949551E+07 0.232527E+09 0.138127E+10 0.211428E+11
       81.86  0.962180E+07 0.235634E+09 0.139961E+10 0.214254E+11
       81.89  0.975035E+07 0.238797E+09 0.141827E+10 0.217131E+11
       81.91  0.988121E+07 0.242016E+09 0.143728E+10 0.220060E+11
       81.94  0.100144E+08 0.245294E+09 0.145662E+10 0.223042E+11
       81.96  0.101501E+08 0.248631E+09 0.147631E+10 0.226078E+11
       81.99  0.102882E+08 0.252030E+09 0.149637E+10 0.229170E+11
       82.00  0.103723E+08 0.254099E+09 0.150857E+10 0.231052E+11
       82.01  0.104288E+08 0.255491E+09 0.151679E+10 0.232318E+11
       82.04  0.105721E+08 0.259017E+09 0.153759E+10 0.235525E+11
       82.06  0.107180E+08 0.262608E+09 0.155877E+10 0.238792E+11
       82.08  0.108666E+08 0.266265E+09 0.158035E+10 0.242119E+11
       82.11  0.110180E+08 0.269991E+09 0.160233E+10 0.245509E+11
       82.14  0.111723E+08 0.273788E+09 0.162473E+10 0.248963E+11
       82.16  0.113295E+08 0.277658E+09 0.164755E+10 0.252483E+11
       82.19  0.114897E+08 0.281600E+09 0.167080E+10 0.256070E+11
       82.21  0.116529E+08 0.285618E+09 0.169449E+10 0.259724E+11
       82.24  0.118193E+08 0.289714E+09 0.171865E+10 0.263451E+11
       82.26  0.119889E+08 0.293889E+09 0.174327E+10 0.267249E+11
       82.29  0.121618E+08 0.298146E+09 0.176837E+10 0.271122E+11
       82.31  0.123381E+08 0.302486E+09 0.179396E+10 0.275070E+11
       82.33  0.125178E+08 0.306910E+09 0.182005E+10 0.279095E+11
       82.36  0.127011E+08 0.311424E+09 0.184666E+10 0.283201E+11
       82.39  0.128880E+08 0.316027E+09 0.187379E+10 0.287389E+11
       82.41  0.130787E+08 0.320722E+09 0.190147E+10 0.291660E+11
       82.44  0.132732E+08 0.325512E+09 0.192971E+10 0.296018E+11
       82.46  0.134716E+08 0.330398E+09 0.195850E+10 0.300463E+11
       82.49  0.136741E+08 0.335384E+09 0.198789E+10 0.304999E+11
       82.51  0.138807E+08 0.340473E+09 0.201789E+10 0.309629E+11
       82.54  0.140916E+08 0.345666E+09 0.204849E+10 0.314354E+11
       82.56  0.143069E+08 0.350968E+09 0.207973E+10 0.319176E+11
       82.58  0.145265E+08 0.356378E+09 0.211161E+10 0.324098E+11
       82.61  0.147508E+08 0.361903E+09 0.214417E+10 0.329125E+11
       82.64  0.149799E+08 0.367544E+09 0.217741E+10 0.334257E+11
       82.66  0.152137E+08 0.373305E+09 0.221135E+10 0.339499E+11
       82.69  0.154526E+08 0.379190E+09 0.224602E+10 0.344852E+11
       82.71  0.156965E+08 0.385198E+09 0.228141E+10 0.350319E+11
       82.74  0.159457E+08 0.391338E+09 0.231759E+10 0.355905E+11
       82.76  0.162004E+08 0.397612E+09 0.235454E+10 0.361613E+11
       82.79  0.164606E+08 0.404023E+09 0.239230E+10 0.367445E+11
       82.81  0.167265E+08 0.410574E+09 0.243089E+10 0.373406E+11
       82.83  0.169982E+08 0.417269E+09 0.247031E+10 0.379497E+11
       82.86  0.172760E+08 0.424114E+09 0.251063E+10 0.385725E+11
       82.89  0.175600E+08 0.431113E+09 0.255184E+10 0.392093E+11
       82.91  0.178504E+08 0.438270E+09 0.259399E+10 0.398604E+11
       82.94  0.181474E+08 0.445589E+09 0.263708E+10 0.405263E+11
       82.96  0.184511E+08 0.453073E+09 0.268115E+10 0.412072E+11
       82.99  0.187618E+08 0.460731E+09 0.272623E+10 0.419039E+11
       83.01  0.190797E+08 0.468566E+09 0.277236E+10 0.426168E+11
       83.04  0.194050E+08 0.476583E+09 0.281956E+10 0.433462E+11
       83.06  0.197378E+08 0.484788E+09 0.286786E+10 0.440927E+11
       83.08  0.200784E+08 0.493184E+09 0.291728E+10 0.448566E+11
       83.11  0.204272E+08 0.501781E+09 0.296788E+10 0.456388E+11
       83.14  0.207843E+08 0.510584E+09 0.301969E+10 0.464398E+11
       83.16  0.211500E+08 0.519598E+09 0.307274E+10 0.472599E+11
       83.19  0.215245E+08 0.528831E+09 0.312708E+10 0.481000E+11
       83.21  0.219080E+08 0.538286E+09 0.318272E+10 0.489602E+11
       83.24  0.223010E+08 0.547975E+09 0.323973E+10 0.498418E+11
       83.26  0.227036E+08 0.557904E+09 0.329815E+10 0.507452E+11
       83.29  0.231163E+08 0.568079E+09 0.335802E+10 0.516710E+11
       83.31  0.235393E+08 0.578510E+09 0.341939E+10 0.526201E+11
       83.33  0.239728E+08 0.589200E+09 0.348228E+10 0.535927E+11
       83.36  0.244174E+08 0.600164E+09 0.354678E+10 0.545903E+11
       83.39  0.248734E+08 0.611409E+09 0.361293E+10 0.556135E+11
       83.41  0.253411E+08 0.622943E+09 0.368078E+10 0.566630E+11
       83.44  0.258209E+08 0.634776E+09 0.375038E+10 0.577397E+11
       83.46  0.263131E+08 0.646915E+09 0.382177E+10 0.588441E+11
       83.49  0.268183E+08 0.659376E+09 0.389506E+10 0.599780E+11
       83.51  0.273369E+08 0.672167E+09 0.397028E+10 0.611419E+11
       83.54  0.278693E+08 0.685300E+09 0.404751E+10 0.623368E+11
       83.56  0.284160E+08 0.698786E+09 0.412681E+10 0.635639E+11
       83.58  0.289773E+08 0.712632E+09 0.420822E+10 0.648237E+11
       83.61  0.295540E+08 0.726860E+09 0.429188E+10 0.661184E+11
       83.64  0.301466E+08 0.741479E+09 0.437783E+10 0.674486E+11
       83.66  0.307555E+08 0.756503E+09 0.446616E+10 0.688156E+11
       83.69  0.313814E+08 0.771945E+09 0.455694E+10 0.702208E+11
       83.71  0.320247E+08 0.787817E+09 0.465024E+10 0.716649E+11
       83.74  0.326863E+08 0.804142E+09 0.474620E+10 0.731505E+11
       83.76  0.333668E+08 0.820934E+09 0.484489E+10 0.746784E+11
       83.79  0.340668E+08 0.838208E+09 0.494642E+10 0.762502E+11
       83.81  0.347871E+08 0.855982E+09 0.505088E+10 0.778675E+11
       83.83  0.355281E+08 0.874269E+09 0.515835E+10 0.795316E+11
       83.86  0.362912E+08 0.893100E+09 0.526901E+10 0.812451E+11
       83.89  0.370768E+08 0.912489E+09 0.538295E+10 0.830094E+11
       83.91  0.378858E+08 0.932458E+09 0.550028E+10 0.848264E+11
       83.94  0.387192E+08 0.953028E+09 0.562114E+10 0.866982E+11
       83.96  0.395776E+08 0.974215E+09 0.574562E+10 0.886262E+11
       83.99  0.404625E+08 0.996058E+09 0.587394E+10 0.906138E+11
       84.00  0.410064E+08 0.100948E+10 0.595282E+10 0.918354E+11
       84.01  0.413746E+08 0.101857E+10 0.600622E+10 0.926626E+11
       84.04  0.423151E+08 0.104179E+10 0.614259E+10 0.947752E+11
       84.06  0.432850E+08 0.106573E+10 0.628324E+10 0.969540E+11
       84.08  0.442852E+08 0.109042E+10 0.642827E+10 0.992009E+11
       84.11  0.453175E+08 0.111591E+10 0.657796E+10 0.101520E+12
       84.14  0.463829E+08 0.114222E+10 0.673244E+10 0.103914E+12
       84.16  0.474827E+08 0.116937E+10 0.689192E+10 0.106385E+12
       84.19  0.486184E+08 0.119741E+10 0.705659E+10 0.108937E+12
       84.21  0.497910E+08 0.122637E+10 0.722662E+10 0.111572E+12
       84.24  0.510029E+08 0.125629E+10 0.740233E+10 0.114295E+12
       84.26  0.522552E+08 0.128722E+10 0.758391E+10 0.117109E+12
       84.29  0.535497E+08 0.131919E+10 0.777160E+10 0.120018E+12
       84.31  0.548882E+08 0.135224E+10 0.796566E+10 0.123026E+12
       84.33  0.562721E+08 0.138642E+10 0.816630E+10 0.126136E+12
       84.36  0.577041E+08 0.142179E+10 0.837393E+10 0.129355E+12
       84.39  0.591860E+08 0.145839E+10 0.858878E+10 0.132686E+12
       84.41  0.607199E+08 0.149628E+10 0.881116E+10 0.136134E+12
       84.44  0.623081E+08 0.153551E+10 0.904141E+10 0.139704E+12
       84.46  0.639525E+08 0.157613E+10 0.927979E+10 0.143400E+12
       84.49  0.656564E+08 0.161822E+10 0.952682E+10 0.147231E+12
       84.51  0.674222E+08 0.166184E+10 0.978280E+10 0.151201E+12
       84.54  0.692525E+08 0.170706E+10 0.100481E+11 0.155316E+12
       84.56  0.711502E+08 0.175395E+10 0.103232E+11 0.159582E+12
       84.58  0.731178E+08 0.180256E+10 0.106085E+11 0.164006E+12
       84.61  0.751597E+08 0.185301E+10 0.109045E+11 0.168598E+12
       84.64  0.772786E+08 0.190537E+10 0.112116E+11 0.173362E+12
       84.66  0.794781E+08 0.195972E+10 0.115304E+11 0.178309E+12
       84.69  0.817619E+08 0.201615E+10 0.118615E+11 0.183444E+12
       84.71  0.841331E+08 0.207475E+10 0.122052E+11 0.188777E+12
       84.74  0.865972E+08 0.213565E+10 0.125624E+11 0.194319E+12
       84.76  0.891579E+08 0.219893E+10 0.129335E+11 0.200079E+12
       84.79  0.918196E+08 0.226472E+10 0.133193E+11 0.206066E+12
       84.81  0.945871E+08 0.233312E+10 0.137205E+11 0.212291E+12
       84.83  0.974643E+08 0.240424E+10 0.141375E+11 0.218763E+12
       84.86  0.100458E+09 0.247825E+10 0.145714E+11 0.225498E+12
       84.89  0.103574E+09 0.255525E+10 0.150229E+11 0.232507E+12
       84.91  0.106816E+09 0.263540E+10 0.154928E+11 0.239801E+12
       84.94  0.110191E+09 0.271884E+10 0.159820E+11 0.247395E+12
       84.96  0.113704E+09 0.280569E+10 0.164912E+11 0.255299E+12
       84.99  0.117364E+09 0.289618E+10 0.170215E+11 0.263534E+12
       85.01  0.121176E+09 0.299042E+10 0.175740E+11 0.272111E+12
       85.04  0.125147E+09 0.308861E+10 0.181495E+11 0.281048E+12
       85.06  0.129284E+09 0.319092E+10 0.187491E+11 0.290359E+12
       85.08  0.133595E+09 0.329750E+10 0.193737E+11 0.300059E+12
       85.11  0.138088E+09 0.340862E+10 0.200248E+11 0.310172E+12
       85.14  0.142770E+09 0.352442E+10 0.207034E+11 0.320711E+12
       85.16  0.147651E+09 0.364512E+10 0.214106E+11 0.331697E+12
       85.19  0.152738E+09 0.377093E+10 0.221477E+11 0.343147E+12
       85.21  0.158037E+09 0.390201E+10 0.229156E+11 0.355077E+12
       85.24  0.163562E+09 0.403866E+10 0.237161E+11 0.367514E+12
       85.26  0.169318E+09 0.418105E+10 0.245502E+11 0.380474E+12
       85.29  0.175315E+09 0.432939E+10 0.254191E+11 0.393975E+12
       85.31  0.181560E+09 0.448390E+10 0.263240E+11 0.408038E+12
       85.33  0.188061E+09 0.464473E+10 0.272658E+11 0.422676E+12
       85.36  0.194829E+09 0.481217E+10 0.282464E+11 0.437916E+12
       85.39  0.201869E+09 0.498636E+10 0.292664E+11 0.453770E+12
       85.41  0.209189E+09 0.516748E+10 0.303268E+11 0.470255E+12
       85.44  0.216793E+09 0.535566E+10 0.314286E+11 0.487383E+12
       85.46  0.224686E+09 0.555098E+10 0.325720E+11 0.505160E+12
