          9         9        12      1181C   C   D    0.822591500D+05
 E STATE HAS LABEL C   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  8
     -17186.93257    -14988.06724    -12920.96364    -10983.69777
     -9175.19106     -7496.22782     -5948.73621     -4536.97085
     -3267.35947     -2150.10574     -1201.03769      -444.75110
 PROPORTION OF STATE C   
       80.36  0.381450E-01 0.128398E+02 0.516034E+04 0.173711E+06
       80.39  0.385550E-01 0.129771E+02 0.521519E+04 0.175566E+06
       80.41  0.389707E-01 0.131163E+02 0.527079E+04 0.177447E+06
       80.44  0.393923E-01 0.132574E+02 0.532718E+04 0.179355E+06
       80.46  0.398197E-01 0.134005E+02 0.538434E+04 0.181288E+06
       80.49  0.402533E-01 0.135456E+02 0.544232E+04 0.183250E+06
       80.51  0.406931E-01 0.136928E+02 0.550111E+04 0.185239E+06
       80.54  0.411391E-01 0.138421E+02 0.556075E+04 0.187257E+06
       80.56  0.415915E-01 0.139936E+02 0.562123E+04 0.189303E+06
       80.58  0.420503E-01 0.141471E+02 0.568255E+04 0.191378E+06
       80.61  0.425158E-01 0.143029E+02 0.574478E+04 0.193484E+06
       80.64  0.429880E-01 0.144610E+02 0.580789E+04 0.195620E+06
       80.66  0.434672E-01 0.146213E+02 0.587193E+04 0.197786E+06
       80.69  0.439533E-01 0.147840E+02 0.593689E+04 0.199985E+06
       80.71  0.444463E-01 0.149490E+02 0.600277E+04 0.202215E+06
       80.74  0.449468E-01 0.151165E+02 0.606964E+04 0.204478E+06
       80.76  0.454547E-01 0.152864E+02 0.613749E+04 0.206774E+06
       80.79  0.459701E-01 0.154589E+02 0.620634E+04 0.209104E+06
       80.81  0.464932E-01 0.156339E+02 0.627621E+04 0.211469E+06
       80.83  0.470239E-01 0.158115E+02 0.634710E+04 0.213869E+06
       80.86  0.475627E-01 0.159917E+02 0.641906E+04 0.216305E+06
       80.89  0.481096E-01 0.161747E+02 0.649210E+04 0.218777E+06
       80.91  0.486649E-01 0.163605E+02 0.656624E+04 0.221287E+06
       80.94  0.492285E-01 0.165490E+02 0.664150E+04 0.223835E+06
       80.96  0.498005E-01 0.167404E+02 0.671787E+04 0.226420E+06
       80.99  0.503815E-01 0.169347E+02 0.679544E+04 0.229046E+06
       81.01  0.509714E-01 0.171320E+02 0.687418E+04 0.231712E+06
       81.04  0.515705E-01 0.173324E+02 0.695414E+04 0.234419E+06
       81.06  0.521788E-01 0.175358E+02 0.703533E+04 0.237168E+06
       81.08  0.527963E-01 0.177424E+02 0.711775E+04 0.239959E+06
       81.11  0.534237E-01 0.179522E+02 0.720147E+04 0.242794E+06
       81.14  0.540610E-01 0.181653E+02 0.728650E+04 0.245674E+06
       81.16  0.547083E-01 0.183818E+02 0.737287E+04 0.248598E+06
       81.19  0.553658E-01 0.186017E+02 0.746059E+04 0.251569E+06
       81.21  0.560336E-01 0.188250E+02 0.754968E+04 0.254586E+06
       81.24  0.567122E-01 0.190519E+02 0.764020E+04 0.257652E+06
       81.26  0.574017E-01 0.192824E+02 0.773217E+04 0.260767E+06
       81.29  0.581024E-01 0.195167E+02 0.782561E+04 0.263932E+06
       81.31  0.588143E-01 0.197547E+02 0.792056E+04 0.267147E+06
       81.33  0.595376E-01 0.199965E+02 0.801701E+04 0.270414E+06
       81.36  0.602729E-01 0.202423E+02 0.811505E+04 0.273735E+06
       81.39  0.610202E-01 0.204922E+02 0.821469E+04 0.277111E+06
       81.41  0.617799E-01 0.207461E+02 0.831597E+04 0.280541E+06
       81.44  0.625521E-01 0.210042E+02 0.841891E+04 0.284029E+06
       81.46  0.633369E-01 0.212666E+02 0.852352E+04 0.287573E+06
       81.49  0.641350E-01 0.215333E+02 0.862989E+04 0.291177E+06
       81.51  0.649465E-01 0.218045E+02 0.873804E+04 0.294841E+06
       81.54  0.657716E-01 0.220803E+02 0.884801E+04 0.298566E+06
       81.56  0.666107E-01 0.223608E+02 0.895982E+04 0.302355E+06
       81.58  0.674638E-01 0.226459E+02 0.907349E+04 0.306207E+06
       81.61  0.683317E-01 0.229359E+02 0.918912E+04 0.310125E+06
       81.64  0.692145E-01 0.232309E+02 0.930673E+04 0.314110E+06
       81.66  0.701125E-01 0.235310E+02 0.942635E+04 0.318164E+06
       81.69  0.710261E-01 0.238362E+02 0.954804E+04 0.322288E+06
       81.71  0.719552E-01 0.241467E+02 0.967179E+04 0.326481E+06
