# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    7     9     1.1603393277E+05     3.4382589208E+08     2.9741867117E-01
    7    10     1.1700319437E+05     6.6681089664E+08     1.6759878042E-01
    7    11     1.1778845565E+05     8.2461129526E+08     1.5327504516E-01
    8     0     1.0122131874E+05     3.8672593108E+06     2.4989191423E-01
    8     1     1.0342029073E+05     1.3350118763E+07     3.9585275963E-01
    8     2     1.0546848719E+05     1.0331597595E+08     5.4408048107E-01
    8     3     1.0745081586E+05     6.7692634295E+07     6.7145103312E-01
    8     4     1.0924376804E+05     2.9042140156E+07     7.7052068489E-01
    8     5     1.1090925411E+05     3.9037753552E+07     8.5243912206E-01
    8     6     1.1242863655E+05     1.2892516309E+08     9.4168379313E-01
    8     7     1.1390167688E+05     1.3626056758E+08     8.1394993788E-01
    8     8     1.1514937233E+05     1.3202200420E+08     4.5392521089E-01
    8     9     1.1625513424E+05     3.3691963963E+08     2.1598842619E-01
    8    10     1.1719607601E+05     6.4685648027E+08     1.6975742612E-01
    8    11     1.1794397273E+05     7.9955624346E+08     1.6365958598E-01
    9     0     1.0172006459E+05     6.3279218681E+06     3.0226043616E-01
    9     1     1.0387280453E+05     1.4597829154E+08     4.2803833469E-01
    9     2     1.0595614530E+05     4.3209327653E+07     5.7153333594E-01
    9     3     1.0785816520E+05     2.4397975192E+07     6.9647698554E-01
    9     4     1.0962773994E+05     4.3215398631E+07     7.9672122417E-01
    9     5     1.1123900713E+05     1.9725743969E+08     8.8363465846E-01
    9     6     1.1283006691E+05     7.7768009453E+07     8.7671257289E-01
    9     7     1.1419550138E+05     8.0799996830E+07     5.6042401529E-01
    9     8     1.1542206569E+05     1.6309252933E+08     3.8076943990E-01
    9     9     1.1649441759E+05     4.7330840044E+08     2.3368082270E-01
    9    10     1.1739585237E+05     7.5096135358E+08     2.2520002693E-01
    9    11     1.1814622410E+05     8.1217282547E+08     2.1213190322E-01
   10     0     1.0228804776E+05     1.8930385344E+08     3.2787826021E-01
   10     1     1.0442069002E+05     1.9688355637E+07     4.7292696652E-01
   10     2     1.0643043599E+05     1.8591689055E+07     6.0487816755E-01
   10     3     1.0830113876E+05     5.1117375971E+07     7.2312293467E-01
   10     4     1.1011870553E+05     1.8199638751E+08     8.3052643998E-01
   10     5     1.1170656547E+05     4.9142802103E+07     8.9722791299E-01
   10     6     1.1318142008E+05     5.4187001691E+07     7.5759091771E-01
   10     7     1.1451526478E+05     1.2898679289E+08     6.5320138625E-01
   10     8     1.1568990099E+05     3.0714550020E+08     6.8940766142E-01
   10     9     1.1681300632E+05     6.5073276590E+08     2.6116392208E-01
   10    10     1.1766318188E+05     8.0511246820E+08     1.9296418663E-01
   10    11     1.1829556881E+05     9.2335745717E+08     1.4121353212E-01
   11     0     1.0285001263E+05     5.4792724600E+06     3.7160321974E-01
   11     1     1.0496489125E+05     1.2189505634E+07     5.1858382444E-01
   11     2     1.0693351670E+05     7.2033002265E+07     6.4448214860E-01
   11     3     1.0883260915E+05     9.0010028869E+07     7.5880410384E-01
   11     4     1.1053731019E+05     3.4475405102E+07     8.5600729519E-01
