# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    4     6     1.1136702011E+05     6.9982808700E+08     2.0238373693E+08     9.0221182393E+08     2.2431953513E-01     8.8652449046E-01
    4     7     1.1290146037E+05     9.9507654000E+08     4.1296305855E+07     1.0363728459E+09     3.9846958573E-02     8.2837673071E-01
    4     8     1.1424733938E+05     9.7560918051E+08     7.0890327507E+07     1.0464995080E+09     6.7740430802E-02     3.0668563063E-01
    4     9     1.1545074639E+05     9.1454678011E+08     1.3224737747E+08     1.0467941576E+09     1.2633560907E-01     2.2380061980E-01
    4    10     1.1649787139E+05     5.8989845730E+08     4.6146975448E+08     1.0513682118E+09     4.3892306169E-01     1.3269345623E-01
    4    11     1.1737098327E+05     4.1986181500E+08     6.4743121447E+08     1.0672930295E+09     6.0661055267E-01     1.4158549464E-01
    4    12     1.1804032411E+05     3.4527132670E+08     7.4675210461E+08     1.0920234313E+09     6.8382425065E-01     1.3777278859E-01
    5     0     1.0000151883E+05     1.1653365672E+09     6.4406906127E+06     1.1717772578E+09     5.4965144355E-03     1.5355922194E-01
    5     1     1.0229431774E+05     9.4695036820E+08     1.6931858445E+08     1.1162689527E+09     1.5168260664E-01     3.5987551100E-01
    5     2     1.0440388869E+05     1.1090076731E+09     1.9203671881E+07     1.1282113450E+09     1.7021342647E-02     4.7001815195E-01
    5     3     1.0639736718E+05     1.0965275934E+09     1.2987290298E+07     1.1095148837E+09     1.1705377268E-02     5.8881129929E-01
    5     4     1.0825965106E+05     1.0624835807E+09     2.2051621814E+07     1.0845352025E+09     2.0332785660E-02     7.1254832729E-01
    5     5     1.0997714375E+05     8.5886811606E+08     1.2736887178E+08     9.8623698784E+08     1.2914631407E-01     8.1562609614E-01
    5     6     1.1162813078E+05     9.7120017000E+08     5.7343495786E+07     1.0285436658E+09     5.5752125742E-02     9.0525971223E-01
    5     7     1.1309163594E+05     1.0138370600E+09     3.1402056517E+07     1.0452391165E+09     3.0042940434E-02     7.2731408026E-01
    5     8     1.1442165533E+05     9.5436130120E+08     7.8729974909E+07     1.0330912761E+09     7.6208149976E-02     3.5456628388E-01
    5     9     1.1560573045E+05     8.2977031732E+08     1.7694072517E+08     1.0067110425E+09     1.7576118440E-01     2.7470190659E-01
    5    10     1.1663171592E+05     5.1793897770E+08     4.5656931353E+08     9.7450829123E+08     4.6851249768E-01     2.0442344195E-01
    5    11     1.1748254154E+05     2.3461343900E+08     6.7290696003E+08     9.0752039903E+08     7.4147860560E-01     1.8135797261E-01
    5    12     1.1812202851E+05     1.4535224920E+08     6.9984600570E+08     8.4519825490E+08     8.2802585268E-01     1.8948513680E-01
    6     0     1.0033645417E+05     9.5233602455E+08     2.0549616086E+08     1.1578321854E+09     1.7748354507E-01     1.7409521800E-01
    6     1     1.0261091283E+05     1.1313867556E+09     1.6899096434E+07     1.1482858520E+09     1.4716802793E-02     3.7483972178E-01
    6     2     1.0471916883E+05     1.1147072136E+09     1.2053841613E+07     1.1267610552E+09     1.0697779762E-02     5.0164424047E-01
    6     3     1.0669378232E+05     1.0809108682E+09     2.0608173822E+07     1.1015190420E+09     1.8708867516E-02     6.1140956749E-01
    6     4     1.0852510131E+05     9.2566884539E+08     1.0230750114E+08     1.0279763465E+09     9.9523205453E-02     7.2267726170E-01
    6     5     1.1029198464E+05     9.5321912187E+08     7.7751508662E+07     1.0309706305E+09     7.5415832769E-02     8.2159295576E-01
    6     6     1.1186686121E+05     1.0215970153E+09     2.8672368622E+07     1.0502693839E+09     2.7300013749E-02     8.9804698648E-01
    6     7     1.1331429886E+05     7.6699968451E+08     2.7376932154E+07     7.9437661666E+08     3.4463416445E-02     6.9776084628E-01
    6     8     1.1462042072E+05     8.8749519028E+08     1.1406972754E+08     1.0015649178E+09     1.1389149671E-01     5.3719854262E-01
    6     9     1.1577330867E+05     6.1278468400E+08     2.9833623887E+08     9.1112092287E+08     3.2743868720E-01     5.0494681165E-01
    6    10     1.1684251027E+05     3.4307576686E+08     5.1514791481E+08     8.5822368166E+08     6.0024900945E-01     4.3097493705E-01
    6    11     1.1765289944E+05     2.1849654090E+08     7.0617819578E+08     9.2467473668E+08     7.6370443332E-01     2.6982271883E-01
    6    12     1.1824143625E+05     1.9576877650E+08     6.9657113856E+08     8.9233991506E+08     7.8061187985E-01     1.2224625240E-01
    7     0     1.0076831935E+05     1.1583148191E+09     9.3606442553E+06     1.1676754634E+09     8.0164776507E-03     2.0154353842E-01
    7     1     1.0299263968E+05     1.1360723552E+09     9.1991282599E+06     1.1452714835E+09     8.0322686740E-03     3.6585256221E-01
    7     2     1.0507935750E+05     1.1018380407E+09     1.7736685678E+07     1.1195747264E+09     1.5842341971E-02     5.1217889270E-01
    7     3     1.0702027270E+05     9.5829537010E+08     9.5999735985E+07     1.0542951061E+09     9.1055849003E-02     6.3272753114E-01
    7     4     1.0889811449E+05     9.6476622494E+08     8.2734065178E+07     1.0475002901E+09     7.8982379249E-02     7.4368269325E-01
    7     5     1.1058186927E+05     1.0291775032E+09     3.1065087135E+07     1.0602425903E+09     2.9299980418E-02     8.2858495034E-01
    7     6     1.1214045791E+05     1.0060083625E+09     3.4511447789E+07     1.0405198103E+09     3.3167506709E-02     9.0946805916E-01
    7     7     1.1355778280E+05     8.7286091068E+08     1.0285186899E+08     9.7571277967E+08     1.0541203429E-01     8.2519945295E-01
    7     8     1.1491562178E+05     6.4902689203E+08     2.2619252504E+08     8.7521941707E+08     2.5844093565E-01     8.3028633500E-01
    7     9     1.1603393277E+05     6.3759627400E+08     3.4382589208E+08     9.8142216608E+08     3.5033434536E-01     2.9741867117E-01
    7    10     1.1700319437E+05     3.5173541260E+08     6.6681089664E+08     1.0185463092E+09     6.5466919922E-01     1.6759878042E-01
    7    11     1.1778845565E+05     2.2462448510E+08     8.2461129526E+08     1.0492357804E+09     7.8591610265E-01     1.5327504516E-01
