# Data for B+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     3      0      2      3              1276.32          1.57530E+08          5.38900E-02          1.85145E+09
     3      0      4      4              1346.91          2.60686E+08          5.51700E-02          1.85145E+09
     3      0      2      4              1335.13          2.01288E+08          7.53500E-02          1.85145E+09
     3      0      4      5              1407.29          2.21755E+08          5.12400E-02          1.85145E+09
     3      0      2      5              1395.20          1.77801E+08          7.26800E-02          1.85145E+09
     3      0      4      6              1468.39          1.29521E+08          3.25800E-02          1.85145E+09
     3      0      2      6              1456.08          1.08751E+08          4.84200E-02          1.85145E+09
     3      0      4      7              1529.56          4.98063E+07          1.35900E-02          1.85145E+09
     3      0      2      7              1517.15          4.44077E+07          2.14700E-02          1.85145E+09
     3      0      4      8              1589.92          1.12998E+07          3.33200E-03          1.85145E+09
     3      0      2      8              1577.57          1.09994E+07          5.74900E-03          1.85145E+09
     3      0      4      9              1648.31          1.14459E+06          3.62800E-04          1.85145E+09
     3      0      2      9              1636.26          1.30726E+06          7.35000E-04          1.85145E+09
     3      0      4     10              1703.21          1.62353E+04          5.49500E-06          1.85145E+09
     3      0      2     10              1691.77          3.21344E+04          1.93100E-05          1.85145E+09
     3      0      4     11              1752.70          1.42315E+03          5.10100E-07          1.85145E+09
     3      0      2     11              1742.26          9.86816E+02          6.29000E-07          1.85145E+09
     3      0      4     12              1794.35          2.07744E-01          7.80400E-11          1.85145E+09
     3      0      2     12              1785.44          1.61432E+01          1.08100E-08          1.85145E+09
     3      0      4     13              1825.11          8.72812E+00          3.39200E-09          1.85145E+09
     3      0      2     13              1818.45          1.66328E+01          1.15500E-08          1.85145E+09
     3      0      2     14              1837.84          3.58515E+00          2.54300E-09          1.85145E+09
     4      0      5      0              1125.54          4.87610E+06          7.58100E-04          1.84207E+09
     4      0      3      0              1112.58          3.54919E+06          8.47300E-04          1.84207E+09
     4      0      5      1              1179.63          3.40723E+07          5.81900E-03          1.84207E+09
     4      0      3      1              1166.11          2.54296E+07          6.66900E-03          1.84207E+09
     4      0      5      2              1235.60          1.07467E+08          2.01400E-02          1.84207E+09
     4      0      3      2              1221.54          8.26133E+07          2.37700E-02          1.84207E+09
     4      0      5      3              1293.31          2.02305E+08          4.15300E-02          1.84207E+09
     4      0      3      3              1278.73          1.60996E+08          5.07700E-02          1.84207E+09
     4      0      5      4              1352.50          2.51451E+08          5.64500E-02          1.84207E+09
     4      0      3      4              1337.47          2.08393E+08          7.18900E-02          1.84207E+09
     4      0      5      5              1412.84          2.14303E+08          5.25000E-02          1.84207E+09
     4      0      3      5              1397.42          1.86392E+08          7.02000E-02          1.84207E+09
     4      0      5      6              1473.82          1.24935E+08          3.33100E-02          1.84207E+09
     4      0      3      6              1458.13          1.15317E+08          4.72800E-02          1.84207E+09
     4      0      5      7              1534.77          4.76247E+07          1.37700E-02          1.84207E+09
     4      0      3      7              1518.97          4.75227E+07          2.11500E-02          1.84207E+09
     4      0      5      8              1594.77          1.05609E+07          3.29600E-03          1.84207E+09
     4      0      3      8              1579.09          1.18204E+07          5.68400E-03          1.84207E+09
     4      0      5      9              1652.64          1.00669E+06          3.37400E-04          1.84207E+09
     4      0      3      9              1637.37          1.39239E+06          7.19900E-04          1.84207E+09
     4      0      5     10              1706.80          1.03193E+04          3.68900E-06          1.84207E+09
     4      0      3     10              1692.35          3.18316E+04          1.75800E-05          1.84207E+09
     4      0      5     11              1755.28          1.53931E+03          5.82000E-07          1.84207E+09
     4      0      3     11              1742.16          1.22814E+03          7.18900E-07          1.84207E+09
     4      0      5     12              1795.55          8.40030E+00          3.32400E-09          1.84207E+09
     4      0      3     12              1784.47          1.08006E+01          6.63300E-09          1.84207E+09
     4      0      5     13              1824.43          4.02304E+00          1.64300E-09          1.84207E+09
     4      0      3     13              1816.36          1.74553E+01          1.11100E-08          1.84207E+09
     4      0      3     14              1834.23          3.81276E+00          2.47400E-09          1.84207E+09
     5      0      6      0              1131.75          4.60357E+06          7.48400E-04          1.83034E+09
     5      0      4      0              1116.01          3.40932E+06          7.78500E-04          1.83034E+09
     5      0      6      1              1185.97          3.24493E+07          5.79300E-03          1.83034E+09
     5      0      4      1              1169.56          2.47804E+07          6.21400E-03          1.83034E+09
     5      0      6      2              1242.04          1.03202E+08          2.02100E-02          1.83034E+09
     5      0      4      2              1224.99          8.17055E+07          2.24800E-02          1.83034E+09
     5      0      6      3              1299.81          1.95751E+08          4.19800E-02          1.83034E+09
     5      0      4      3              1282.14          1.61643E+08          4.87200E-02          1.83034E+09
     5      0      6      4              1359.01          2.44797E+08          5.73800E-02          1.83034E+09
     5      0      4      4              1340.79          2.12367E+08          6.99900E-02          1.83034E+09
     5      0      6      5              1419.27          2.09367E+08          5.35300E-02          1.83034E+09
     5      0      4      5              1400.61          1.92643E+08          6.92800E-02          1.83034E+09
     5      0      6      6              1480.08          1.21933E+08          3.39000E-02          1.83034E+09
     5      0      4      6              1461.12          1.20669E+08          4.72300E-02          1.83034E+09
     5      0      6      7              1540.74          4.60452E+07          1.38700E-02          1.83034E+09
     5      0      4      7              1521.67          5.01728E+07          2.13000E-02          1.83034E+09
     5      0      6      8              1600.29          9.93858E+06          3.23000E-03          1.83034E+09
     5      0      4      8              1581.40          1.24981E+07          5.73000E-03          1.83034E+09
     5      0      6      9              1657.49          8.77784E+05          3.06100E-04          1.83034E+09
     5      0      4      9              1639.15          1.44613E+06          7.12300E-04          1.83034E+09
     5      0      6     10              1710.72          5.45277E+03          2.02500E-06          1.83034E+09
     5      0      4     10              1693.44          2.93468E+04          1.54300E-05          1.83034E+09
     5      0      6     11              1757.93          1.62328E+03          6.36700E-07          1.83034E+09
     5      0      4     11              1742.36          1.55760E+03          8.66900E-07          1.83034E+09
     5      0      6     12              1796.48          3.26138E+01          1.33600E-08          1.83034E+09
     5      0      4     12              1783.51          3.47522E+00          2.02700E-09          1.83034E+09
     5      0      6     13              1823.00          5.03275E-01          2.12300E-10          1.83034E+09
     5      0      4     13              1813.89          1.64216E+01          9.90600E-09          1.83034E+09
     6      0      7      0              1138.86          4.33100E+06          7.30300E-04          1.81624E+09
     6      0      5      0              1120.40          3.21839E+06          7.16200E-04          1.81624E+09
     6      0      7      1              1193.22          3.08582E+07          5.71200E-03          1.81624E+09
     6      0      5      1              1173.98          2.37794E+07          5.81000E-03          1.81624E+09
     6      0      7      2              1249.40          9.91903E+07          2.01300E-02          1.81624E+09
     6      0      5      2              1229.41          7.97494E+07          2.13700E-02          1.81624E+09
     6      0      7      3              1307.21          1.89983E+08          4.22000E-02          1.81624E+09
     6      0      5      3              1286.52          1.60504E+08          4.70900E-02          1.81624E+09
     6      0      7      4              1366.39          2.39502E+08          5.81300E-02          1.81624E+09
     6      0      5      4              1345.09          2.14430E+08          6.87700E-02          1.81624E+09
     6      0      7      5              1426.55          2.05864E+08          5.44600E-02          1.81624E+09
     6      0      5      5              1404.75          1.97564E+08          6.91100E-02          1.81624E+09
     6      0      7      6              1487.14          1.19845E+08          3.44600E-02          1.81624E+09
     6      0      5      6              1465.02          1.25387E+08          4.77100E-02          1.81624E+09
     6      0      7      7              1547.42          4.47812E+07          1.39400E-02          1.81624E+09
     6      0      5      7              1525.22          5.25720E+07          2.16800E-02          1.81624E+09
     6      0      7      8              1606.40          9.35847E+06          3.13900E-03          1.81624E+09
     6      0      5      8              1584.47          1.30730E+07          5.81800E-03          1.81624E+09
     6      0      7      9              1662.78          7.50657E+05          2.69800E-04          1.81624E+09
     6      0      5      9              1641.58          1.47019E+06          7.02300E-04          1.81624E+09
     6      0      7     10              1714.89          1.92895E+03          7.37500E-07          1.81624E+09
     6      0      5     10              1695.01          2.48870E+04          1.26800E-05          1.81624E+09
     6      0      7     11              1760.56          1.61851E+03          6.52200E-07          1.81624E+09
     6      0      5     11              1742.81          1.98321E+03          1.06800E-06          1.81624E+09
     6      0      7     12              1797.02          7.71903E+01          3.24100E-08          1.81624E+09
     6      0      5     12              1782.50          1.47407E-01          8.30300E-11          1.81624E+09
     6      0      7     13              1820.59          9.50832E-01          4.09700E-10          1.81624E+09
     6      0      5     13              1810.96          1.27537E+01          7.41500E-09          1.81624E+09
     7      0      8      0              1146.86          4.05226E+06          7.05400E-04          1.79981E+09
     7      0      6      0              1125.72          2.99439E+06          6.56800E-04          1.79981E+09
     7      0      8      1              1201.36          2.92528E+07          5.58800E-03          1.79981E+09
     7      0      6      1              1179.35          2.25432E+07          5.42700E-03          1.79981E+09
     7      0      8      2              1257.63          9.52421E+07          1.99400E-02          1.79981E+09
     7      0      6      2              1234.79          7.70624E+07          2.03400E-02          1.79981E+09
     7      0      8      3              1315.48          1.84591E+08          4.22800E-02          1.79981E+09
     7      0      6      3              1291.86          1.58094E+08          4.56700E-02          1.79981E+09
     7      0      8      4              1374.62          2.35014E+08          5.87700E-02          1.79981E+09
     7      0      6      4              1350.33          2.15155E+08          6.79000E-02          1.79981E+09
     7      0      8      5              1434.63          2.03279E+08          5.53700E-02          1.79981E+09
     7      0      6      5              1409.80          2.01602E+08          6.93500E-02          1.79981E+09
     7      0      8      6              1494.93          1.18325E+08          3.50000E-02          1.79981E+09
     7      0      6      6              1469.79          1.29709E+08          4.85000E-02          1.79981E+09
     7      0      8      7              1554.75          4.36716E+07          1.39700E-02          1.79981E+09
     7      0      6      7              1529.59          5.47918E+07          2.21900E-02          1.79981E+09
     7      0      8      8              1613.04          8.77644E+06          3.02200E-03          1.79981E+09
     7      0      6      8              1588.26          1.35475E+07          5.91500E-03          1.79981E+09
     7      0      8      9              1668.45          6.22484E+05          2.29300E-04          1.79981E+09
     7      0      6      9              1644.59          1.46185E+06          6.84300E-04          1.79981E+09
     7      0      8     10              1719.20          1.43488E+02          5.61300E-08          1.79981E+09
     7      0      6     10              1696.99          1.88452E+04          9.39300E-06          1.79981E+09
     7      0      8     11              1763.03          1.46441E+03          6.02400E-07          1.79981E+09
     7      0      6     11              1743.43          2.48533E+03          1.30700E-06          1.79981E+09
     7      0      8     12              1796.99          1.39650E+02          5.96800E-08          1.79981E+09
     7      0      6     12              1781.34          1.29200E+01          7.09600E-09          1.79981E+09
     7      0      6     13              1807.41          6.46797E+00          3.65700E-09          1.79981E+09
     8      0      9      0              1155.71          3.76817E+06          6.75500E-04          1.78106E+09
     8      0      7      0              1131.97          2.75208E+06          5.99500E-04          1.78106E+09
     8      0      9      1              1210.35          2.76235E+07          5.43100E-03          1.78106E+09
     8      0      7      1              1185.66          2.11512E+07          5.05500E-03          1.78106E+09
     8      0      9      2              1266.72          9.12912E+07          1.96600E-02          1.78106E+09
     8      0      7      2              1241.11          7.38556E+07          1.93400E-02          1.78106E+09
     8      0      9      3              1324.59          1.79393E+08          4.22400E-02          1.78106E+09
     8      0      7      3              1298.14          1.54736E+08          4.43300E-02          1.78106E+09
     8      0      9      4              1383.65          2.31041E+08          5.93600E-02          1.78106E+09
     8      0      7      4              1356.48          2.14858E+08          6.72100E-02          1.78106E+09
     8      0      9      5              1443.47          2.01315E+08          5.63000E-02          1.78106E+09
     8      0      7      5              1415.75          2.04971E+08          6.98400E-02          1.78106E+09
     8      0      9      6              1503.41          1.17154E+08          3.55400E-02          1.78106E+09
     8      0      7      6              1475.41          1.33724E+08          4.94900E-02          1.78106E+09
     8      0      9      7              1562.67          4.26009E+07          1.39600E-02          1.78106E+09
     8      0      7      7              1534.72          5.68329E+07          2.27600E-02          1.78106E+09
     8      0      9      8              1620.15          8.15997E+06          2.87500E-03          1.78106E+09
     8      0      7      8              1592.72          1.39041E+07          5.99600E-03          1.78106E+09
     8      0      9      9              1674.40          4.93087E+05          1.85500E-04          1.78106E+09
     8      0      7      9              1648.13          1.41670E+06          6.54200E-04          1.78106E+09
     8      0      9     10              1723.56          4.52597E+02          1.80400E-07          1.78106E+09
     8      0      7     10              1699.31          1.19486E+04          5.86600E-06          1.78106E+09
     8      0      9     11              1765.22          1.12269E+03          4.69500E-07          1.78106E+09
     8      0      7     11              1744.14          2.99477E+03          1.54900E-06          1.78106E+09
     8      0      9     12              1796.16          2.00846E+02          8.69600E-08          1.78106E+09
     8      0      7     12              1779.92          6.19013E+01          3.33400E-08          1.78106E+09
     8      0      7     13              1803.04          5.28353E-01          2.92000E-10          1.78106E+09
