# Data for C- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     6      0      6      9              1430.67          4.03943E-02          1.24000E-11          1.16774E+09
     6      0      6     10              1470.17          3.22103E-02          1.04400E-11          1.16774E+09
     6      0      6     11              1504.90          2.50482E-03          8.50900E-13          1.16774E+09
     6      0      6     12              1533.06          6.82829E-05          2.40700E-14          1.16774E+09
     6      0      6     13              1552.33          1.52644E-05          5.51700E-15          1.16774E+09
     7      0      7      0              1025.09          1.51955E+08          2.39500E-02          1.16371E+09
     7      0      7      1              1068.92          3.88670E+08          6.66100E-02          1.16371E+09
     7      0      7      2              1113.78          3.84074E+08          7.14700E-02          1.16371E+09
     7      0      7      3              1159.50          1.86680E+08          3.76500E-02          1.16371E+09
     7      0      7      4              1205.82          4.65600E+07          1.01500E-02          1.16371E+09
     7      0      7      5              1252.43          5.53218E+06          1.30200E-03          1.16371E+09
     7      0      7      6              1298.89          2.35949E+05          5.97100E-05          1.16371E+09
     7      0      7      7              1344.64          8.06463E+02          2.18700E-07          1.16371E+09
     7      0      7      8              1388.95          6.20325E+01          1.79500E-08          1.16371E+09
     7      0      7      9              1430.91          1.62637E-01          4.99500E-11          1.16371E+09
     7      0      7     10              1469.33          2.40108E-02          7.77600E-12          1.16371E+09
     7      0      7     11              1502.72          2.33135E-03          7.89700E-13          1.16371E+09
     7      0      7     12              1529.21          1.97641E-06          6.93300E-16          1.16371E+09
     7      0      7     13              1546.24          2.16044E-05          7.74800E-15          1.16371E+09
     8      0      8      0              1029.46          1.50833E+08          2.39800E-02          1.15920E+09
     8      0      8      1              1073.16          3.87130E+08          6.68800E-02          1.15920E+09
     8      0      8      2              1117.84          3.83321E+08          7.18500E-02          1.15920E+09
     8      0      8      3              1163.31          1.86176E+08          3.77900E-02          1.15920E+09
     8      0      8      4              1209.32          4.61428E+07          1.01200E-02          1.15920E+09
     8      0      8      5              1255.52          5.38070E+06          1.27200E-03          1.15920E+09
     8      0      8      6              1301.47          2.17076E+05          5.51500E-05          1.15920E+09
     8      0      8      7              1346.57          4.91249E+02          1.33600E-07          1.15920E+09
     8      0      8      8              1390.08          6.64271E+01          1.92500E-08          1.15920E+09
     8      0      8      9              1431.03          4.12491E-01          1.26700E-10          1.15920E+09
     8      0      8     10              1468.21          1.49791E-02          4.84300E-12          1.15920E+09
     8      0      8     11              1500.06          2.64313E-03          8.92100E-13          1.15920E+09
     8      0      8     12              1524.57          1.18526E-06          4.13200E-16          1.15920E+09
     9      0      9      0              1034.29          1.49570E+08          2.40000E-02          1.15425E+09
     9      0      9      1              1077.84          3.85422E+08          6.71600E-02          1.15425E+09
     9      0      9      2              1122.31          3.82533E+08          7.22700E-02          1.15425E+09
     9      0      9      3              1167.50          1.85639E+08          3.79600E-02          1.15425E+09
     9      0      9      4              1213.15          4.56754E+07          1.00800E-02          1.15425E+09
     9      0      9      5              1258.88          5.21012E+06          1.23900E-03          1.15425E+09
     9      0      9      6              1304.24          1.96524E+05          5.01400E-05          1.15425E+09
     9      0      9      7              1348.60          2.33563E+02          6.37200E-08          1.15425E+09
     9      0      9      8              1391.19          6.91676E+01          2.00800E-08          1.15425E+09
     9      0      9      9              1431.01          8.47557E-01          2.60300E-10          1.15425E+09
     9      0      9     10              1466.76          5.69554E-03          1.83800E-12          1.15425E+09
     9      0      9     11              1496.82          3.39014E-03          1.13900E-12          1.15425E+09
     9      0      9     12              1519.02          7.93396E-05          2.74600E-14          1.15425E+09
    10      0     10      0              1039.55          1.48175E+08          2.40200E-02          1.14889E+09
    10      0     10      1              1082.93          3.83567E+08          6.74700E-02          1.14889E+09
    10      0     10      2              1127.16          3.81724E+08          7.27500E-02          1.14889E+09
    10      0     10      3              1172.03          1.85072E+08          3.81300E-02          1.14889E+09
    10      0     10      4              1217.26          4.51539E+07          1.00400E-02          1.14889E+09
    10      0     10      5              1262.47          5.01950E+06          1.20000E-03          1.14889E+09
    10      0     10      6              1307.16          1.74529E+05          4.47300E-05          1.14889E+09
    10      0     10      7              1350.70          6.10533E+01          1.67100E-08          1.14889E+09
    10      0     10      8              1392.25          6.91650E+01          2.01100E-08          1.14889E+09
    10      0     10      9              1430.77          1.53562E+00          4.71500E-10          1.14889E+09
    10      0     10     10              1464.91          1.61325E-05          5.19300E-15          1.14889E+09
    10      0     10     11              1492.93          4.00445E-03          1.33900E-12          1.14889E+09
    10      0     10     12              1512.37          5.05459E-04          1.73400E-13          1.14889E+09
    11      0     11      0              1045.23          1.46654E+08          2.40300E-02          1.14315E+09
    11      0     11      1              1088.40          3.81584E+08          6.78000E-02          1.14315E+09
    11      0     11      2              1132.36          3.80911E+08          7.32600E-02          1.14315E+09
    11      0     11      3              1176.87          1.84475E+08          3.83300E-02          1.14315E+09
    11      0     11      4              1221.64          4.45716E+07          9.97800E-03          1.14315E+09
    11      0     11      5              1266.25          4.80752E+06          1.15600E-03          1.14315E+09
    11      0     11      6              1310.20          1.51380E+05          3.89800E-05          1.14315E+09
    11      0     11      7              1352.80          2.60756E-02          7.15800E-12          1.14315E+09
    11      0     11      8              1393.19          6.52336E+01          1.89900E-08          1.14315E+09
    11      0     11      9              1430.26          2.53836E+00          7.78900E-10          1.14315E+09
    11      0     11     10              1462.58          1.11738E-02          3.58500E-12          1.14315E+09
    11      0     11     11              1488.25          3.06296E-03          1.01800E-12          1.14315E+09
    12      0     12      0              1051.29          1.45019E+08          2.40400E-02          1.13709E+09
    12      0     12      1              1094.23          3.79495E+08          6.81600E-02          1.13709E+09
    12      0     12      2              1137.88          3.80116E+08          7.38200E-02          1.13709E+09
    12      0     12      3              1181.99          1.83841E+08          3.85300E-02          1.13709E+09
    12      0     12      4              1226.23          4.39194E+07          9.90600E-03          1.13709E+09
    12      0     12      5              1270.19          4.57255E+06          1.10700E-03          1.13709E+09
    12      0     12      6              1313.30          1.27446E+05          3.29700E-05          1.13709E+09
    12      0     12      7              1354.87          7.27090E+01          2.00200E-08          1.13709E+09
    12      0     12      8              1393.96          5.63477E+01          1.64200E-08          1.13709E+09
    12      0     12      9              1429.41          3.86632E+00          1.18500E-09          1.13709E+09
    12      0     12     10              1459.68          7.20980E-02          2.30400E-11          1.13709E+09
    12      0     12     11              1482.65          3.00874E-04          9.92100E-14          1.13709E+09
    13      0     13      0              1057.70          1.43282E+08          2.40400E-02          1.13073E+09
    13      0     13      1              1100.39          3.77328E+08          6.85300E-02          1.13073E+09
    13      0     13      2              1143.69          3.79356E+08          7.44300E-02          1.13073E+09
    13      0     13      3              1187.35          1.83165E+08          3.87300E-02          1.13073E+09
    13      0     13      4              1231.02          4.31851E+07          9.81600E-03          1.13073E+09
    13      0     13      5              1274.24          4.31271E+06          1.05000E-03          1.13073E+09
    13      0     13      6              1316.44          1.03205E+05          2.68300E-05          1.13073E+09
    13      0     13      7              1356.85          2.92946E+02          8.09000E-08          1.13073E+09
