# Data for D- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     6      0      6      9              1195.60          1.31799E-01          2.82600E-11          3.52728E+08
     6      0      6     10              1223.06          2.67842E-01          6.01000E-11          3.52728E+08
     6      0      6     11              1247.00          9.51221E-01          2.21900E-10          3.52728E+08
     6      0      6     12              1266.28          3.08279E+00          7.41500E-10          3.52728E+08
     6      0      6     13              1279.40          3.13831E-01          7.70500E-11          3.52728E+08
     7      0      7      0               898.62          3.68876E+07          4.46800E-03          3.52065E+08
     7      0      7      1               932.12          1.04789E+08          1.36600E-02          3.52065E+08
     7      0      7      2               966.05          1.18154E+08          1.65400E-02          3.52065E+08
     7      0      7      3              1000.26          6.79054E+07          1.01900E-02          3.52065E+08
     7      0      7      4              1034.55          2.08539E+07          3.34800E-03          3.52065E+08
     7      0      7      5              1068.67          3.25375E+06          5.57400E-04          3.52065E+08
     7      0      7      6              1102.31          2.18269E+05          3.97800E-05          3.52065E+08
     7      0      7      7              1135.08          3.00058E+03          5.79900E-07          3.52065E+08
     7      0      7      8              1166.50          3.81283E+01          7.78200E-09          3.52065E+08
     7      0      7      9              1195.95          2.35442E-01          5.05100E-11          3.52065E+08
     7      0      7     10              1222.67          4.77696E-01          1.07100E-10          3.52065E+08
     7      0      7     11              1245.71          1.11949E+00          2.60600E-10          3.52065E+08
     7      0      7     12              1263.86          4.02884E+00          9.65300E-10          3.52065E+08
     7      0      7     13              1275.47          4.37835E-01          1.06800E-10          3.52065E+08
     8      0      8      0               902.09          3.65477E+07          4.46100E-03          3.51343E+08
     8      0      8      1               935.47          1.04393E+08          1.37000E-02          3.51343E+08
     8      0      8      2               969.24          1.18181E+08          1.66500E-02          3.51343E+08
     8      0      8      3              1003.25          6.80002E+07          1.02700E-02          3.51343E+08
     8      0      8      4              1037.28          2.08070E+07          3.35800E-03          3.51343E+08
     8      0      8      5              1071.09          3.20521E+06          5.51600E-04          3.51343E+08
     8      0      8      6              1104.34          2.06699E+05          3.78100E-05          3.51343E+08
     8      0      8      7              1136.65          2.43665E+03          4.72200E-07          3.51343E+08
     8      0      8      8              1167.50          4.76640E+01          9.74500E-09          3.51343E+08
     8      0      8      9              1196.25          5.91659E-01          1.27000E-10          3.51343E+08
     8      0      8     10              1222.12          1.25211E+00          2.80500E-10          3.51343E+08
     8      0      8     11              1244.10          2.38940E+00          5.54700E-10          3.51343E+08
     8      0      8     12              1260.92          9.11341E+00          2.17300E-09          3.51343E+08
     9      0      9      0               905.93          3.52840E+07          4.34400E-03          3.50690E+08
     9      0      9      1               939.17          1.06204E+08          1.40500E-02          3.50690E+08
     9      0      9      2               972.75          1.16760E+08          1.65700E-02          3.50690E+08
     9      0      9      3              1006.52          6.75395E+07          1.02600E-02          3.50690E+08
     9      0      9      4              1040.27          2.16180E+07          3.50900E-03          3.50690E+08
     9      0      9      5              1073.72          2.99514E+06          5.17900E-04          3.50690E+08
     9      0      9      6              1106.54          1.45854E+05          2.67900E-05          3.50690E+08
     9      0      9      7              1138.31          1.85813E+04          3.61100E-06          3.50690E+08
     9      0      9      8              1168.50          6.78478E+02          1.39000E-07          3.50690E+08
     9      0      9      9              1196.46          6.81731E+03          1.46400E-06          3.50690E+08
     9      0      9     10              1221.36          9.17504E+03          2.05300E-06          3.50690E+08
     9      0      9     11              1242.13          2.03482E+04          4.70900E-06          3.50690E+08
     9      0      9     12              1257.37          8.65765E+04          2.05300E-05          3.50690E+08
    10      0     10      0               910.11          3.57831E+07          4.44600E-03          3.49770E+08
    10      0     10      1               943.19          1.03449E+08          1.38000E-02          3.49770E+08
    10      0     10      2               976.56          1.18337E+08          1.69300E-02          3.49770E+08
    10      0     10      3              1010.07          6.82579E+07          1.04500E-02          3.49770E+08
    10      0     10      4              1043.48          2.06722E+07          3.37600E-03          3.49770E+08
    10      0     10      5              1076.53          3.08893E+06          5.37000E-04          3.49770E+08
    10      0     10      6              1108.86          1.80362E+05          3.32700E-05          3.49770E+08
    10      0     10      7              1140.03          1.15416E+03          2.25000E-07          3.49770E+08
    10      0     10      8              1169.49          6.30760E+01          1.29400E-08          3.49770E+08
    10      0     10      9              1196.55          9.50305E-01          2.04100E-10          3.49770E+08
    10      0     10     10              1220.34          1.69369E-01          3.78300E-11          3.49770E+08
    10      0     10     11              1239.72          8.80754E-01          2.03000E-10          3.49770E+08
    10      0     10     12              1253.09          5.39763E+00          1.27100E-09          3.49770E+08
    11      0     11      0               914.62          3.53415E+07          4.43500E-03          3.48943E+08
    11      0     11      1               947.51          1.02976E+08          1.38700E-02          3.48943E+08
    11      0     11      2               980.65          1.18436E+08          1.70800E-02          3.48943E+08
    11      0     11      3              1013.86          6.84071E+07          1.05500E-02          3.48943E+08
    11      0     11      4              1046.91          2.06031E+07          3.38700E-03          3.48943E+08
    11      0     11      5              1079.50          3.01432E+06          5.26900E-04          3.48943E+08
    11      0     11      6              1111.28          1.64195E+05          3.04200E-05          3.48943E+08
    11      0     11      7              1141.77          7.01962E+02          1.37300E-07          3.48943E+08
    11      0     11      8              1170.41          7.41775E+01          1.52400E-08          3.48943E+08
    11      0     11      9              1196.47          7.31169E-01          1.57000E-10          3.48943E+08
    11      0     11     10              1219.00          5.33090E-03          1.18800E-12          3.48943E+08
    11      0     11     11              1236.78          7.23205E-02          1.65900E-11          3.48943E+08
    12      0     12      0               919.43          3.48770E+07          4.42200E-03          3.48103E+08
    12      0     12      1               952.11          1.02483E+08          1.39400E-02          3.48103E+08
    12      0     12      2               984.98          1.18574E+08          1.72600E-02          3.48103E+08
    12      0     12      3              1017.86          6.85765E+07          1.06600E-02          3.48103E+08
    12      0     12      4              1050.50          2.05171E+07          3.39600E-03          3.48103E+08
    12      0     12      5              1082.60          2.92829E+06          5.14800E-04          3.48103E+08
    12      0     12      6              1113.76          1.46741E+05          2.73000E-05          3.48103E+08
    12      0     12      7              1143.51          3.25677E+02          6.38800E-08          3.48103E+08
    12      0     12      8              1171.24          8.31280E+01          1.71100E-08          3.48103E+08
    12      0     12      9              1196.16          1.26527E+00          2.71600E-10          3.48103E+08
    12      0     12     10              1217.29          6.08890E-02          1.35300E-11          3.48103E+08
    12      0     12     11              1233.22          2.46644E-02          5.62700E-12          3.48103E+08
    13      0     13      0               924.52          3.44049E+07          4.41100E-03          3.47265E+08
    13      0     13      1               956.96          1.01952E+08          1.40000E-02          3.47265E+08
    13      0     13      2               989.55          1.18780E+08          1.74500E-02          3.47265E+08
    13      0     13      3              1022.06          6.87690E+07          1.07800E-02          3.47265E+08
    13      0     13      4              1054.25          2.03985E+07          3.40100E-03          3.47265E+08
    13      0     13      5              1085.80          2.83174E+06          5.00800E-04          3.47265E+08
    13      0     13      6              1116.29          1.28272E+05          2.39800E-05          3.47265E+08
    13      0     13      7              1145.21          5.58348E+01          1.09800E-08          3.47265E+08
    13      0     13      8              1171.92          6.92536E+01          1.42700E-08          3.47265E+08
    13      0     13      9              1195.59          3.11011E+00          6.66900E-10          3.47265E+08
    13      0     13     10              1215.11          9.67081E-01          2.14200E-10          3.47265E+08
    14      0     14      0               929.87          3.38968E+07          4.39600E-03          3.46438E+08
    14      0     14      1               962.05          1.01483E+08          1.40900E-02          3.46438E+08
    14      0     14      2               994.31          1.18994E+08          1.76500E-02          3.46438E+08
    14      0     14      3              1026.43          6.89702E+07          1.09000E-02          3.46438E+08
    14      0     14      4              1058.13          2.02725E+07          3.40500E-03          3.46438E+08
    14      0     14      5              1089.06          2.71329E+06          4.82700E-04          3.46438E+08
    14      0     14      6              1118.81          1.08199E+05          2.03200E-05          3.46438E+08
    14      0     14      7              1146.82          2.13884E+00          4.22000E-10          3.46438E+08
    14      0     14      8              1172.41          7.61724E+01          1.57100E-08          3.46438E+08
    14      0     14      9              1194.68          4.80204E+00          1.02800E-09          3.46438E+08
    14      0     14     10              1212.37          1.26513E-01          2.78900E-11          3.46438E+08
     1      1      1      0               869.29          6.72201E+07          7.61900E-03          3.54275E+08
     1      1      1      1               901.87          5.70883E+07          6.96500E-03          3.54275E+08
     1      1      1      2               934.92          1.73270E+05          2.27200E-05          3.54275E+08
     1      1      1      3               968.32          5.60166E+07          7.87900E-03          3.54275E+08
     1      1      1      4              1001.92          1.03153E+08          1.55300E-02          3.54275E+08
     1      1      1      5              1035.49          5.54961E+07          8.92600E-03          3.54275E+08
     1      1      1      6              1068.78          1.32820E+07          2.27600E-03          3.54275E+08
     1      1      1      7              1101.46          1.50974E+06          2.74700E-04          3.54275E+08
     1      1      1      8              1133.12          2.47113E+03          4.75900E-07          3.54275E+08
     1      1      1      9              1163.26          5.21800E+03          1.05900E-06          3.54275E+08
     1      1      1     10              1191.25          2.22194E+04          4.73000E-06          3.54275E+08
     1      1      1     11              1216.30          9.09044E+03          2.01700E-06          3.54275E+08
     1      1      1     12              1237.46          8.58300E+03          1.97100E-06          3.54275E+08
     1      1      1     13              1253.57          2.50255E+05          5.89900E-05          3.54275E+08
     1      1      1     14              1263.20          1.04137E+04          2.49300E-06          3.54275E+08
     2      1      2      0               870.23          6.57090E+07          7.46400E-03          3.53788E+08
     2      1      2      1               902.79          5.93130E+07          7.25100E-03          3.53788E+08
     2      1      2      2               935.81          9.01553E+04          1.18400E-05          3.53788E+08
     2      1      2      3               969.17          5.60224E+07          7.89300E-03          3.53788E+08
     2      1      2      4              1002.70          1.00980E+08          1.52300E-02          3.53788E+08
     2      1      2      5              1036.21          5.70826E+07          9.19400E-03          3.53788E+08
     2      1      2      6              1069.41          1.33708E+07          2.29400E-03          3.53788E+08
     2      1      2      7              1101.99          1.20090E+06          2.18800E-04          3.53788E+08
     2      1      2      8              1133.53          1.80828E+04          3.48500E-06          3.53788E+08
     2      1      2      9              1163.52          5.07778E+02          1.03100E-07          3.53788E+08
     2      1      2     10              1191.31          5.87139E+01          1.25000E-08          3.53788E+08
     2      1      2     11              1216.13          1.96334E+01          4.35600E-09          3.53788E+08
     2      1      2     12              1237.01          2.35887E+01          5.41400E-09          3.53788E+08
     2      1      2     13              1252.77          7.04809E+02          1.65900E-07          3.53788E+08
     2      1      2     14              1261.94          2.97000E+01          7.09500E-09          3.53788E+08
     3      1      3      0               871.64          6.54483E+07          7.45900E-03          3.53486E+08
     3      1      3      1               904.15          5.93462E+07          7.27700E-03          3.53486E+08
     3      1      3      2               937.12          9.15041E+04          1.20500E-05          3.53486E+08
     3      1      3      3               970.42          5.60165E+07          7.91300E-03          3.53486E+08
     3      1      3      4              1003.88          1.01015E+08          1.52700E-02          3.53486E+08
     3      1      3      5              1037.28          5.70969E+07          9.21500E-03          3.53486E+08
     3      1      3      6              1070.36          1.32884E+07          2.28400E-03          3.53486E+08
     3      1      3      7              1102.78          1.16527E+06          2.12600E-04          3.53486E+08
     3      1      3      8              1134.13          1.71574E+04          3.31000E-06          3.53486E+08
     3      1      3      9              1163.88          4.69335E+02          9.53700E-08          3.53486E+08
     3      1      3     10              1191.39          9.46257E+00          2.01500E-09          3.53486E+08
     3      1      3     11              1215.87          1.79488E+00          3.98000E-10          3.53486E+08
     3      1      3     12              1236.33          3.63361E+00          8.33100E-10          3.53486E+08
     3      1      3     13              1251.55          1.11663E+02          2.62400E-08          3.53486E+08
     3      1      3     14              1260.01          4.66983E+00          1.11200E-09          3.53486E+08
     4      1      4      0               873.49          6.51540E+07          7.45700E-03          3.53100E+08
     4      1      4      1               905.96          5.93170E+07          7.30300E-03          3.53100E+08
     4      1      4      2               938.86          9.60981E+04          1.27100E-05          3.53100E+08
     4      1      4      3               972.07          5.60101E+07          7.93900E-03          3.53100E+08
     4      1      4      4              1005.42          1.01145E+08          1.53400E-02          3.53100E+08
     4      1      4      5              1038.69          5.70610E+07          9.23400E-03          3.53100E+08
     4      1      4      6              1071.60          1.31737E+07          2.26900E-03          3.53100E+08
     4      1      4      7              1103.81          1.12749E+06          2.06100E-04          3.53100E+08
     4      1      4      8              1134.90          1.51870E+04          2.93400E-06          3.53100E+08
     4      1      4      9              1164.35          4.92788E+02          1.00200E-07          3.53100E+08
     4      1      4     10              1191.48          3.71575E+00          7.91200E-10          3.53100E+08
     4      1      4     11              1215.49          1.46231E-01          3.24100E-11          3.53100E+08
     4      1      4     12              1235.37          1.04409E+00          2.39000E-10          3.53100E+08
     4      1      4     13              1249.87          3.43991E+01          8.06100E-09          3.53100E+08
     5      1      5      0               875.79          6.47956E+07          7.45500E-03          3.52632E+08
     5      1      5      1               908.19          5.92693E+07          7.33300E-03          3.52632E+08
     5      1      5      2               941.01          1.02887E+05          1.36700E-05          3.52632E+08
     5      1      5      3               974.11          5.60048E+07          7.97100E-03          3.52632E+08
     5      1      5      4              1007.32          1.01330E+08          1.54200E-02          3.52632E+08
     5      1      5      5              1040.41          5.70049E+07          9.25600E-03          3.52632E+08
     5      1      5      6              1073.11          1.30288E+07          2.25100E-03          3.52632E+08
     5      1      5      7              1105.06          1.08255E+06          1.98300E-04          3.52632E+08
     5      1      5      8              1135.84          1.27381E+04          2.46500E-06          3.52632E+08
     5      1      5      9              1164.88          5.36352E+02          1.09200E-07          3.52632E+08
     5      1      5     10              1191.54          2.74549E+00          5.84700E-10          3.52632E+08
     5      1      5     11              1214.96          8.41707E-03          1.86400E-12          3.52632E+08
     5      1      5     12              1234.12          3.69310E-01          8.43700E-11          3.52632E+08
     5      1      5     13              1247.70          1.51210E+01          3.53100E-09          3.52632E+08
     6      1      6      0               878.52          6.43715E+07          7.45200E-03          3.52099E+08
     6      1      6      1               910.84          5.92151E+07          7.36900E-03          3.52099E+08
     6      1      6      2               943.56          1.11891E+05          1.49400E-05          3.52099E+08
     6      1      6      3               976.52          5.60039E+07          8.01100E-03          3.52099E+08
     6      1      6      4              1009.56          1.01568E+08          1.55300E-02          3.52099E+08
     6      1      6      5              1042.44          5.69348E+07          9.28100E-03          3.52099E+08
     6      1      6      6              1074.88          1.28533E+07          2.22800E-03          3.52099E+08
     6      1      6      7              1106.52          1.02951E+06          1.89100E-04          3.52099E+08
     6      1      6      8              1136.90          1.00433E+04          1.94700E-06          3.52099E+08
     6      1      6      9              1165.47          5.90430E+02          1.20300E-07          3.52099E+08
