C+	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cp2	X6	P9	1242.94148	-0.0979	1.05E-2	1.07E+9
Cp2	X6	R14	1244.48300	-0.1054	3.94E-2	1.08E+9
Cp2	X5	R22	1244.94728	-0.1189	5.16E-2	1.04E+9
Cp2	X6	P10	1246.39429	-0.1036	2.34E-2	1.11E+9
Cp2	X5	P18	1247.39400	-0.1232	4.26E-2	1.07E+9
Cp2	X6	R15	1247.62567	-0.1043	1.48E-2	9.79E+8
Cp2	X4	P24	1248.23993	-0.1305	3.19E-2	1.04E+9
Cp2	X5	R23	1249.02880	-0.1189	5.34E-2	1.03E+9
Cp2	X6	P11	1250.79135	-0.1086	2.04E-2	1.11E+9
Cp2	X6	R16	1251.74171	-0.1103	3.82E-2	1.07E+9
Cp2	X5	P19	1252.40384	-0.1248	4.35E-2	1.03E+9
Cp2	X4	P25	1253.58345	-0.1303	3.62E-2	1.03E+9
Cp2	X6	R17	1255.14707	-0.1116	2.53E-2	1.03E+9
Cp2	X6	P12	1255.38554	-0.1097	1.26E-2	1.07E+9
Cp2	X5	P20	1257.71041	-0.1271	4.53E-2	1.05E+9
Cp2	X6	R18	1258.91361	-0.1137	3.79E-2	1.05E+9
Cp2	X6	P13	1259.29048	-0.1136	2.53E-2	1.09E+9
Cp2	X7	R3	1259.61775	-0.0852	4.13E-3	1.11E+9
Cp2	X7	R2	1259.85116	-0.0866	1.94E-2	1.11E+9
Cp2	X7	R1	1259.88395	-0.0910	1.86E-2	1.13E+9
Cp2	X7	R5	1261.21450	-0.0926	9.35E-3	1.13E+9
Cp2	X6	R19	1262.20101	-0.1146	3.27E-2	1.05E+9
Cp2	X5	P21	1262.47982	-0.1280	5.07E-2	1.05E+9
Cp2	X7	R6	1262.48005	-0.0937	1.06E-2	1.12E+9
Cp2	X6	P14	1263.92764	-0.1174	1.99E-2	1.09E+9
Cp2	X7	R7	1264.26115	-0.0907	1.34E-2	1.07E+9
Cp2	X6	R20	1265.67424	-0.1166	3.02E-2	8.88E+8
Cp2	X5	P22	1267.38027	-0.1300	2.17E-2	8.88E+8
Cp2	X7	R9	1267.52413	-0.0987	8.02E-3	1.11E+9
Cp2	X6	P15	1267.83196	-0.1162	2.79E-2	1.03E+9
Cp2	X6	R21	1268.23214	-0.1139	3.21E-2	1.04E+9
Cp2	X7	R10	1269.95381	-0.0986	9.50E-3	1.07E+9
Cp2	X7	P5	1270.46130	-0.0942	8.93E-3	1.11E+9
Cp2	X6	R22	1270.57987	-0.1116	2.84E-2	1.04E+9
Cp2	X5	P23	1271.31187	-0.1271	5.09E-2	1.04E+9
Cp2	X7	R11	1271.75671	-0.1016	5.78E-3	1.09E+9
Cp2	X6	P16	1272.57232	-0.1222	2.17E-2	1.08E+9
Cp2	X7	P6	1273.33458	-0.1017	6.96E-3	1.13E+9
Cp2	X7	R12	1274.38647	-0.1045	7.01E-3	1.09E+9
Cp2	X6	P17	1276.27436	-0.1202	2.43E-2	9.79E+8
Cp2	X7	P7	1276.35002	-0.1048	6.09E-3	1.13E+9
Cp2	X7	R13	1276.35122	-0.1026	4.47E-3	1.03E+9
Cp2	X7	R14	1279.24166	-0.1080	5.99E-3	1.08E+9
Cp2	X6	P18	1280.79876	-0.1252	2.03E-2	1.07E+9
Cp2	X7	R15	1281.15932	-0.1056	5.28E-3	9.79E+8
Cp2	X7	P9	1283.17107	-0.1051	2.79E-3	1.07E+9
Cp2	X6	P19	1284.37199	-0.1251	2.06E-2	1.03E+9
Cp2	X7	P10	1285.91295	-0.1102	6.36E-3	1.11E+9
Cp2	X7	R17	1285.91325	-0.1100	6.21E-3	1.03E+9
Cp2	X6	P20	1288.09954	-0.1254	1.62E-2	1.05E+9
Cp2	X7	R19	1289.53610	-0.1088	3.57E-3	1.05E+9
Cp2	X7	P11	1289.55930	-0.1145	5.47E-3	1.11E+9
Cp2	X6	P21	1291.07594	-0.1239	1.42E-2	1.05E+9
Cp2	X6	P22	1293.95480	-0.1228	7.30E-3	8.88E+8
Cp2	X7	P13	1296.22214	-0.1177	3.85E-3	1.09E+9
Cp2	X8	R13	1309.61842	-0.1018	2.56E-3	1.03E+9
Cp3	X4	R13	1141.38038	-0.0790	9.53E-3	1.07E+9
Cp3	X4	P11	1144.77709	-0.0781	1.79E-2	1.07E+9
Cp3	X3	P17	1145.21404	-0.0978	3.28E-3	1.06E+9
Cp3	X4	R14	1147.11301	-0.0832	5.25E-3	1.01E+9
Cp3	X5	R3	1147.86764	-0.0587	2.76E-3	1.11E+9
Cp3	X4	P12	1149.91002	-0.0804	8.96E-3	1.05E+9
Cp3	X5	R5	1150.92722	-0.0619	1.94E-3	1.10E+9
Cp3	X4	R15	1152.46312	-0.0888	1.00E-2	1.06E+9
Cp3	X5	R7	1155.32206	-0.0637	5.56E-3	1.08E+9
Cp3	X4	P13	1156.16545	-0.0885	1.56E-2	1.08E+9
Cp3	X5	R8	1158.53708	-0.0696	3.75E-3	1.09E+9
Cp3	X4	R16	1158.68215	-0.0932	4.35E-3	9.82E+8
Cp3	X3	P19	1160.17028	-0.1084	3.41E-3	1.05E+9
Cp3	X5	R9	1162.12095	-0.0722	2.08E-3	1.07E+9
Cp3	X4	P14	1162.77787	-0.0900	1.84E-2	9.73E+8
Cp3	X4	R17	1164.45405	-0.0986	9.95E-3	1.05E+9
Cp3	X5	R10	1165.27667	-0.0734	6.27E-3	1.05E+9
Cp3	X3	P20	1167.52019	-0.1132	2.82E-3	9.58E+8
Cp3	X4	P15	1168.53114	-0.0980	1.38E-2	1.07E+9
Cp3	X5	R11	1169.65070	-0.0805	4.12E-3	1.08E+9
Cp3	X4	R18	1170.40011	-0.1032	1.36E-2	9.58E+8
Cp3	X4	P16	1175.32657	-0.1022	1.81E-2	1.01E+9
Cp3	X5	R13	1178.44524	-0.0885	4.76E-3	1.07E+9
Cp3	X4	P17	1181.58080	-0.1075	1.32E-2	1.06E+9
Cp3	X6	R1	1187.73403	-0.0650	4.36E-2	1.09E+9
Cp3	X6	R2	1187.90890	-0.0686	3.25E-2	1.11E+9
Cp3	X5	R15	1188.19432	-0.0969	4.37E-3	1.06E+9
Cp3	X6	R3	1188.51638	-0.0701	2.64E-2	1.11E+9
Cp3	X4	P18	1188.60744	-0.1116	1.72E-2	9.82E+8
Cp3	X6	R4	1189.56719	-0.0714	2.21E-2	1.11E+9
Cp3	X6	R5	1191.07348	-0.0728	1.81E-2	1.10E+9
Cp3	X6	P2	1191.84246	-0.0638	1.33E-2	1.05E+9
Cp3	X6	R6	1193.17398	-0.0710	1.00E-2	1.05E+9
Cp3	X6	P3	1193.62784	-0.0703	8.73E-3	1.09E+9
Cp3	X5	P13	1194.21279	-0.0984	1.21E-3	1.08E+9
Cp3	X6	R7	1194.74317	-0.0738	2.13E-2	1.08E+9
Cp3	X4	P19	1195.02071	-0.1164	1.35E-2	1.05E+9
Cp3	X6	P4	1196.09083	-0.0758	1.47E-2	1.11E+9
Cp3	X6	R8	1197.54758	-0.0794	1.77E-2	1.09E+9
Cp3	X5	R17	1198.58004	-0.1051	3.47E-3	1.05E+9
Cp3	X6	P5	1198.91891	-0.0791	1.89E-2	1.11E+9
Cp3	X6	R9	1200.66612	-0.0815	1.24E-2	1.07E+9
Cp3	X4	P20	1201.47113	-0.1201	6.14E-3	9.58E+8
Cp3	X6	P6	1202.10677	-0.0822	2.25E-2	1.11E+9
Cp3	X6	R10	1203.24790	-0.0821	2.16E-2	1.05E+9
Cp3	X5	P15	1205.28152	-0.1066	1.62E-3	1.07E+9
Cp3	X6	P7	1205.65281	-0.0850	2.65E-2	1.10E+9
Cp3	X6	R11	1207.04787	-0.0887	1.76E-2	1.08E+9
Cp3	X6	P8	1209.68793	-0.0845	3.12E-2	1.05E+9
Cp3	X6	R12	1211.22044	-0.0886	6.48E-3	9.73E+8
Cp3	X6	P9	1213.04355	-0.0884	1.76E-2	1.08E+9
Cp3	X6	R13	1214.44639	-0.0953	2.12E-2	1.07E+9
Cp3	X5	P17	1216.73317	-0.1143	2.41E-3	1.06E+9
Cp3	X6	P10	1217.52980	-0.0949	2.72E-2	1.09E+9
Cp3	X6	R14	1218.78013	-0.0980	1.32E-2	1.01E+9
Cp3	X6	P11	1222.19288	-0.0977	3.31E-2	1.07E+9
Cp3	X6	R15	1222.50680	-0.1020	2.46E-2	1.06E+9
Cp3	X5	P18	1222.84889	-0.1173	5.69E-3	9.82E+8
Cp3	X6	P12	1226.14378	-0.0987	1.89E-2	1.05E+9
Cp3	X6	R16	1227.02690	-0.1046	1.50E-2	9.82E+8
Cp3	X5	P19	1228.21108	-0.1209	4.56E-3	1.05E+9
Cp3	X7	R1	1228.23440	-0.0742	7.78E-2	1.09E+9
Cp3	X7	R2	1228.24407	-0.0777	6.72E-2	1.11E+9
Cp3	X7	R3	1228.62803	-0.0790	6.13E-2	1.11E+9
Cp3	X7	R0	1228.91191	-0.0697	9.69E-2	1.05E+9
Cp3	X7	R4	1229.39780	-0.0801	5.76E-2	1.11E+9
Cp3	X7	R5	1230.56625	-0.0811	5.42E-2	1.10E+9
Cp3	X6	R17	1230.84924	-0.1079	2.85E-2	1.05E+9
Cp3	X6	P13	1231.19889	-0.1056	3.20E-2	1.08E+9
Cp3	X7	R6	1232.28099	-0.0789	4.31E-2	1.05E+9
Cp3	X7	R7	1233.34153	-0.0812	4.97E-2	1.08E+9
Cp3	X7	P3	1234.09112	-0.0792	1.70E-2	1.09E+9
Cp3	X6	R18	1234.65633	-0.1102	3.06E-2	9.58E+8
Cp3	X7	R8	1235.63053	-0.0864	5.34E-2	1.09E+9
Cp3	X7	P4	1236.36690	-0.0846	2.24E-2	1.11E+9
Cp3	X6	P14	1236.47859	-0.1055	3.32E-2	9.73E+8
Cp3	X7	R9	1238.16436	-0.0879	5.08E-2	1.07E+9
Cp3	X7	P5	1238.94240	-0.0877	2.48E-2	1.11E+9
Cp3	X7	R10	1240.03751	-0.0878	4.32E-2	1.05E+9
Cp3	X6	P15	1240.60265	-0.1120	3.40E-2	1.07E+9
Cp3	X7	P6	1241.81128	-0.0904	2.59E-2	1.11E+9
Cp3	X7	R11	1243.11251	-0.0938	5.30E-2	1.08E+9
Cp3	X7	P7	1244.97091	-0.0929	2.56E-2	1.10E+9
Cp3	X6	P16	1245.70859	-0.1142	3.76E-2	1.01E+9
Cp3	X7	R12	1246.48628	-0.0928	4.43E-2	9.73E+8
Cp3	X7	P8	1248.55947	-0.0918	1.94E-2	1.05E+9
Cp3	X7	R13	1248.75872	-0.0987	5.06E-2	1.07E+9
Cp3	X6	P17	1250.00080	-0.1175	4.00E-2	1.06E+9
Cp3	X7	P9	1251.33123	-0.0951	2.84E-2	1.08E+9
Cp3	X7	R14	1252.09862	-0.1003	5.29E-2	1.01E+9
Cp3	X7	R15	1254.68634	-0.1032	4.92E-2	1.06E+9
Cp3	X6	P18	1254.93506	-0.1191	3.83E-2	9.82E+8
Cp3	X7	P10	1255.21161	-0.1011	2.83E-2	1.09E+9
Cp3	X7	R16	1257.98833	-0.1044	5.24E-2	9.82E+8
Cp3	X6	P19	1258.94094	-0.1211	4.88E-2	1.05E+9
Cp3	X7	P11	1259.18208	-0.1032	2.29E-2	1.07E+9
Cp3	X7	R17	1260.42174	-0.1063	4.99E-2	1.05E+9
Cp3	X7	P12	1262.29695	-0.1033	3.28E-2	1.05E+9
Cp3	X7	R18	1262.68632	-0.1067	2.82E-2	9.58E+8
Cp3	X6	P20	1262.71584	-0.1215	4.43E-2	9.58E+8
Cp3	X7	P13	1266.47814	-0.1093	2.95E-2	1.08E+9
Cp3	X8	R3	1267.66571	-0.0848	1.81E-2	1.11E+9
Cp3	X8	R1	1267.73819	-0.0802	1.57E-2	1.09E+9
Cp3	X8	R4	1268.09259	-0.0856	1.87E-2	1.11E+9
Cp3	X8	R5	1268.84565	-0.0862	1.98E-2	1.10E+9
Cp3	X8	R6	1270.08098	-0.0834	2.22E-2	1.05E+9
Cp3	X8	R7	1270.52293	-0.0853	9.74E-3	1.08E+9
Cp3	X7	P14	1270.78539	-0.1081	1.26E-2	9.73E+8
Cp3	X8	R8	1272.16907	-0.0899	1.46E-2	1.09E+9
Cp3	X8	P3	1273.48229	-0.0851	1.10E-2	1.09E+9
Cp3	X7	P15	1273.75481	-0.1135	3.24E-2	1.07E+9
Cp3	X8	R9	1273.97246	-0.0908	1.67E-2	1.07E+9
Cp3	X8	R10	1274.97283	-0.0898	7.81E-3	1.05E+9
Cp3	X8	R11	1277.13633	-0.0950	1.23E-2	1.08E+9
Cp3	X7	P16	1277.63225	-0.1144	1.98E-2	1.01E+9
Cp3	X8	P5	1277.75291	-0.0931	9.93E-3	1.11E+9
Cp3	X8	R12	1279.50075	-0.0930	1.11E-2	9.73E+8
Cp3	X8	P6	1280.20731	-0.0954	9.20E-3	1.11E+9
Cp3	X7	P17	1280.51214	-0.1160	3.10E-2	1.06E+9
Cp3	X8	R13	1280.58518	-0.0978	9.87E-3	1.07E+9
Cp3	X8	R14	1282.66328	-0.0981	8.20E-3	1.01E+9
Cp3	X8	P7	1282.86756	-0.0973	7.94E-3	1.10E+9
Cp3	X8	R15	1283.80915	-0.0995	8.05E-3	1.06E+9
Cp3	X7	P18	1283.90417	-0.1157	1.67E-2	9.82E+8
Cp3	X7	P19	1286.13349	-0.1154	2.41E-2	1.05E+9
Cp3	X8	R17	1286.17365	-0.0986	5.08E-3	1.05E+9
Cp3	X7	P20	1287.88696	-0.1129	1.77E-2	9.58E+8
Cp3	X8	P9	1287.91621	-0.0982	1.07E-2	1.08E+9
Cp3	X8	P10	1291.01950	-0.1035	8.70E-3	1.09E+9
Cp3	X8	P11	1294.10359	-0.1047	6.66E-3	1.07E+9
Cp3	X8	P12	1296.16564	-0.1037	6.27E-3	1.05E+9
Cp3	X8	P13	1299.22605	-0.1087	5.86E-3	1.08E+9
Cp3	X8	P15	1303.78016	-0.1100	2.77E-3	1.07E+9
