C+	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cp1	X2	P16	1145.23156	-0.0926	3.29E-3	1.10E+9
Cp1	X3	P10	1149.84626	-0.0736	3.20E-2	1.09E+9
Cp1	X3	R13	1150.00497	-0.0811	1.18E-2	1.10E+9
Cp1	X1	R24	1150.43057	-0.1076	1.51E-2	1.03E+9
Cp1	X2	P17	1152.63542	-0.0978	2.98E-3	1.09E+9
Cp1	X0	P26	1153.10226	-0.1135	3.03E-2	1.03E+9
Cp1	X1	P22	1153.49266	-0.1080	1.71E-2	1.06E+9
Cp1	X3	P11	1154.91469	-0.0838	2.68E-2	1.13E+9
Cp1	X3	R14	1155.24002	-0.0853	1.63E-2	1.10E+9
Cp1	X4	R1	1159.70058	-0.0671	6.60E-2	1.16E+9
Cp1	X4	R2	1159.91236	-0.0671	5.06E-2	1.16E+9
Cp1	X2	P18	1159.98267	-0.1024	3.40E-3	1.09E+9
Cp1	X4	R0	1159.99587	-0.0674	1.34E-1	1.16E+9
Cp1	X4	R3	1160.65405	-0.0668	3.93E-2	1.15E+9
Cp1	X3	P12	1160.79944	-0.0889	3.22E-2	1.12E+9
Cp1	X3	R15	1160.98692	-0.0899	1.29E-2	1.09E+9
Cp1	X4	R4	1161.39341	-0.0543	5.01E-2	1.12E+9
Cp1	X1	P23	1162.04977	-0.1124	1.54E-2	1.05E+9
Cp1	X2	R21	1162.33631	-0.1047	9.62E-4	1.05E+9
Cp1	X4	R5	1163.31747	-0.0694	4.77E-2	1.15E+9
Cp1	X4	P2	1163.84864	-0.0709	1.37E-2	1.16E+9
Cp1	X4	R6	1165.47800	-0.0722	4.28E-2	1.15E+9
Cp1	X4	P3	1166.08997	-0.0729	1.98E-2	1.16E+9
Cp1	X3	R16	1166.73973	-0.0940	1.71E-2	1.09E+9
Cp1	X3	P13	1167.19351	-0.0875	3.57E-2	1.05E+9
Cp1	X2	P19	1167.64126	-0.1071	3.43E-3	1.08E+9
Cp1	X4	R7	1168.07317	-0.0745	3.80E-2	1.14E+9
Cp1	X4	P4	1168.79162	-0.0751	2.38E-2	1.16E+9
Cp1	X1	P24	1170.82136	-0.1188	2.07E-2	9.37E+8
Cp1	X4	R8	1171.33072	-0.0706	1.71E-2	1.09E+9
Cp1	X4	P5	1171.96011	-0.0769	2.77E-2	1.15E+9
Cp1	X3	R17	1172.86828	-0.0985	1.31E-2	1.08E+9
Cp1	X3	P14	1172.99799	-0.0977	3.08E-2	1.11E+9
Cp1	X4	R9	1174.20692	-0.0796	4.39E-2	1.13E+9
Cp1	X4	P6	1175.03595	-0.0662	7.45E-3	1.12E+9
Cp1	X2	P20	1175.23805	-0.1114	3.67E-3	1.07E+9
Cp1	X4	R10	1177.99715	-0.0835	3.91E-2	1.12E+9
Cp1	X3	R18	1178.99216	-0.1026	1.71E-2	1.07E+9
Cp1	X4	P7	1179.22004	-0.0831	2.31E-2	1.15E+9
Cp1	X1	P25	1179.37475	-0.1204	1.72E-2	1.04E+9
Cp1	X3	P15	1179.54761	-0.1020	3.73E-2	1.10E+9
Cp1	X4	R11	1182.38160	-0.0809	1.68E-2	1.05E+9
Cp1	X2	P21	1183.12028	-0.1157	3.82E-3	9.99E+8
Cp1	X4	P8	1183.53175	-0.0875	2.67E-2	1.15E+9
Cp1	X3	R19	1185.45750	-0.1067	7.04E-3	9.99E+8
Cp1	X3	P16	1185.96630	-0.1062	3.00E-2	1.10E+9
Cp1	X4	R12	1186.23385	-0.0903	4.23E-2	1.11E+9
Cp1	X1	P26	1188.03039	-0.1239	1.61E-2	1.03E+9
Cp1	X4	P9	1188.16486	-0.0911	2.90E-2	1.14E+9
Cp1	X2	P22	1190.73883	-0.1194	4.32E-3	1.06E+9
Cp1	X4	R13	1190.92186	-0.0938	3.69E-2	1.10E+9
Cp1	X3	R20	1191.70893	-0.1103	1.72E-2	1.06E+9
Cp1	X3	P17	1192.78400	-0.1108	3.79E-2	1.09E+9
Cp1	X4	P10	1193.34891	-0.0882	2.74E-2	1.09E+9
Cp1	X4	R14	1195.54812	-0.0974	4.30E-2	1.10E+9
Cp1	X4	P11	1197.99468	-0.0982	2.72E-2	1.13E+9
Cp1	X3	R21	1198.12576	-0.1138	2.02E-2	1.05E+9
Cp1	X2	P23	1198.47514	-0.1229	4.40E-3	1.05E+9
Cp1	X3	P18	1199.46797	-0.1146	3.23E-2	1.09E+9
Cp1	X4	R15	1200.64989	-0.1014	4.02E-2	1.09E+9
Cp1	X4	P12	1203.44416	-0.1028	2.99E-2	1.12E+9
Cp1	X3	R22	1204.72791	-0.1192	6.90E-3	9.37E+8
Cp1	X5	R1	1204.91721	-0.0823	3.64E-2	1.16E+9
Cp1	X5	R2	1204.98173	-0.0822	3.06E-2	1.16E+9
Cp1	X5	R0	1205.31826	-0.0827	6.94E-2	1.16E+9
Cp1	X5	R3	1205.53678	-0.0817	2.91E-2	1.15E+9
Cp1	X4	R16	1205.68360	-0.1048	4.27E-2	1.09E+9
Cp1	X5	R4	1206.00869	-0.0685	1.04E-2	1.12E+9
Cp1	X2	P24	1206.35410	-0.1282	6.06E-3	9.37E+8
Cp1	X3	P19	1206.40915	-0.1185	4.04E-2	1.08E+9
Cp1	X5	R5	1207.67797	-0.0837	2.31E-2	1.15E+9
Cp1	X4	P13	1209.36511	-0.1006	2.26E-2	1.05E+9
Cp1	X5	R6	1209.52228	-0.0863	2.50E-2	1.15E+9
Cp1	X4	R17	1211.04187	-0.1084	4.16E-2	1.08E+9
