C-	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cm1	X4	Q7	1174.35048	-0.0806	6.98E-2	1.14E+9
Cm1	X3	Q16	1177.27311	-0.1013	5.49E-2	1.09E+9
Cm1	X4	Q8	1178.00277	-0.0838	7.04E-2	1.14E+9
Cm1	X4	Q9	1181.99895	-0.0872	7.11E-2	1.13E+9
Cm1	X3	Q17	1183.61594	-0.1053	5.64E-2	1.09E+9
Cm1	X4	Q10	1186.31888	-0.0907	7.19E-2	1.13E+9
Cm1	X3	Q18	1190.06526	-0.1092	5.80E-2	1.08E+9
Cm1	X4	Q11	1190.90940	-0.0943	7.28E-2	1.12E+9
Cm1	X4	Q12	1195.75103	-0.0980	7.37E-2	1.12E+9
Cm1	X3	Q19	1196.60055	-0.1129	6.00E-2	1.07E+9
Cm1	X4	Q13	1200.81112	-0.1017	7.47E-2	1.11E+9
Cm1	X3	Q20	1203.18893	-0.1163	6.22E-2	1.07E+9
Cm1	X4	Q14	1206.05204	-0.1054	7.57E-2	1.11E+9
Cm1	X5	Q1	1206.64183	-0.0839	3.32E-2	1.16E+9
Cm1	X5	Q2	1207.56584	-0.0848	3.32E-2	1.16E+9
Cm1	X5	Q3	1208.93787	-0.0861	3.32E-2	1.16E+9
Cm1	X3	Q21	1209.78214	-0.1195	6.49E-2	1.06E+9
Cm1	X5	Q4	1210.74149	-0.0877	3.32E-2	1.15E+9
Cm1	X4	Q15	1211.43494	-0.1089	7.69E-2	1.10E+9
Cm1	X5	Q5	1212.95573	-0.0897	3.32E-2	1.15E+9
Cm1	X5	Q6	1215.55632	-0.0921	3.32E-2	1.15E+9
Cm1	X3	Q22	1216.34741	-0.1222	6.81E-2	1.05E+9
Cm1	X4	Q16	1216.93528	-0.1123	7.81E-2	1.09E+9
Cm1	X5	Q7	1218.51250	-0.0946	3.32E-2	1.14E+9
Cm1	X5	Q8	1221.79866	-0.0974	3.32E-2	1.14E+9
Cm1	X4	Q17	1222.50395	-0.1156	7.93E-2	1.09E+9
Cm1	X5	Q9	1225.37433	-0.1004	3.31E-2	1.13E+9
Cm1	X4	Q18	1228.10398	-0.1185	8.06E-2	1.08E+9
Cm1	X5	Q10	1229.21758	-0.1034	3.31E-2	1.13E+9
Cm1	X5	Q11	1233.27079	-0.1065	3.30E-2	1.12E+9
Cm1	X4	Q19	1233.70901	-0.1212	8.19E-2	1.07E+9
Cm1	X5	Q12	1237.51228	-0.1095	3.28E-2	1.12E+9
Cm1	X4	Q20	1239.27808	-0.1235	8.33E-2	1.07E+9
Cm1	X5	Q13	1241.90582	-0.1125	3.26E-2	1.11E+9
Cm1	X4	Q21	1244.75213	-0.1254	8.45E-2	1.06E+9
Cm1	X5	Q14	1246.40943	-0.1154	3.23E-2	1.11E+9
Cm1	X4	Q22	1250.08608	-0.1267	8.57E-2	1.05E+9
Cm1	X5	Q15	1250.97919	-0.1182	3.19E-2	1.10E+9
Cm1	X6	Q1	1252.08910	-0.0972	6.48E-3	1.16E+9
Cm1	X6	Q3	1254.11206	-0.0991	6.39E-3	1.16E+9
Cm1	X5	Q16	1255.58567	-0.1206	3.13E-2	1.09E+9
Cm1	X6	Q5	1257.62990	-0.1023	6.22E-3	1.15E+9
Cm1	X6	Q6	1259.89129	-0.1043	6.11E-3	1.15E+9
Cm1	X5	Q17	1260.17224	-0.1228	3.06E-2	1.09E+9
Cm1	X6	Q7	1262.44582	-0.1064	5.97E-3	1.14E+9
Cm1	X5	Q18	1264.69391	-0.1247	2.96E-2	1.08E+9
Cm1	X6	Q8	1265.26572	-0.1088	5.81E-3	1.14E+9
Cm1	X6	Q9	1268.30716	-0.1112	5.63E-3	1.13E+9
Cm1	X5	Q19	1269.11505	-0.1261	2.84E-2	1.07E+9
Cm1	X6	Q10	1271.54592	-0.1136	5.41E-3	1.13E+9
Cm1	X5	Q20	1273.38197	-0.1269	2.68E-2	1.07E+9
Cm1	X6	Q11	1274.91927	-0.1160	5.17E-3	1.12E+9
Cm1	X5	Q21	1277.41818	-0.1270	2.48E-2	1.06E+9
Cm1	X6	Q12	1278.40247	-0.1183	4.89E-3	1.12E+9
Cm1	X5	Q22	1281.15645	-0.1263	2.23E-2	1.05E+9
Cm1	X6	Q13	1281.95466	-0.1205	4.57E-3	1.11E+9
Cm1	X6	Q14	1285.52804	-0.1224	4.21E-3	1.11E+9
Cm1	X6	Q15	1289.07178	-0.1241	3.81E-3	1.10E+9
Cm1	X6	Q17	1295.89255	-0.1264	2.85E-3	1.09E+9
Cm1	X6	Q19	1301.95320	-0.1264	1.75E-3	1.07E+9
Cm2	X3	Q14	1140.10885	-0.0848	1.69E-2	1.09E+9
Cm2	X4	Q6	1142.82605	-0.0660	8.86E-3	1.13E+9
Cm2	X2	Q20	1144.24751	-0.1020	2.32E-2	1.05E+9
Cm2	X4	Q7	1146.21219	-0.0692	9.07E-3	1.12E+9
Cm2	X3	Q15	1146.38525	-0.0895	1.70E-2	1.08E+9
Cm2	X4	Q8	1149.99407	-0.0726	9.31E-3	1.12E+9
Cm2	X2	Q21	1152.09211	-0.1068	2.34E-2	1.05E+9
Cm2	X3	Q16	1152.87007	-0.0942	1.71E-2	1.08E+9
Cm2	X4	Q9	1154.15173	-0.0763	9.60E-3	1.12E+9
Cm2	X4	Q10	1158.64673	-0.0802	9.93E-3	1.11E+9
Cm2	X3	Q17	1159.52043	-0.0989	1.70E-2	1.07E+9
Cm2	X2	Q22	1160.03483	-0.1115	2.36E-2	1.04E+9
Cm2	X4	Q11	1163.44236	-0.0843	1.03E-2	1.11E+9
Cm2	X3	Q18	1166.31783	-0.1034	1.70E-2	1.07E+9
Cm2	X4	Q12	1168.51430	-0.0884	1.08E-2	1.10E+9
Cm2	X3	Q19	1173.22017	-0.1078	1.68E-2	1.06E+9
Cm2	X4	Q13	1173.82781	-0.0926	1.13E-2	1.10E+9
Cm2	X5	Q1	1175.83224	-0.0706	6.66E-2	1.14E+9
Cm2	X5	Q2	1176.79460	-0.0715	6.68E-2	1.14E+9
Cm2	X5	Q3	1178.22493	-0.0729	6.72E-2	1.14E+9
Cm2	X4	Q14	1179.35003	-0.0967	1.19E-2	1.09E+9
