B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B1	X2	R23	1420.80541	-0.1871	3.61E-2	6.44E+8
B1	X4	R16	1423.19919	-0.1650	3.41E-2	8.04E+8
B1	X1	P25	1423.93339	-0.1963	1.55E-2	6.44E+8
B1	X2	P22	1423.96458	-0.1909	4.18E-2	7.03E+8
B1	X3	R20	1425.35214	-0.1800	5.93E-2	7.03E+8
B1	X5	P10	1427.19495	-0.1473	5.95E-3	1.12E+9
B1	X6	R0	1427.49172	-0.1194	9.55E-2	1.74E+9
B1	X6	R1	1427.70708	-0.1196	6.23E-2	1.63E+9
B1	X4	P15	1427.87686	-0.1684	1.13E-2	9.71E+8
B1	X6	R2	1428.88548	-0.1206	5.48E-2	1.53E+9
B1	X3	P19	1429.50159	-0.1837	4.64E-2	7.76E+8
B1	X6	P1	1429.96052	-0.1213	3.30E-2	1.86E+9
B1	X6	R3	1431.01432	-0.1224	5.08E-2	1.45E+9
B1	X6	P2	1432.62949	-0.1234	4.03E-2	1.74E+9
B1	X6	R4	1434.07340	-0.1248	4.80E-2	1.37E+9
B1	X4	R17	1436.01075	-0.1720	3.54E-2	7.76E+8
B1	X6	P3	1436.23163	-0.1262	4.37E-2	1.63E+9
B1	X2	R24	1437.11644	-0.1931	3.77E-2	6.61E+8
B1	X5	P11	1437.31241	-0.1541	5.78E-3	1.07E+9
B1	X6	R5	1438.03543	-0.1280	4.57E-2	1.30E+9
B1	X3	R21	1440.19823	-0.1866	6.06E-2	6.80E+8
B1	X2	P23	1440.70308	-0.1976	4.33E-2	6.80E+8
B1	X6	P4	1440.74020	-0.1297	4.59E-2	1.53E+9
B1	X4	P16	1441.08907	-0.1758	1.19E-2	8.67E+8
B1	X1	P26	1441.99300	-0.2023	1.65E-2	6.61E+8
B1	X6	R6	1442.86658	-0.1317	4.37E-2	1.24E+9
B1	X3	P20	1444.76766	-0.1909	4.77E-2	7.49E+8
B1	X6	P5	1446.12183	-0.1338	4.74E-2	1.45E+9
B1	X5	P12	1448.02559	-0.1610	5.65E-3	1.02E+9
B1	X6	R7	1448.52708	-0.1360	4.18E-2	1.18E+9
B1	X4	R18	1449.18034	-0.1788	3.62E-2	7.49E+8
B2	X1	R5	1140.11665	-0.0270	2.39E-2	1.30E+9
B2	X0	P11	1143.11809	-0.0501	4.95E-3	1.07E+9
B2	X0	R12	1144.52138	-0.0516	3.93E-3	9.39E+8
B2	X1	P5	1144.98082	-0.0309	1.96E-2	1.45E+9
B2	X1	R6	1145.45588	-0.0318	2.34E-2	1.23E+9
B2	X1	P6	1151.17258	-0.0363	1.99E-2	1.37E+9
B2	X1	R7	1151.70151	-0.0372	2.30E-2	1.17E+9
B2	X0	P12	1154.11402	-0.0585	4.86E-3	1.02E+9
B2	X0	R13	1155.57403	-0.0599	3.70E-3	9.27E+8
B2	X1	P7	1158.25573	-0.0424	2.01E-2	1.30E+9
B2	X1	R8	1158.83305	-0.0433	2.26E-2	1.12E+9
B2	X0	P13	1165.83963	-0.0672	4.77E-3	9.83E+8
B2	X1	P8	1166.20399	-0.0490	2.03E-2	1.23E+9
B2	X1	R9	1166.81147	-0.0499	2.22E-2	1.07E+9
B2	X0	R14	1167.34882	-0.0686	3.48E-3	8.66E+8
B2	X1	P9	1174.98958	-0.0561	2.04E-2	1.17E+9
B2	X1	R10	1175.62116	-0.0570	2.18E-2	1.02E+9
B2	X0	P14	1178.26770	-0.0761	4.67E-3	9.39E+8
B2	X0	R15	1179.80999	-0.0774	3.27E-3	8.35E+8
B2	X2	R0	1179.91935	-0.0366	5.05E-2	1.73E+9
B2	X2	R1	1180.42860	-0.0371	3.45E-2	1.63E+9
B2	X2	P1	1181.90029	-0.0384	1.62E-2	1.86E+9
B2	X2	R2	1181.93446	-0.0386	3.19E-2	1.53E+9
B2	X2	P2	1184.38230	-0.0405	1.92E-2	1.73E+9
B2	X2	R3	1184.42817	-0.0408	3.13E-2	1.45E+9
B2	X1	P10	1184.58777	-0.0637	2.06E-2	1.12E+9
B2	X1	R11	1185.22860	-0.0646	2.13E-2	9.83E+8
B2	X2	P3	1187.84476	-0.0436	2.04E-2	1.63E+9
B2	X2	R4	1187.89620	-0.0440	3.14E-2	1.37E+9
B2	X0	P15	1191.36900	-0.0852	4.57E-3	9.27E+8
B2	X2	P4	1192.27136	-0.0475	2.11E-2	1.53E+9
B2	X2	R5	1192.32076	-0.0479	3.19E-2	1.30E+9
B2	X0	R16	1192.93363	-0.0864	3.08E-3	8.03E+8
B2	X1	P11	1194.95562	-0.0717	2.08E-2	1.07E+9
B2	X1	R12	1195.60362	-0.0726	2.08E-2	9.39E+8
B2	X2	P5	1197.64162	-0.0521	2.17E-2	1.45E+9
B2	X2	R6	1197.68015	-0.0525	3.25E-2	1.23E+9
B2	X2	P6	1203.93144	-0.0574	2.23E-2	1.37E+9
B2	X2	R7	1203.94952	-0.0579	3.33E-2	1.17E+9
B2	X0	P16	1205.12099	-0.0943	4.47E-3	8.66E+8
B2	X1	P12	1206.07558	-0.0800	2.09E-2	1.02E+9
B2	X0	R17	1206.68750	-0.0955	2.90E-3	7.75E+8
B2	X1	R13	1206.71342	-0.0808	2.03E-2	9.27E+8
B2	X2	R8	1211.10572	-0.0638	3.41E-2	1.12E+9
B2	X2	P7	1211.11375	-0.0634	2.29E-2	1.30E+9
B2	X1	P13	1217.91213	-0.0885	2.10E-2	9.83E+8
B2	X1	R14	1218.53158	-0.0893	1.98E-2	8.66E+8
B2	X2	R9	1219.10523	-0.0703	3.49E-2	1.07E+9
B2	X2	P8	1219.15894	-0.0699	2.35E-2	1.23E+9
B2	X0	P17	1219.48725	-0.1036	4.38E-3	8.35E+8
B2	X0	R18	1221.04531	-0.1045	2.75E-3	7.49E+8
B2	X2	R10	1227.92994	-0.0773	3.58E-2	1.02E+9
B2	X2	P9	1228.03563	-0.0770	2.43E-2	1.17E+9
B2	X1	P14	1230.43382	-0.0973	2.12E-2	9.39E+8
B2	X1	R15	1231.01716	-0.0979	1.93E-2	8.35E+8
B2	X3	R1	1234.18242	-0.0573	6.40E-3	1.63E+9
B2	X0	P18	1234.44380	-0.1128	4.29E-3	8.03E+8
B2	X3	R2	1235.65522	-0.0587	6.50E-3	1.53E+9
B2	X3	P1	1235.79129	-0.0586	2.40E-3	1.86E+9
B2	X0	R19	1235.97511	-0.1136	2.62E-3	7.24E+8
B2	X2	R11	1237.54191	-0.0847	3.66E-2	9.83E+8
B2	X2	P10	1237.71555	-0.0844	2.51E-2	1.12E+9
B2	X3	R3	1238.12104	-0.0609	7.04E-3	1.45E+9
B2	X3	R4	1241.56479	-0.0639	7.82E-3	1.37E+9
B2	X3	P3	1241.85490	-0.0638	2.81E-3	1.63E+9
B2	X1	P15	1243.60668	-0.1062	2.13E-2	9.27E+8
B2	X1	R16	1244.14173	-0.1066	1.89E-2	8.03E+8
B2	X3	R5	1245.96654	-0.0677	8.79E-3	1.30E+9
B2	X3	P4	1246.34500	-0.0677	2.88E-3	1.53E+9
B2	X2	R12	1247.90671	-0.0924	3.74E-2	9.39E+8
B2	X2	P11	1248.15038	-0.0922	2.60E-2	1.07E+9
B2	X0	P19	1249.95753	-0.1220	4.22E-3	7.75E+8
B2	X3	R6	1251.30196	-0.0723	9.93E-3	1.23E+9
B2	X0	R20	1251.44304	-0.1225	2.51E-3	7.07E+8
B2	X3	P5	1251.77813	-0.0722	2.98E-3	1.45E+9
B2	X1	P16	1257.40368	-0.1151	2.14E-2	8.66E+8
B2	X3	R7	1257.54313	-0.0775	1.12E-2	1.17E+9
B2	X1	R17	1257.86745	-0.1154	1.85E-2	7.75E+8
B2	X3	P6	1258.12713	-0.0775	3.14E-3	1.37E+9
B2	X2	R13	1258.98666	-0.1004	3.81E-2	9.27E+8
B2	X2	P12	1259.31929	-0.1004	2.70E-2	1.02E+9
B2	X3	R8	1264.66377	-0.0832	1.27E-2	1.12E+9
B2	X3	P7	1265.36145	-0.0833	3.36E-3	1.30E+9
B2	X0	P20	1266.00128	-0.1310	4.16E-3	7.49E+8
B2	X0	R21	1267.40627	-0.1313	2.43E-3	6.80E+8
B2	X2	R14	1270.75074	-0.1086	3.87E-2	8.66E+8
B2	X2	P13	1271.18151	-0.1087	2.80E-2	9.83E+8
B2	X1	P17	1271.78225	-0.1241	2.16E-2	8.35E+8
B2	X1	R18	1272.16241	-0.1242	1.81E-2	7.49E+8
B2	X3	R9	1272.61520	-0.0895	1.43E-2	1.07E+9
B2	X3	P8	1273.44759	-0.0897	3.66E-3	1.23E+9
B2	X3	R10	1281.37618	-0.0963	1.60E-2	1.02E+9
B2	X3	P9	1282.34989	-0.0966	4.04E-3	1.17E+9
B2	X0	P21	1282.54131	-0.1399	4.13E-3	7.24E+8
B2	X2	R15	1283.15170	-0.1169	3.94E-2	8.35E+8
B2	X2	P14	1283.70038	-0.1172	2.92E-2	9.39E+8
B2	X0	R22	1283.84508	-0.1399	2.37E-3	7.46E+8
B2	X1	P18	1286.71289	-0.1330	2.18E-2	8.03E+8
B2	X1	R19	1286.98807	-0.1329	1.78E-2	7.24E+8
B2	X4	R1	1289.27490	-0.0763	9.59E-3	1.63E+9
B2	X4	R2	1290.69434	-0.0776	7.87E-3	1.53E+9
B2	X3	R11	1290.90361	-0.1034	1.78E-2	9.83E+8
B2	X4	P1	1291.03072	-0.0777	5.78E-3	1.86E+9
B2	X3	P10	1292.03588	-0.1039	4.50E-3	1.12E+9
B2	X4	R3	1293.10331	-0.0797	6.70E-3	1.45E+9
B2	X4	P2	1293.61395	-0.0799	7.20E-3	1.73E+9
B2	X2	R16	1296.15546	-0.1253	4.00E-2	8.03E+8
B2	X4	R4	1296.48491	-0.0826	5.70E-3	1.37E+9
B2	X2	P15	1296.83608	-0.1258	3.03E-2	9.27E+8
B2	X4	P3	1297.17671	-0.0829	7.92E-3	1.63E+9
B2	X0	P22	1299.54114	-0.1486	4.13E-3	7.07E+8
B2	X0	R23	1300.71176	-0.1482	2.35E-3	6.45E+8
B2	X4	R5	1300.81679	-0.0863	4.77E-3	1.30E+9
B2	X3	R12	1301.15781	-0.1109	1.96E-2	9.39E+8
B2	X4	P4	1301.69828	-0.0866	8.34E-3	1.53E+9
B2	X1	P19	1302.15560	-0.1418	2.20E-2	7.75E+8
B2	X1	R20	1302.30313	-0.1414	1.77E-2	7.07E+8
B2	X3	P11	1302.45092	-0.1115	5.04E-3	1.07E+9
B2	X4	R6	1306.07156	-0.0907	3.91E-3	1.23E+9
B2	X4	P5	1307.15262	-0.0911	8.57E-3	1.45E+9
B2	X2	R17	1309.71712	-0.1337	4.05E-2	7.75E+8
B2	X2	P16	1310.55589	-0.1344	3.14E-2	8.66E+8
B2	X3	R13	1312.09524	-0.1185	2.15E-2	9.27E+8
B2	X4	R7	1312.21769	-0.0957	3.09E-3	1.17E+9
B2	X4	P6	1313.50905	-0.0962	8.66E-3	1.37E+9
B2	X3	P12	1313.57002	-0.1193	5.66E-3	1.02E+9
B2	X0	P23	1316.95387	-0.1570	4.16E-3	6.80E+8
B2	X0	R24	1317.96544	-0.1562	2.35E-3	6.51E+8
B2	X1	R21	1318.05587	-0.1497	1.76E-2	6.80E+8
B2	X1	P20	1318.07620	-0.1505	2.23E-2	7.49E+8
B2	X4	P7	1320.73294	-0.1019	8.63E-3	1.30E+9
B2	X3	R14	1323.67909	-0.1263	2.33E-2	8.66E+8
B2	X2	R18	1323.79761	-0.1420	4.11E-2	7.49E+8
B2	X2	P17	1324.80959	-0.1429	3.26E-2	8.35E+8
B2	X3	P13	1325.34605	-0.1273	6.35E-3	9.83E+8
B2	X4	R9	1327.03949	-0.1072	1.68E-3	1.07E+9
B2	X4	P8	1328.78618	-0.1081	8.51E-3	1.23E+9
B2	X1	R22	1334.21873	-0.1577	1.77E-2	7.46E+8
B2	X1	P21	1334.43259	-0.1589	2.27E-2	7.24E+8
B2	X0	P24	1334.75665	-0.1650	4.23E-3	7.46E+8
B2	X3	R15	1335.85439	-0.1342	2.51E-2	8.35E+8
B2	X4	P9	1337.62806	-0.1147	8.31E-3	1.17E+9
B2	X3	P14	1337.73590	-0.1354	7.08E-3	9.39E+8
B2	X2	R19	1338.34989	-0.1502	4.17E-2	7.24E+8
B2	X2	P18	1339.56054	-0.1514	3.37E-2	8.03E+8
B2	X5	R0	1345.05090	-0.0934	6.93E-2	1.73E+9
B2	X5	R1	1345.40472	-0.0938	4.61E-2	1.63E+9
B2	X5	R2	1346.74553	-0.0950	4.14E-2	1.53E+9
B2	X4	P10	1347.22099	-0.1217	8.05E-3	1.12E+9
B2	X5	P1	1347.31686	-0.0952	2.32E-2	1.86E+9
B2	X3	R16	1348.57980	-0.1421	2.68E-2	8.03E+8
B2	X5	R3	1349.06113	-0.0970	3.93E-2	1.45E+9
B2	X5	P2	1349.92454	-0.0974	2.79E-2	1.73E+9
B2	X3	P15	1350.69246	-0.1436	7.84E-3	9.27E+8
B2	X1	R23	1350.73280	-0.1653	1.80E-2	6.45E+8
B2	X1	P22	1351.17881	-0.1670	2.32E-2	7.07E+8
B2	X5	R4	1352.33255	-0.0997	3.79E-2	1.37E+9
B2	X0	P25	1352.89541	-0.1726	4.35E-3	6.45E+8
B2	X2	R20	1353.32304	-0.1581	4.24E-2	7.07E+8
B2	X5	P3	1353.49531	-0.1003	2.99E-2	1.63E+9
B2	X2	P19	1354.75992	-0.1597	3.49E-2	7.75E+8
B2	X5	R5	1356.53460	-0.1032	3.70E-2	1.30E+9
B2	X4	P11	1357.50290	-0.1290	7.75E-3	1.07E+9
B2	X5	P4	1358.00572	-0.1039	3.12E-2	1.53E+9
B2	X5	R6	1361.63634	-0.1073	3.61E-2	1.23E+9
B2	X3	R17	1361.80153	-0.1499	2.83E-2	7.75E+8
B2	X5	P5	1363.42626	-0.1083	3.20E-2	1.45E+9
B2	X3	P16	1364.17568	-0.1517	8.58E-3	8.66E+8
B2	X1	R24	1367.54531	-0.1725	1.84E-2	6.51E+8
B2	X5	R7	1367.60202	-0.1120	3.53E-2	1.17E+9
B2	X1	P23	1368.25658	-0.1747	2.38E-2	6.80E+8
B2	X4	P12	1368.44346	-0.1364	7.43E-3	1.02E+9
B2	X2	R21	1368.65385	-0.1657	4.32E-2	6.80E+8
B2	X5	P6	1369.72209	-0.1132	3.27E-2	1.37E+9
B2	X2	P20	1370.36427	-0.1677	3.60E-2	7.49E+8
B2	X0	P26	1371.32223	-0.1798	4.54E-3	6.51E+8
B2	X5	R8	1374.39720	-0.1173	3.45E-2	1.12E+9
B2	X3	R18	1375.47117	-0.1576	2.96E-2	7.49E+8
B2	X5	P7	1376.85376	-0.1187	3.33E-2	1.30E+9
B2	X3	P17	1378.12574	-0.1597	9.28E-3	8.35E+8
B2	X4	P13	1379.98776	-0.1440	7.12E-3	9.83E+8
B2	X5	R9	1381.96028	-0.1229	3.37E-2	1.07E+9
B2	X2	R22	1384.30384	-0.1728	4.41E-2	7.46E+8
B2	X5	P8	1384.77774	-0.1246	3.38E-2	1.23E+9
B2	X1	P24	1385.63227	-0.1819	2.46E-2	7.46E+8
B2	X2	P21	1386.32047	-0.1754	3.72E-2	7.24E+8
B2	X3	R19	1389.53055	-0.1650	3.07E-2	7.24E+8
B2	X5	R10	1390.26119	-0.1290	3.29E-2	1.02E+9
B2	X4	P14	1392.08459	-0.1516	6.85E-3	9.39E+8
B2	X3	P18	1392.49662	-0.1675	9.87E-3	8.03E+8
B2	X5	P9	1393.44722	-0.1309	3.43E-2	1.17E+9
B2	X5	R11	1399.24309	-0.1352	3.22E-2	9.83E+8
B2	X2	R23	1400.19910	-0.1795	4.52E-2	6.45E+8
B2	X6	R1	1402.15162	-0.1091	2.50E-2	1.63E+9
B2	X2	P22	1402.56987	-0.1827	3.82E-2	7.07E+8
B2	X5	P10	1402.81834	-0.1375	3.48E-2	1.12E+9
B2	X1	P25	1403.23690	-0.1886	2.56E-2	6.45E+8
B2	X6	R2	1403.38244	-0.1102	2.38E-2	1.53E+9
B2	X3	R20	1403.91603	-0.1720	3.14E-2	7.07E+8
B2	X6	P1	1404.22859	-0.1107	1.09E-2	1.86E+9
B2	X4	P15	1404.67766	-0.1592	6.65E-3	9.27E+8
B2	X6	R3	1405.55883	-0.1120	2.40E-2	1.45E+9
B2	X3	P19	1407.22797	-0.1750	1.03E-2	7.75E+8
B2	X6	R4	1408.65940	-0.1146	2.47E-2	1.37E+9
B2	X5	R12	1408.85207	-0.1417	3.15E-2	9.39E+8
B2	X6	P3	1410.37285	-0.1156	1.31E-2	1.63E+9
B2	X6	R5	1412.65565	-0.1178	2.57E-2	1.30E+9
B2	X5	P11	1412.82016	-0.1443	3.54E-2	1.07E+9
B2	X6	P4	1414.81608	-0.1191	1.32E-2	1.53E+9
B2	X2	R24	1416.27023	-0.1856	4.64E-2	6.51E+8
B2	X6	R6	1417.51247	-0.1217	2.68E-2	1.23E+9
B2	X4	P16	1417.71732	-0.1666	6.56E-3	8.66E+8
B2	X3	R21	1418.54906	-0.1786	3.18E-2	6.80E+8
B2	X5	R13	1419.02830	-0.1483	3.10E-2	9.27E+8
B2	X2	P23	1419.03883	-0.1894	3.92E-2	6.80E+8
B2	X6	P5	1420.13091	-0.1232	1.33E-2	1.45E+9
B2	X1	P26	1421.00611	-0.1946	2.69E-2	6.51E+8
B2	X3	P20	1422.26387	-0.1822	1.05E-2	7.49E+8
B2	X6	R7	1423.18906	-0.1260	2.80E-2	1.17E+9
B2	X5	P12	1423.41548	-0.1512	3.59E-2	1.02E+9
B2	X6	P6	1426.27758	-0.1279	1.34E-2	1.37E+9
B2	X6	R8	1429.64558	-0.1308	2.93E-2	1.12E+9
B2	X5	R14	1429.71821	-0.1549	3.06E-2	8.66E+8
B2	X4	P17	1431.13149	-0.1738	6.61E-3	8.35E+8
B2	X6	P7	1433.21093	-0.1330	1.34E-2	1.30E+9
B2	X3	R22	1433.37552	-0.1846	3.16E-2	7.46E+8
B2	X5	P13	1434.53971	-0.1582	3.64E-2	9.83E+8
B2	X2	P24	1435.67815	-0.1955	4.01E-2	7.46E+8
B2	X6	R9	1436.81221	-0.1360	3.05E-2	1.07E+9
B2	X3	P21	1437.53619	-0.1889	1.04E-2	7.24E+8
B2	X5	R15	1440.84504	-0.1614	3.05E-2	8.35E+8
B2	X6	P8	1440.88086	-0.1386	1.35E-2	1.23E+9
B2	X6	R10	1444.65260	-0.1415	3.16E-2	1.02E+9
B2	X4	P18	1444.86153	-0.1807	6.87E-3	8.03E+8
B2	X5	P14	1446.13135	-0.1651	3.70E-2	9.39E+8
B2	X3	R23	1448.30034	-0.1899	3.08E-2	6.45E+8
B2	X6	P9	1449.23321	-0.1444	1.36E-2	1.17E+9
B3	X0	R13	1140.66487	-0.0542	6.70E-3	9.07E+8
B3	X1	P7	1142.14278	-0.0357	1.95E-2	1.29E+9
B3	X1	R8	1143.07575	-0.0370	2.60E-2	1.12E+9
B3	X1	P8	1149.98693	-0.0423	1.99E-2	1.23E+9
B3	X0	P13	1150.34572	-0.0610	7.57E-3	1.00E+9
B3	X1	R9	1150.98654	-0.0437	2.61E-2	1.07E+9
B3	X0	R14	1152.29825	-0.0628	6.41E-3	8.64E+8
B3	X1	P9	1158.65831	-0.0494	2.02E-2	1.17E+9
B3	X1	R10	1159.71028	-0.0508	2.61E-2	1.02E+9
B3	X0	P14	1162.60566	-0.0699	7.52E-3	9.37E+8
B3	X2	R0	1162.83380	-0.0295	2.02E-2	1.73E+9
B3	X2	R1	1163.36737	-0.0301	1.43E-2	1.62E+9
B3	X0	R15	1164.60232	-0.0717	6.12E-3	8.33E+8
B3	X2	P1	1164.73804	-0.0312	6.11E-3	1.85E+9
B3	X2	R2	1164.88766	-0.0315	1.37E-2	1.53E+9
B3	X2	P2	1167.16820	-0.0333	7.09E-3	1.73E+9
B3	X2	R3	1167.38544	-0.0338	1.40E-2	1.44E+9
B3	X1	P10	1168.12727	-0.0570	2.06E-2	1.12E+9
B3	X1	R11	1169.21858	-0.0584	2.61E-2	1.00E+9
B3	X2	P3	1170.57005	-0.0364	7.43E-3	1.62E+9
B3	X2	R4	1170.84671	-0.0370	1.47E-2	1.36E+9
B3	X2	P4	1174.92727	-0.0402	7.63E-3	1.53E+9
B3	X2	R5	1175.25308	-0.0409	1.56E-2	1.29E+9
B3	X0	P15	1175.52822	-0.0789	7.46E-3	9.07E+8
B3	X0	R16	1177.55920	-0.0806	5.85E-3	8.02E+8
B3	X1	P11	1178.36350	-0.0650	2.11E-2	1.07E+9
B3	X1	R12	1179.48047	-0.0663	2.61E-2	9.37E+8
B3	X2	P5	1180.21931	-0.0448	7.82E-3	1.44E+9
B3	X2	R6	1180.58230	-0.0456	1.66E-2	1.23E+9
B3	X2	P6	1186.42193	-0.0502	8.06E-3	1.36E+9
B3	X2	R7	1186.80917	-0.0510	1.78E-2	1.17E+9
B3	X0	P16	1189.08736	-0.0881	7.40E-3	8.64E+8
B3	X1	P12	1189.33555	-0.0733	2.16E-2	1.02E+9
B3	X1	R13	1190.46475	-0.0745	2.60E-2	9.07E+8
B3	X0	R17	1191.13376	-0.0896	5.60E-3	7.74E+8
B3	X2	P7	1193.50777	-0.0561	8.37E-3	1.29E+9
B3	X2	R8	1193.90535	-0.0570	1.91E-2	1.12E+9
B3	X1	P13	1201.01326	-0.0818	2.21E-2	1.00E+9
B3	X2	P8	1201.44687	-0.0626	8.77E-3	1.23E+9
B3	X2	R9	1201.84054	-0.0635	2.05E-2	1.07E+9
B3	X1	R14	1202.14155	-0.0830	2.59E-2	8.64E+8
B3	X0	P17	1203.24654	-0.0972	7.34E-3	8.33E+8
B3	X0	R18	1205.30193	-0.0987	5.37E-3	7.51E+8
B3	X2	P9	1210.20768	-0.0697	9.27E-3	1.17E+9
B3	X2	R10	1210.58211	-0.0705	2.19E-2	1.02E+9
B3	X1	P14	1213.36429	-0.0905	2.26E-2	9.37E+8
B3	X1	R15	1214.46998	-0.0916	2.58E-2	8.33E+8
B3	X0	P18	1217.98818	-0.1064	7.29E-3	8.02E+8
B3	X3	R3	1219.51025	-0.0533	9.83E-4	1.44E+9
B3	X2	P10	1219.75665	-0.0771	9.87E-3	1.12E+9
B3	X0	R19	1220.01987	-0.1077	5.17E-3	7.23E+8
B3	X2	R11	1220.09782	-0.0779	2.34E-2	1.00E+9
B3	X3	P3	1222.98602	-0.0560	2.04E-3	1.62E+9
B3	X1	P15	1226.35637	-0.0994	2.31E-2	9.07E+8
B3	X1	R16	1227.42829	-0.1003	2.57E-2	8.02E+8
B3	X2	P11	1230.05933	-0.0849	1.06E-2	1.07E+9
B3	X2	R12	1230.35240	-0.0856	2.49E-2	9.37E+8
B3	X3	P5	1232.75766	-0.0644	2.24E-3	1.44E+9
B3	X0	P19	1233.27604	-0.1156	7.26E-3	7.74E+8
B3	X0	R20	1235.27671	-0.1166	5.01E-3	7.26E+8
B3	X3	P6	1239.01825	-0.0696	2.24E-3	1.36E+9
B3	X1	P16	1239.95874	-0.1083	2.37E-2	8.64E+8
B3	X1	R17	1240.97558	-0.1091	2.56E-2	7.74E+8
B3	X2	P12	1241.07979	-0.0930	1.14E-2	1.02E+9
B3	X2	R13	1241.31006	-0.0936	2.64E-2	9.07E+8
B3	X3	P7	1246.15546	-0.0755	2.18E-3	1.29E+9
B3	X0	P20	1249.08533	-0.1246	7.24E-3	7.51E+8
B3	X0	R21	1251.02086	-0.1254	4.88E-3	6.80E+8
B3	X2	P13	1252.78322	-0.1014	1.22E-2	1.00E+9
B3	X2	R14	1252.93612	-0.1018	2.79E-2	8.64E+8
B3	X1	P17	1254.12886	-0.1172	2.42E-2	8.33E+8
B3	X3	P8	1254.13547	-0.0819	2.08E-3	1.23E+9
B3	X1	R18	1255.08253	-0.1178	2.55E-2	7.51E+8
B3	X3	P9	1262.92254	-0.0887	1.93E-3	1.17E+9
B3	X2	P14	1265.13210	-0.1098	1.32E-2	9.37E+8
B3	X2	R15	1265.18350	-0.1101	2.93E-2	8.33E+8
B3	X0	P21	1265.36952	-0.1334	7.25E-3	7.23E+8
B3	X0	R22	1267.22334	-0.1339	4.80E-3	7.53E+8
B3	X4	R0	1268.49708	-0.0675	4.56E-2	1.73E+9
B3	X1	P18	1268.84431	-0.1261	2.48E-2	8.02E+8
B3	X4	R1	1268.94929	-0.0680	3.03E-2	1.62E+9
B3	X1	R19	1269.69781	-0.1265	2.54E-2	7.23E+8
B3	X4	R2	1270.39289	-0.0693	2.70E-2	1.53E+9
B3	X4	P1	1270.58022	-0.0693	1.53E-2	1.85E+9
B3	X3	P10	1272.47849	-0.0960	1.75E-3	1.12E+9
B3	X4	R3	1272.81643	-0.0715	2.55E-2	1.44E+9
B3	X4	P2	1273.10573	-0.0714	1.85E-2	1.73E+9
B3	X4	R4	1276.20248	-0.0744	2.45E-2	1.36E+9
B3	X4	P3	1276.60318	-0.0744	1.99E-2	1.62E+9
B3	X2	R16	1278.02552	-0.1185	3.07E-2	8.02E+8
B3	X2	P15	1278.08859	-0.1184	1.42E-2	9.07E+8
B3	X4	R5	1280.52804	-0.0782	2.37E-2	1.29E+9
B3	X4	P4	1281.05196	-0.0781	2.07E-2	1.53E+9
B3	X0	P22	1282.11690	-0.1421	7.29E-3	7.26E+8
B3	X3	P11	1282.76395	-0.1036	1.54E-3	1.07E+9
B3	X0	R23	1283.85124	-0.1422	4.76E-3	6.45E+8
B3	X1	P19	1284.06186	-0.1349	2.54E-2	7.74E+8
B3	X1	R20	1284.80525	-0.1350	2.54E-2	7.26E+8
B3	X4	R6	1285.76515	-0.0826	2.29E-2	1.23E+9
B3	X4	P5	1286.42606	-0.0826	2.12E-2	1.44E+9
B3	X2	R17	1291.41411	-0.1268	3.20E-2	7.74E+8
B3	X2	P16	1291.61605	-0.1270	1.53E-2	8.64E+8
B3	X4	R7	1291.88199	-0.0876	2.21E-2	1.17E+9
B3	X4	P6	1292.69474	-0.0877	2.17E-2	1.36E+9
B3	X3	R13	1292.90723	-0.1112	1.38E-3	9.07E+8
B3	X4	R8	1298.84255	-0.0932	2.13E-2	1.12E+9
B3	X0	P23	1299.27122	-0.1504	7.39E-3	6.80E+8
B3	X1	P20	1299.75008	-0.1435	2.60E-2	7.51E+8
B3	X4	P7	1299.82316	-0.0934	2.21E-2	1.29E+9
B3	X1	R21	1300.34382	-0.1432	2.55E-2	6.80E+8
B3	X0	R24	1300.85203	-0.1502	4.77E-3	6.42E+8
B3	X2	R18	1305.31317	-0.1351	3.32E-2	7.51E+8
B3	X3	P13	1305.35880	-0.1194	1.11E-3	1.00E+9
B3	X2	P17	1305.66447	-0.1355	1.63E-2	8.33E+8
B3	X4	R9	1306.60800	-0.0992	2.05E-2	1.07E+9
B3	X4	P8	1307.77299	-0.0996	2.24E-2	1.23E+9
B3	X4	R10	1315.13619	-0.1057	1.96E-2	1.02E+9
B3	X1	P21	1315.85322	-0.1519	2.67E-2	7.23E+8
B3	X1	R22	1316.27616	-0.1513	2.58E-2	7.53E+8
B3	X3	R15	1316.39106	-0.1269	2.60E-3	8.33E+8
B3	X4	P9	1316.50349	-0.1062	2.27E-2	1.17E+9
B3	X0	P24	1316.79970	-0.1585	7.53E-3	7.53E+8
B3	X2	R19	1319.66205	-0.1433	3.43E-2	7.23E+8
B3	X2	P18	1320.20507	-0.1440	1.74E-2	8.02E+8
B3	X5	R1	1323.28598	-0.0848	1.57E-2	1.62E+9
B3	X4	R11	1324.38476	-0.1125	1.87E-2	1.00E+9
B3	X5	R2	1324.65761	-0.0860	1.51E-2	1.53E+9
B3	X5	P1	1325.05967	-0.0861	6.60E-3	1.85E+9
B3	X4	P10	1325.97101	-0.1132	2.29E-2	1.12E+9
B3	X5	R3	1326.99546	-0.0881	1.55E-2	1.44E+9
B3	X3	R16	1328.96473	-0.1347	3.26E-3	8.02E+8
