B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B0	X3	P4	1287.73276	-0.0855	4.72E-2	1.54E+9
B0	X3	R6	1291.86847	-0.0891	5.31E-2	1.24E+9
B0	X3	P5	1293.30788	-0.0900	4.84E-2	1.45E+9
B0	X1	R17	1294.30331	-0.1298	2.65E-3	7.76E+8
B0	X1	P16	1295.04415	-0.1304	4.71E-3	8.68E+8
B0	X2	R13	1297.15180	-0.1157	1.63E-2	9.03E+8
B0	X3	R7	1298.14374	-0.0942	5.18E-2	1.18E+9
B0	X2	P12	1298.79447	-0.1167	2.16E-2	1.03E+9
B0	X3	P6	1299.81127	-0.0952	4.91E-2	1.37E+9
B0	X3	R8	1305.32348	-0.0998	5.06E-2	1.12E+9
B0	X3	P7	1307.21459	-0.1011	4.97E-2	1.30E+9
B0	X1	R18	1309.03716	-0.1387	2.51E-3	7.49E+8
B0	X2	R14	1309.20677	-0.1239	1.56E-2	8.68E+8
B0	X1	P17	1309.87568	-0.1395	4.58E-3	8.35E+8
B0	X2	P13	1310.97702	-0.1250	2.14E-2	9.82E+8
B0	X3	R9	1313.37643	-0.1061	4.94E-2	1.07E+9
B0	X3	P8	1315.48683	-0.1074	5.01E-2	1.24E+9
B0	X2	R15	1321.93966	-0.1323	1.49E-2	8.35E+8
B0	X3	R10	1322.26873	-0.1128	4.82E-2	1.03E+9
B0	X2	P14	1323.84614	-0.1336	2.11E-2	9.41E+8
B0	X1	R19	1324.32251	-0.1475	2.41E-3	7.24E+8
B0	X3	P9	1324.59501	-0.1143	5.04E-2	1.18E+9
B0	X1	P18	1325.29067	-0.1486	4.46E-3	8.04E+8
B0	X3	R11	1331.96348	-0.1199	4.72E-2	9.82E+8
B0	X4	R0	1333.47606	-0.0950	1.50E-1	1.74E+9
B0	X4	R1	1333.79869	-0.0953	1.00E-1	1.63E+9
B0	X3	P10	1334.50425	-0.1215	5.06E-2	1.12E+9
B0	X4	R2	1335.13245	-0.0964	9.06E-2	1.54E+9
B0	X2	R16	1335.31014	-0.1408	1.44E-2	8.04E+8
B0	X4	P1	1335.86810	-0.0969	4.99E-2	1.87E+9
B0	X2	P15	1337.36741	-0.1423	2.08E-2	9.03E+8
B0	X4	R3	1337.46897	-0.0984	8.66E-2	1.45E+9
B0	X4	P2	1338.56991	-0.0992	5.99E-2	1.74E+9
B0	X1	R20	1340.12440	-0.1561	2.34E-3	7.02E+8
B0	X4	R4	1340.79429	-0.1011	8.45E-2	1.37E+9
B0	X1	P19	1341.24223	-0.1575	4.38E-3	7.76E+8
B0	X4	P3	1342.25747	-0.1022	6.43E-2	1.63E+9
B0	X3	R12	1342.42046	-0.1273	4.62E-2	9.41E+8
B0	X4	R5	1345.08926	-0.1046	8.33E-2	1.30E+9
B0	X3	P11	1345.17788	-0.1291	5.08E-2	1.07E+9
B0	X4	P4	1346.91061	-0.1059	6.69E-2	1.54E+9
B0	X2	R17	1349.26591	-0.1493	1.40E-2	7.76E+8
B0	X4	R6	1350.32979	-0.1089	8.26E-2	1.24E+9
B0	X2	P16	1351.49766	-0.1510	2.06E-2	8.68E+8
B0	X4	P5	1352.50448	-0.1104	6.88E-2	1.45E+9
B0	X3	R13	1353.60126	-0.1350	4.53E-2	9.03E+8
B0	X1	R21	1356.38615	-0.1644	2.31E-3	6.81E+8
B0	X4	R7	1356.48760	-0.1137	8.21E-2	1.18E+9
B0	X3	P12	1356.57767	-0.1370	5.11E-2	1.03E+9
B0	X1	P20	1357.70213	-0.1663	4.34E-3	7.49E+8
B0	X4	P6	1359.01014	-0.1154	7.02E-2	1.37E+9
B0	X4	R8	1363.53044	-0.1191	8.18E-2	1.12E+9
B0	X2	R18	1363.77352	-0.1577	1.37E-2	7.49E+8
B0	X3	R14	1365.45797	-0.1429	4.45E-2	8.68E+8
B0	X2	P17	1366.19757	-0.1597	2.05E-2	8.35E+8
B0	X4	P7	1366.39525	-0.1211	7.15E-2	1.30E+9
B0	X3	P13	1368.66294	-0.1450	5.13E-2	9.82E+8
B0	X4	R9	1371.42241	-0.1251	8.16E-2	1.07E+9
B0	X1	R22	1373.06942	-0.1725	2.31E-3	6.62E+8
B0	X1	P21	1374.61338	-0.1748	4.35E-3	7.24E+8
B0	X4	P8	1374.62425	-0.1272	7.27E-2	1.24E+9
B0	X3	R15	1377.94630	-0.1508	4.40E-2	8.35E+8
B0	X2	R19	1378.77050	-0.1659	1.36E-2	7.24E+8
B0	X4	R10	1380.12448	-0.1314	8.15E-2	1.03E+9
B0	X3	P14	1381.39002	-0.1532	5.16E-2	9.41E+8
B0	X2	P18	1381.42386	-0.1682	2.05E-2	8.04E+8
B0	X4	P9	1383.65916	-0.1338	7.39E-2	1.18E+9
B0	X4	R11	1389.59379	-0.1382	8.16E-2	9.82E+8
B0	X1	R23	1390.11513	-0.1802	2.35E-3	6.45E+8
B0	X3	R16	1391.01769	-0.1588	4.36E-2	8.04E+8
B0	X1	P22	1391.93666	-0.1830	4.41E-3	7.02E+8
B0	X4	P10	1393.45955	-0.1408	7.52E-2	1.12E+9
B0	X5	R0	1393.72029	-0.1140	1.49E-1	1.74E+9
B0	X5	R1	1393.96267	-0.1142	1.00E-1	1.63E+9
B0	X2	R20	1394.21231	-0.1738	1.36E-2	7.02E+8
B0	X3	P15	1394.71729	-0.1614	5.20E-2	9.03E+8
B0	X5	R2	1395.19953	-0.1152	9.13E-2	1.54E+9
B0	X5	P1	1396.22314	-0.1160	4.87E-2	1.87E+9
B0	X2	P19	1397.11974	-0.1766	2.07E-2	7.76E+8
B0	X5	R3	1397.42144	-0.1171	8.83E-2	1.45E+9
B0	X5	P2	1398.95369	-0.1181	5.83E-2	1.74E+9
B0	X4	R12	1399.78341	-0.1452	8.18E-2	9.41E+8
B0	X5	R4	1400.61258	-0.1196	8.74E-2	1.37E+9
B0	X5	P3	1402.64969	-0.1211	6.24E-2	1.63E+9
B0	X4	P11	1403.98260	-0.1480	7.65E-2	1.07E+9
B0	X3	R17	1404.60980	-0.1666	4.36E-2	7.76E+8
B0	X5	R5	1404.75123	-0.1229	8.74E-2	1.30E+9
B0	X5	P4	1407.28819	-0.1247	6.49E-2	1.54E+9
B0	X3	P16	1408.59292	-0.1696	5.26E-2	8.68E+8
B0	X1	P23	1409.60802	-0.1908	4.54E-3	6.81E+8
B0	X5	R6	1409.80992	-0.1269	8.80E-2	1.24E+9
B0	X2	R21	1410.02967	-0.1815	1.38E-2	6.81E+8
B0	X4	R13	1410.64777	-0.1524	8.21E-2	9.03E+8
B0	X5	P5	1412.84082	-0.1290	6.68E-2	1.45E+9
B0	X2	P20	1413.24763	-0.1847	2.10E-2	7.49E+8
B0	X4	P12	1415.18331	-0.1554	7.79E-2	1.03E+9
B0	X5	R7	1415.75632	-0.1314	8.90E-2	1.18E+9
B0	X3	R18	1418.67979	-0.1743	4.38E-2	7.49E+8
B0	X5	P6	1419.27451	-0.1339	6.84E-2	1.37E+9
B0	X4	R14	1422.13027	-0.1597	8.26E-2	8.68E+8
B0	X5	R8	1422.55338	-0.1365	9.03E-2	1.12E+9
B0	X3	P17	1422.96840	-0.1777	5.34E-2	8.35E+8
B0	X2	R22	1426.17187	-0.1887	1.43E-2	6.62E+8
B0	X5	P7	1426.55212	-0.1393	7.00E-2	1.30E+9
B0	X4	P13	1427.01340	-0.1630	7.93E-2	9.82E+8
B0	X1	P24	1427.58191	-0.1980	4.75E-3	6.62E+8
B0	X2	P21	1429.73762	-0.1925	2.16E-2	7.24E+8
B0	X5	R9	1430.15960	-0.1421	9.17E-2	1.07E+9
B0	X3	R19	1433.15216	-0.1818	4.45E-2	7.24E+8
B0	X4	R15	1434.17742	-0.1670	8.34E-2	8.35E+8
B0	X5	P8	1434.63266	-0.1451	7.15E-2	1.24E+9
B0	X3	P18	1437.78992	-0.1856	5.45E-2	8.04E+8
B0	X5	R10	1438.52960	-0.1480	9.33E-2	1.03E+9
B0	X4	P14	1439.42062	-0.1706	8.10E-2	9.41E+8
B0	X2	R23	1442.56399	-0.1953	1.50E-2	6.45E+8
B0	X5	P9	1443.47207	-0.1514	7.32E-2	1.18E+9
B0	X1	P25	1445.78862	-0.2047	5.07E-3	6.45E+8
B0	X2	P22	1446.53751	-0.1998	2.24E-2	7.02E+8
B0	X4	R16	1446.73010	-0.1742	8.45E-2	8.04E+8
B0	X5	R11	1447.61321	-0.1542	9.51E-2	9.82E+8
B0	X3	R20	1447.96944	-0.1888	4.57E-2	7.02E+8
B1	X1	R0	1144.19672	-0.0226	3.21E-2	1.74E+9
B1	X1	R1	1144.70880	-0.0231	2.12E-2	1.63E+9
B1	X1	P1	1146.15698	-0.0243	1.08E-2	1.86E+9
B1	X1	R2	1146.21347	-0.0245	1.88E-2	1.53E+9
B1	X1	P2	1148.62143	-0.0265	1.30E-2	1.74E+9
B1	X1	R3	1148.70356	-0.0268	1.76E-2	1.45E+9
B1	X0	P10	1148.72794	-0.0486	2.45E-3	1.12E+9
B1	X0	R11	1149.62130	-0.0496	1.76E-3	9.82E+8
B1	X1	P3	1152.06297	-0.0296	1.39E-2	1.63E+9
B1	X1	R4	1152.16779	-0.0299	1.68E-2	1.37E+9
B1	X1	P4	1156.46721	-0.0335	1.44E-2	1.53E+9
B1	X1	R5	1156.59110	-0.0339	1.62E-2	1.30E+9
B1	X0	P11	1159.09903	-0.0567	2.38E-3	1.07E+9
B1	X0	R12	1160.04451	-0.0577	1.63E-3	9.40E+8
B1	X1	P5	1161.81624	-0.0381	1.47E-2	1.45E+9
B1	X1	R6	1161.95508	-0.0386	1.55E-2	1.24E+9
B1	X1	P6	1168.08914	-0.0435	1.48E-2	1.37E+9
B1	X1	R7	1168.23845	-0.0440	1.49E-2	1.18E+9
B1	X0	P12	1170.24012	-0.0651	2.30E-3	1.02E+9
B1	X0	R13	1171.22874	-0.0661	1.50E-3	9.71E+8
B1	X1	P7	1175.26247	-0.0495	1.49E-2	1.30E+9
