# Data for B'+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     3      0      2      3              1013.20          4.78158E+07          1.03100E-02          3.76121E+08
     3      0      4      4              1057.18          1.95250E+07          2.54600E-03          3.76121E+08
     3      0      2      4              1049.91          2.10572E+07          4.87400E-03          3.76121E+08
     3      0      4      5              1094.02          4.61822E+06          6.44900E-04          3.76121E+08
     3      0      2      5              1086.70          5.26344E+06          1.30500E-03          3.76121E+08
     3      0      4      6              1130.59          5.28739E+05          7.88500E-05          3.76121E+08
     3      0      2      6              1123.28          6.51044E+05          1.72500E-04          3.76121E+08
     3      0      4      7              1166.51          1.30163E+04          2.06600E-06          3.76121E+08
     3      0      2      7              1159.28          2.61145E+04          7.37000E-06          3.76121E+08
     3      0      4      8              1201.29          1.44418E+02          2.43100E-08          3.76121E+08
     3      0      2      8              1194.23          1.08378E+02          3.24600E-08          3.76121E+08
     3      0      4      9              1234.33          1.29535E+00          2.30200E-10          3.76121E+08
     3      0      2      9              1227.56          1.89393E+02          5.99300E-08          3.76121E+08
     3      0      4     10              1264.86          1.47730E+02          2.75700E-08          3.76121E+08
     3      0      2     10              1258.54          4.10775E+02          1.36600E-07          3.76121E+08
     3      0      4     11              1291.95          6.96733E+01          1.35700E-08          3.76121E+08
     3      0      2     11              1286.27          3.20253E+01          1.11300E-08          3.76121E+08
     3      0      4     12              1314.44          1.33326E+01          2.68700E-09          3.76121E+08
     3      0      2     12              1309.65          9.52404E-06          3.43000E-15          3.76121E+08
     3      0      4     13              1330.87          1.65864E+00          3.42700E-10          3.76121E+08
     3      0      2     13              1327.33          6.17355E-01          2.28400E-10          3.76121E+08
     3      0      2     14              1337.63          5.02530E-02          1.88800E-11          3.76121E+08
     4      0      5      0               915.40          1.06992E+07          1.10000E-03          3.72437E+08
     4      0      3      0               906.81          1.18992E+07          1.88700E-03          3.72437E+08
     4      0      5      1               950.85          3.88689E+07          4.31300E-03          3.72437E+08
     4      0      3      1               942.05          4.38937E+07          7.51300E-03          3.72437E+08
     4      0      5      2               986.89          5.68621E+07          6.79700E-03          3.72437E+08
     4      0      3      2               977.90          6.52974E+07          1.20400E-02          3.72437E+08
     4      0      5      3              1023.36          4.27053E+07          5.48900E-03          3.72437E+08
     4      0      3      3              1014.22          5.08879E+07          1.01000E-02          3.72437E+08
     4      0      5      4              1060.07          1.77872E+07          2.45300E-03          3.72437E+08
     4      0      3      4              1050.82          2.25366E+07          4.79900E-03          3.72437E+08
     4      0      5      5              1096.79          4.14396E+06          6.11800E-04          3.72437E+08
     4      0      3      5              1087.47          5.65815E+06          1.29000E-03          3.72437E+08
     4      0      5      6              1133.18          4.56549E+05          7.19500E-05          3.72437E+08
     4      0      3      6              1123.89          7.01835E+05          1.71000E-04          3.72437E+08
     4      0      5      7              1168.87          1.00323E+04          1.68200E-06          3.72437E+08
     4      0      3      7              1159.69          2.78843E+04          7.23200E-06          3.72437E+08
     4      0      5      8              1203.36          1.86533E+02          3.31500E-08          3.72437E+08
     4      0      3      8              1194.41          6.70483E+01          1.84500E-08          3.72437E+08
     4      0      5      9              1236.01          1.21092E-02          2.27000E-12          3.72437E+08
     4      0      3      9              1227.45          1.70456E+02          4.95300E-08          3.72437E+08
     4      0      5     10              1266.06          1.30986E+02          2.57700E-08          3.72437E+08
     4      0      3     10              1258.09          2.90691E+02          8.87300E-08          3.72437E+08
     4      0      5     11              1292.54          4.20956E+01          8.63100E-09          3.72437E+08
     4      0      3     11              1285.41          2.68560E+01          8.55800E-09          3.72437E+08
     4      0      5     12              1314.25          9.48045E+00          2.01000E-09          3.72437E+08
     4      0      3     12              1308.30          5.00572E-02          1.65200E-11          3.72437E+08
     4      0      5     13              1329.65          1.40013E+00          3.03800E-10          3.72437E+08
     4      0      3     13              1325.36          3.88901E-01          1.31700E-10          3.72437E+08
     4      0      3     14              1334.85          1.95995E-02          6.73500E-12          3.72437E+08
     5      0      6      0               918.99          9.91480E+06          1.06300E-03          3.67838E+08
     5      0      4      0               908.58          1.22756E+07          1.85800E-03          3.67838E+08
     5      0      6      1               954.42          3.61342E+07          4.17800E-03          3.67838E+08
     5      0      4      1               943.76          4.54192E+07          7.41700E-03          3.67838E+08
     5      0      6      2               990.40          5.27663E+07          6.56900E-03          3.67838E+08
     5      0      4      2               979.53          6.78387E+07          1.19300E-02          3.67838E+08
     5      0      6      3              1026.79          3.95003E+07          5.28600E-03          3.67838E+08
     5      0      4      3              1015.73          5.31132E+07          1.00500E-02          3.67838E+08
     5      0      6      4              1063.38          1.63603E+07          2.34800E-03          3.67838E+08
     5      0      4      4              1052.20          2.36404E+07          4.79800E-03          3.67838E+08
     5      0      6      5              1099.93          3.73794E+06          5.74000E-04          3.67838E+08
     5      0      4      5              1088.68          5.96679E+06          1.29700E-03          3.67838E+08
     5      0      6      6              1136.10          3.91894E+05          6.42000E-05          3.67838E+08
     5      0      4      6              1124.89          7.41419E+05          1.72000E-04          3.67838E+08
     5      0      6      7              1171.50          7.77627E+03          1.35500E-06          3.67838E+08
     5      0      4      7              1160.45          2.83648E+04          7.00300E-06          3.67838E+08
     5      0      6      8              1205.61          2.45380E+02          4.52700E-08          3.67838E+08
     5      0      4      8              1194.86          3.15246E+01          8.25100E-09          3.67838E+08
     5      0      6      9              1237.79          2.96980E+00          5.77500E-10          3.67838E+08
     5      0      4      9              1227.54          1.46147E+02          4.03700E-08          3.67838E+08
     5      0      6     10              1267.24          1.29651E+02          2.64300E-08          3.67838E+08
     5      0      4     10              1257.74          2.10669E+02          6.11000E-08          3.67838E+08
     5      0      6     11              1292.97          1.70302E+01          3.61400E-09          3.67838E+08
     5      0      4     11              1284.52          1.78102E+01          5.38800E-09          3.67838E+08
     5      0      6     12              1313.70          4.89189E+00          1.07200E-09          3.67838E+08
     5      0      4     12              1306.75          2.34946E-02          7.35500E-12          3.67838E+08
     5      0      6     13              1327.82          9.07322E-01          2.03000E-10          3.67838E+08
     5      0      4     13              1322.99          3.57340E-01          1.14700E-10          3.67838E+08
     6      0      7      0               923.05          9.22837E+06          1.02200E-03          3.62326E+08
     6      0      5      0               910.89          1.24561E+07          1.83200E-03          3.62326E+08
     6      0      7      1               958.44          3.37474E+07          4.03000E-03          3.62326E+08
     6      0      5      1               945.99          4.63610E+07          7.35500E-03          3.62326E+08
     6      0      7      2               994.35          4.91736E+07          6.32100E-03          3.62326E+08
     6      0      5      2               981.65          6.95326E+07          1.18800E-02          3.62326E+08
     6      0      7      3              1030.63          3.66829E+07          5.06500E-03          3.62326E+08
     6      0      5      3              1017.73          5.47737E+07          1.00600E-02          3.62326E+08
     6      0      7      4              1067.07          1.50968E+07          2.23500E-03          3.62326E+08
     6      0      5      4              1054.03          2.45519E+07          4.83500E-03          3.62326E+08
     6      0      7      5              1103.40          3.37982E+06          5.34900E-04          3.62326E+08
     6      0      5      5              1090.32          6.20417E+06          1.30700E-03          3.62326E+08
     6      0      7      6              1139.31          3.37025E+05          5.68700E-05          3.62326E+08
     6      0      5      6              1126.28          7.64961E+05          1.72000E-04          3.62326E+08
     6      0      7      7              1174.35          5.63366E+03          1.01000E-06          3.62326E+08
     6      0      5      7              1161.53          2.89489E+04          6.92400E-06          3.62326E+08
     6      0      7      8              1208.01          3.68939E+02          6.99900E-08          3.62326E+08
     6      0      5      8              1195.57          6.04050E+00          1.53100E-09          3.62326E+08
     6      0      7      9              1239.63          2.04701E+00          4.08900E-10          3.62326E+08
     6      0      5      9              1227.80          1.60272E+02          4.28300E-08          3.62326E+08
     6      0      7     10              1268.36          1.35354E+02          2.83100E-08          3.62326E+08
     6      0      5     10              1257.45          1.38437E+02          3.88000E-08          3.62326E+08
     6      0      7     11              1293.17          4.41138E+00          9.59000E-10          3.62326E+08
     6      0      5     11              1283.57          2.76158E+01          8.06600E-09          3.62326E+08
     6      0      7     12              1312.73          8.51407E-01          1.90700E-10          3.62326E+08
     6      0      5     12              1304.97          1.14641E+00          3.46100E-10          3.62326E+08
     6      0      7     13              1325.26          7.50830E-02          1.71400E-11          3.62326E+08
     6      0      5     13              1320.16          3.05754E-02          9.44600E-12          3.62326E+08
     7      0      8      0               927.57          8.63706E+06          9.83500E-04          3.55900E+08
     7      0      6      0               913.69          1.25088E+07          1.80700E-03          3.55900E+08
     7      0      8      1               962.90          3.14981E+07          3.86500E-03          3.55900E+08
     7      0      6      1               948.71          4.67314E+07          7.28000E-03          3.55900E+08
     7      0      8      2               998.72          4.59949E+07          6.07200E-03          3.55900E+08
     7      0      6      2               984.26          7.06277E+07          1.18400E-02          3.55900E+08
     7      0      8      3              1034.86          3.41940E+07          4.84700E-03          3.55900E+08
     7      0      6      3              1020.18          5.59734E+07          1.00800E-02          3.55900E+08
     7      0      8      4              1071.11          1.39271E+07          2.11500E-03          3.55900E+08
     7      0      6      4              1056.30          2.52265E+07          4.87200E-03          3.55900E+08
     7      0      8      5              1107.19          3.06106E+06          4.96700E-04          3.55900E+08
     7      0      6      5              1092.35          6.41812E+06          1.32500E-03          3.55900E+08
     7      0      8      6              1142.77          2.87982E+05          4.97800E-05          3.55900E+08
     7      0      6      6              1128.02          7.82965E+05          1.72400E-04          3.55900E+08
     7      0      8      7              1177.40          3.50070E+03          6.42300E-07          3.55900E+08
     7      0      6      7              1162.91          2.67871E+04          6.27000E-06          3.55900E+08
     7      0      8      8              1210.53          3.96447E+02          7.68900E-08          3.55900E+08
     7      0      6      8              1196.52          5.69599E+00          1.41100E-09          3.55900E+08
     7      0      8      9              1241.47          3.75363E+00          7.65700E-10          3.55900E+08
     7      0      6      9              1228.21          1.51852E+02          3.96500E-08          3.55900E+08
     7      0      8     10              1269.35          1.65506E+02          3.52900E-08          3.55900E+08
     7      0      6     10              1257.20          2.22582E+02          6.08900E-08          3.55900E+08
     7      0      8     11              1293.08          1.17260E+01          2.59500E-09          3.55900E+08
     7      0      6     11              1282.51          1.46842E+01          4.18000E-09          3.55900E+08
     7      0      8     12              1311.26          8.51918E+00          1.93900E-09          3.55900E+08
     7      0      6     12              1302.91          1.68259E-02          4.94400E-12          3.55900E+08
     7      0      6     13              1316.80          2.60986E-01          7.83200E-11          3.55900E+08
     8      0      9      0               932.51          8.02257E+06          9.36300E-04          3.48542E+08
     8      0      7      0               917.00          1.24361E+07          1.77800E-03          3.48542E+08
     8      0      9      1               967.77          2.95848E+07          3.71900E-03          3.48542E+08
     8      0      7      1               951.91          4.66597E+07          7.18800E-03          3.48542E+08
     8      0      9      2              1003.47          4.30336E+07          5.81600E-03          3.48542E+08
     8      0      7      2               987.33          7.10518E+07          1.17700E-02          3.48542E+08
     8      0      9      3              1039.44          3.18663E+07          4.62100E-03          3.48542E+08
     8      0      7      3              1023.08          5.68083E+07          1.01100E-02          3.48542E+08
     8      0      9      4              1075.47          1.29522E+07          2.01100E-03          3.48542E+08
     8      0      7      4              1058.98          2.57547E+07          4.91000E-03          3.48542E+08
     8      0      9      5              1111.26          2.77612E+06          4.60100E-04          3.48542E+08
     8      0      7      5              1094.76          6.53620E+06          1.33200E-03          3.48542E+08
     8      0      9      6              1146.45          2.37290E+05          4.18600E-05          3.48542E+08
     8      0      7      6              1130.09          7.92636E+05          1.72100E-04          3.48542E+08
     8      0      9      7              1180.59          2.21620E+03          4.14600E-07          3.48542E+08
     8      0      7      7              1164.56          2.65871E+04          6.13000E-06          3.48542E+08
     8      0      9      8              1213.10          3.41795E+02          6.75100E-08          3.48542E+08
     8      0      7      8              1197.66          5.04629E+01          1.23100E-08          3.48542E+08
     8      0      9      9              1243.26          6.33106E+01          1.31300E-08          3.48542E+08
     8      0      7      9              1228.72          1.41411E+02          3.62900E-08          3.48542E+08
     8      0      9     10              1270.17          4.87590E+00          1.05600E-09          3.48542E+08
     8      0      7     10              1256.95          6.88344E-02          1.84900E-11          3.48542E+08
     8      0      9     11              1292.65          1.93215E-01          4.33300E-11          3.48542E+08
     8      0      7     11              1281.31          5.03420E-01          1.40500E-10          3.48542E+08
     8      0      9     12              1309.16          9.67925E-03          2.22600E-12          3.48542E+08
     8      0      7     12              1300.51          6.92625E-01          1.99100E-10          3.48542E+08
     8      0      7     13              1312.81          3.70959E-01          1.08700E-10          3.48542E+08
     9      0     10      0               937.86          7.52783E+06          8.98600E-04          3.40265E+08
     9      0      8      0               920.77          1.24554E+07          1.77000E-03          3.40265E+08
     9      0     10      1               973.02          2.75357E+07          3.53800E-03          3.40265E+08
     9      0      8      1               955.57          4.55598E+07          6.97400E-03          3.40265E+08
     9      0     10      2              1008.58          4.05657E+07          5.60000E-03          3.40265E+08
     9      0      8      2               990.84          7.14096E+07          1.17500E-02          3.40265E+08
     9      0     10      3              1044.36          2.96769E+07          4.39300E-03          3.40265E+08
     9      0      8      3              1026.40          5.74632E+07          1.01500E-02          3.40265E+08
     9      0     10      4              1080.12          1.19698E+07          1.89500E-03          3.40265E+08
     9      0      8      4              1062.05          2.57670E+07          4.87200E-03          3.40265E+08
     9      0     10      5              1115.57          2.58744E+06          4.37000E-04          3.40265E+08
     9      0      8      5              1097.52          6.72040E+06          1.35700E-03          3.40265E+08
     9      0     10      6              1150.32          1.77845E+05          3.19400E-05          3.40265E+08
     9      0      8      6              1132.47          8.16009E+05          1.75400E-04          3.40265E+08
     9      0     10      7              1183.90          6.52526E+02          1.24100E-07          3.40265E+08
     9      0      8      7              1166.46          1.79757E+04          4.10000E-06          3.40265E+08
     9      0     10      8              1215.70          1.18778E+02          2.38200E-08          3.40265E+08
     9      0      8      8              1198.97          3.85265E-05          9.28500E-15          3.40265E+08
     9      0     10      9              1244.97          1.57839E+03          3.32000E-07          3.40265E+08
     9      0      8      9              1229.32          1.81952E+02          4.61000E-08          3.40265E+08
     9      0     10     10              1270.74          1.78591E+02          3.91400E-08          3.40265E+08
     9      0      8     10              1256.65          1.76739E+02          4.67900E-08          3.40265E+08
     9      0     10     11              1291.77          1.80968E+00          4.09800E-10          3.40265E+08
     9      0      8     11              1279.91          9.06975E+02          2.49100E-07          3.40265E+08
     9      0     10     12              1306.30          2.44516E+01          5.66300E-09          3.40265E+08
     9      0      8     12              1297.71          4.32404E+02          1.22100E-07          3.40265E+08
    10      0     11      0               943.59          6.97173E+06          8.50100E-04          3.31038E+08
    10      0      9      0               925.00          1.18883E+07          1.68600E-03          3.31038E+08
    10      0     11      1               978.63          2.59372E+07          3.40200E-03          3.31038E+08
    10      0      9      1               959.68          4.53886E+07          6.93000E-03          3.31038E+08
    10      0     11      2              1014.03          3.77929E+07          5.32200E-03          3.31038E+08
    10      0      9      2               994.77          7.03716E+07          1.15500E-02          3.31038E+08
    10      0     11      3              1049.58          2.79097E+07          4.21100E-03          3.31038E+08
