# Data for D+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     3      0      4     11              1252.11          2.58644E+03          4.72829E-07          3.53875E+08
     3      0      2     11              1246.78          2.72621E+03          8.89452E-07          3.53875E+08
     3      0      4     12              1273.23          1.35445E+03          2.56028E-07          3.53875E+08
     3      0      2     12              1268.73          3.00054E+03          1.01374E-06          3.53875E+08
     3      0      4     13              1288.63          3.11701E+01          6.03547E-09          3.53875E+08
     3      0      2     13              1285.31          3.50623E+01          1.21575E-08          3.53875E+08
     3      0      2     14              1294.97          9.74797E+00          3.43099E-09          3.53875E+08
     4      0      5      0               894.88          2.48549E+07          2.44143E-03          3.53059E+08
     4      0      3      0               886.67          1.31880E+07          1.99849E-03          3.53059E+08
     4      0      5      1               928.73          6.80560E+07          7.20038E-03          3.53059E+08
     4      0      3      1               920.33          3.68688E+07          6.01939E-03          3.53059E+08
     4      0      5      2               963.08          7.25727E+07          8.25671E-03          3.53059E+08
     4      0      3      2               954.52          4.43511E+07          7.78889E-03          3.53059E+08
     4      0      5      3               997.78          3.47484E+07          4.24340E-03          3.53059E+08
     4      0      3      3               989.09          3.09290E+07          5.83225E-03          3.53059E+08
     4      0      5      4              1032.65          6.41787E+06          8.39472E-04          3.53059E+08
     4      0      3      4              1023.86          1.43248E+07          2.89451E-03          3.53059E+08
     4      0      5      5              1067.46          1.36655E+05          1.91000E-05          3.53059E+08
     4      0      3      5              1058.63          4.90372E+06          1.05930E-03          3.53059E+08
     4      0      5      6              1101.90          1.27746E+05          1.90258E-05          3.53059E+08
     4      0      3      6              1093.11          1.27919E+06          2.94622E-04          3.53059E+08
     4      0      5      7              1135.62          1.00879E+05          1.59579E-05          3.53059E+08
     4      0      3      7              1126.95          1.81463E+05          4.44221E-05          3.53059E+08
     4      0      5      8              1168.14          6.64960E+03          1.11300E-06          3.53059E+08
     4      0      3      8              1159.71          5.67396E+03          1.47091E-06          3.53059E+08
     4      0      5      9              1198.89          9.97070E+02          1.75790E-07          3.53059E+08
     4      0      3      9              1190.83          4.03701E+02          1.10348E-07          3.53059E+08
     4      0      5     10              1227.14          9.53153E+01          1.76060E-08          3.53059E+08
     4      0      3     10              1219.65          8.13010E+00          2.33115E-09          3.53059E+08
     4      0      5     11              1252.00          9.36056E+02          1.79978E-07          3.53059E+08
     4      0      3     11              1245.31          1.54329E+03          4.61325E-07          3.53059E+08
     4      0      5     12              1272.36          7.85426E+02          1.55966E-07          3.53059E+08
     4      0      3     12              1266.78          7.19782E+02          2.22642E-07          3.53059E+08
     4      0      5     13              1286.79          8.09335E+01          1.64381E-08          3.53059E+08
     4      0      3     13              1282.77          7.39179E+00          2.34449E-09          3.53059E+08
     4      0      3     14              1291.66          1.53933E+01          4.95029E-09          3.53059E+08
     5      0      6      0               897.91          2.53189E+07          2.58948E-03          3.51905E+08
     5      0      4      0               887.97          1.20934E+07          1.74724E-03          3.51905E+08
     5      0      6      1               931.70          7.15281E+07          7.87653E-03          3.51905E+08
     5      0      4      1               921.54          3.38258E+07          5.26363E-03          3.51905E+08
     5      0      6      2               965.96          7.60035E+07          8.99617E-03          3.51905E+08
     5      0      4      2               955.61          4.00748E+07          6.70563E-03          3.51905E+08
     5      0      6      3              1000.54          3.65669E+07          4.64369E-03          3.51905E+08
     5      0      4      3               990.04          2.82618E+07          5.07586E-03          3.51905E+08
     5      0      6      4              1035.25          6.74084E+06          9.16459E-04          3.51905E+08
     5      0      4      4              1024.65          1.39989E+07          2.69309E-03          3.51905E+08
     5      0      6      5              1069.86          8.43703E+04          1.22503E-05          3.51905E+08
     5      0      4      5              1059.22          5.28411E+06          1.08630E-03          3.51905E+08
     5      0      6      6              1104.05          2.04328E+05          3.15947E-05          3.51905E+08
     5      0      4      6              1093.47          1.51421E+06          3.31745E-04          3.51905E+08
     5      0      6      7              1137.45          1.07719E+05          1.76793E-05          3.51905E+08
     5      0      4      7              1127.03          2.72871E+05          6.35091E-05          3.51905E+08
     5      0      6      8              1169.58          6.44824E+03          1.11895E-06          3.51905E+08
     5      0      4      8              1159.46          1.68168E+04          4.14253E-06          3.51905E+08
     5      0      6      9              1199.85          2.83213E+02          5.17215E-08          3.51905E+08
     5      0      4      9              1190.21          1.61904E+01          4.20254E-09          3.51905E+08
     5      0      6     10              1227.50          2.11203E+02          4.03691E-08          3.51905E+08
     5      0      4     10              1218.57          8.01793E+01          2.18160E-08          3.51905E+08
     5      0      6     11              1251.62          1.54729E+02          3.07483E-08          3.51905E+08
     5      0      4     11              1243.70          9.29399E+01          2.63416E-08          3.51905E+08
     5      0      6     12              1271.04          2.17890E+02          4.46540E-08          3.51905E+08
     5      0      4     12              1264.53          3.34037E+02          9.78721E-08          3.51905E+08
     5      0      6     13              1284.25          3.37214E+01          7.05528E-09          3.51905E+08
     5      0      4     13              1279.73          3.61889E+00          1.08597E-09          3.51905E+08
     6      0      7      0               901.33          2.53799E+07          2.67895E-03          3.50315E+08
     6      0      5      0               889.72          1.17109E+07          1.64250E-03          3.50315E+08
     6      0      7      1               935.04          7.28257E+07          8.27281E-03          3.50315E+08
     6      0      5      1               923.18          3.17991E+07          4.80172E-03          3.50315E+08
     6      0      7      2               969.19          7.88799E+07          9.62698E-03          3.50315E+08
     6      0      5      2               957.11          3.69755E+07          6.00135E-03          3.50315E+08
     6      0      7      3              1003.62          3.84780E+07          5.03568E-03          3.50315E+08
     6      0      5      3               991.38          2.58540E+07          4.50209E-03          3.50315E+08
